reg,target
RBFOX2,KLHL17
RBFOX2,ACAP3
RBFOX2,DVL1
RBFOX2,FAAP20
RBFOX2,MEGF6
RBFOX2,ESPN
RBFOX2,FBXO44
RBFOX2,AGO1
RBFOX2,ERI3
RBFOX2,DHCR24
RBFOX2,GADD45A
RBFOX2,SLC30A7
RBFOX2,AMPD2
RBFOX2,ATP1A1
RBFOX2,ADAM15
RBFOX2,CLK2
RBFOX2,KHDC4
RBFOX2,PAQR6
RBFOX2,RHBG
RBFOX2,ATP1B1
RBFOX2,TMEM9
RBFOX2,MDM4
RBFOX2,TOMM20
RBFOX2,E2F6
RBFOX2,LAPTM4A
RBFOX2,PUM2
RBFOX2,RHOB
RBFOX2,DNMT3A
RBFOX2,RAB10
RBFOX2,SELENOI
RBFOX2,BIRC6
RBFOX2,PSME4
RBFOX2,SERTAD2
RBFOX2,RTKN
RBFOX2,INO80B
RBFOX2,HTRA2
RBFOX2,MRPL35
RBFOX2,ZNF514
RBFOX2,SEMA4C
RBFOX2,ACTR1B
RBFOX2,IL1R1
RBFOX2,CCDC93
RBFOX2,INSIG2
RBFOX2,TMEM37
RBFOX2,FAM168B
RBFOX2,FMNL2
RBFOX2,SP5
RBFOX2,NCKAP1
RBFOX2,NAB1
RBFOX2,VIL1
RBFOX2,ABCB6
RBFOX2,ATG9A
RBFOX2,DNAJB2
RBFOX2,TMEM198
RBFOX2,OBSL1
RBFOX2,ITM2C
RBFOX2,C2orf72
RBFOX2,COPS7B
RBFOX2,ATG16L1
RBFOX2,STK25
RBFOX2,D2HGDH
RBFOX2,NEU4
RBFOX2,TRNT1
RBFOX2,ARPC4
RBFOX2,CRELD1
RBFOX2,IQSEC1
RBFOX2,THRB
RBFOX2,UBP1
RBFOX2,CTDSPL
RBFOX2,ZDHHC3
RBFOX2,LIMD1
RBFOX2,PLXNB1
RBFOX2,SLC26A6
RBFOX2,WDR6
RBFOX2,LAMB2
RBFOX2,NICN1
RBFOX2,MST1
RBFOX2,SLC38A3
RBFOX2,SEMA3B
RBFOX2,HEMK1
RBFOX2,GLYCTK
RBFOX2,NT5DC2
RBFOX2,PBRM1
RBFOX2,MAGI1
RBFOX2,NFKBIZ
RBFOX2,KLF15
RBFOX2,PFN2
RBFOX2,DVL3
RBFOX2,FAM131A
RBFOX2,ATP13A3
RBFOX2,FGFR3
RBFOX2,SH3BP2
RBFOX2,LRPAP1
RBFOX2,WFS1
RBFOX2,OCIAD1
RBFOX2,SEC31A
RBFOX2,RPL34
RBFOX2,CAMK2D
RBFOX2,SERINC5
RBFOX2,NR2F1
RBFOX2,ELL2
RBFOX2,FBXL17
RBFOX2,FAM13B
