reg,target
PHF6,AGRN
PHF6,GNB1
PHF6,SKI
PHF6,RPL22
PHF6,ENO1
PHF6,SPEN
PHF6,DDOST
PHF6,HSPG2
PHF6,ARID1A
PHF6,SRSF4
PHF6,FAM229A
PHF6,YARS1
PHF6,SLC2A1
PHF6,RPS8
PHF6,H2AC20
PHF6,ANP32E
PHF6,ADAMTSL4
PHF6,GLUL
PHF6,PARP1
PHF6,RNF187
PHF6,IRF2BP2
PHF6,ZFP36L2
PHF6,FBXO11
PHF6,XPO1
PHF6,SEMA4C
PHF6,FAM178B
PHF6,BHLHE40
PHF6,RAF1
PHF6,OXSR1
PHF6,TKT
PHF6,CPOX
PHF6,POLR2H
PHF6,ST6GAL1
PHF6,ENSG00000289747
PHF6,HNRNPD
PHF6,HMGB2
PHF6,COX7C
PHF6,LARP1
PHF6,TMED9
PHF6,MGAT4B
PHF6,SQSTM1
PHF6,RACK1
PHF6,MYLIP
PHF6,H3C2
PHF6,H1-2
PHF6,H4C3
PHF6,H2AC6
PHF6,H4C5
PHF6,H2AC12
PHF6,TUBB
PHF6,PRRC2A
PHF6,BAG6
PHF6,CLIC1
PHF6,HSPA1A
PHF6,BRD2
PHF6,HMGA1
PHF6,PIM1
PHF6,HSP90AB1
PHF6,EEF1A1
PHF6,RPS12
PHF6,RNASET2
PHF6,MICALL2
PHF6,TNRC18
PHF6,ACTB
PHF6,FSCN1
PHF6,POLD2
PHF6,CHCHD2
PHF6,MDH2
PHF6,HSPB1
PHF6,MCM7
PHF6,MEPCE
PHF6,TSC22D4
PHF6,REPIN1
PHF6,SLC4A2
PHF6,INSIG1
PHF6,FAM83A
PHF6,PTP4A3
PHF6,EEF1D
PHF6,RPL8
PHF6,HSPA5
PHF6,NUP214
PHF6,ABO
PHF6,HNRNPF
PHF6,PSAP
PHF6,DDIT4
PHF6,ANXA7
PHF6,GHITM
PHF6,OGA
PHF6,DRD4
PHF6,POLR2L
PHF6,IGF2
PHF6,HBG1
PHF6,ENSG00000284931
PHF6,HBG2
PHF6,HBE1
PHF6,LDHA
PHF6,COX8A
PHF6,ENSG00000256100
PHF6,MACROD1
PHF6,EHBP1L1
PHF6,RBM14
PHF6,GSTP1
PHF6,NDUFV1
PHF6,RPS3
PHF6,PICALM
PHF6,GAPDH
PHF6,TPI1
PHF6,ATN1
PHF6,TUBA1B
PHF6,TUBA1C
PHF6,RPL41
PHF6,ATP5F1B
PHF6,CDK4
PHF6,ATP2A2
PHF6,PLBD2
PHF6,OGFOD2
PHF6,B2M
PHF6,RPL4
PHF6,RPLP1
PHF6,TLE3
PHF6,PKM
PHF6,RPS17
PHF6,ENSG00000279765
PHF6,HBZ
PHF6,RPS2
PHF6,SRRM2
PHF6,PRSS21
PHF6,SH2B1
PHF6,SPN
PHF6,MAZ
PHF6,ENSG00000285043
PHF6,ALDOA
PHF6,FUS
PHF6,MT2A
PHF6,MVD
PHF6,PIEZO1
PHF6,RPL13
PHF6,TMEM107
PHF6,STAT5B
PHF6,HOXB9
PHF6,TRIM65
PHF6,SEC14L1
PHF6,SEPTIN9
PHF6,TMC6
PHF6,P4HB
PHF6,MAFG
PHF6,PYCR1
PHF6,RAC3
PHF6,FASN
PHF6,CSNK1D
PHF6,FOXK2
PHF6,TGIF1
PHF6,BSG
PHF6,PTBP1
PHF6,NDUFS7
PHF6,TCF3
