""	9CL_Bc65_Bc01	9CL_Bc65_Bc03	9CL_Bc65_Bc04	9CL_Bc65_Bc05	9CL_Bc65_Bc06	9CL_Bc65_Bc07	9CL_Bc65_Bc08	9CL_Bc65_Bc09	9CL_Bc65_Bc10	9CL_Bc65_Bc11	9CL_Bc65_Bc12	9CL_Bc65_Bc15	9CL_Bc65_Bc16	9CL_Bc65_Bc17	9CL_Bc65_Bc18	9CL_Bc65_Bc19	9CL_Bc65_Bc20	9CL_Bc65_Bc22	9CL_Bc65_Bc23	9CL_Bc65_Bc24	9CL_Bc65_Bc25	9CL_Bc65_Bc26	9CL_Bc65_Bc27	9CL_Bc65_Bc28	9CL_Bc65_Bc29	9CL_Bc65_Bc30	9CL_Bc65_Bc31	9CL_Bc65_Bc32	9CL_Bc66_Bc01	9CL_Bc66_Bc04	9CL_Bc66_Bc05	9CL_Bc66_Bc06	9CL_Bc66_Bc07	9CL_Bc66_Bc08	9CL_Bc66_Bc09	9CL_Bc66_Bc10	9CL_Bc66_Bc11	9CL_Bc66_Bc12	9CL_Bc66_Bc13	9CL_Bc66_Bc14	9CL_Bc66_Bc15	9CL_Bc66_Bc16	9CL_Bc66_Bc17	9CL_Bc66_Bc18	9CL_Bc66_Bc20	9CL_Bc66_Bc22	9CL_Bc66_Bc23	9CL_Bc66_Bc25	9CL_Bc66_Bc26	9CL_Bc66_Bc27	9CL_Bc66_Bc28	9CL_Bc66_Bc29	9CL_Bc66_Bc30	9CL_Bc66_Bc31	9CL_Bc66_Bc32	9CL_Bc67_Bc01	9CL_Bc67_Bc02	9CL_Bc67_Bc03	9CL_Bc67_Bc04	9CL_Bc67_Bc05	9CL_Bc67_Bc06	9CL_Bc67_Bc07	9CL_Bc67_Bc08	9CL_Bc67_Bc09	9CL_Bc67_Bc10	9CL_Bc67_Bc12	9CL_Bc67_Bc13	9CL_Bc67_Bc14	9CL_Bc67_Bc17	9CL_Bc67_Bc18	9CL_Bc67_Bc19	9CL_Bc67_Bc24	9CL_Bc67_Bc25	9CL_Bc67_Bc26	9CL_Bc67_Bc27	9CL_Bc67_Bc28	9CL_Bc67_Bc29	9CL_Bc67_Bc30	9CL_Bc67_Bc31	9CL_Bc67_Bc32
DCBLD2	4.6182713508606	0	1.92727541923523	0	9.96489143371582	0.932093441486359	0	1.65059745311737	0	0	4.49368667602539	5.90054988861084	2.34202408790588	1.17680597305298	0.987789988517761	1.8321647644043	1.66334819793701	0	3.25972628593445	5.70004367828369	11.2198152542114	9.17557144165039	8.35317516326904	1.38228929042816	3.58347177505493	0.892735540866852	7.10911655426025	0	0	5.31528043746948	3.25341033935547	1.08802390098572	2.16942071914673	7.33641338348389	0	0	2.8326108455658	14.5434532165527	1.80834937095642	0	0.752066314220429	0	1.65373611450195	3.39147186279297	0	0	0	0	0	2.85995030403137	0	10.1734962463379	0	0	1.28469789028168	0	3.34345746040344	8.46617794036865	0	2.2341730594635	3.29206275939941	3.92990207672119	0.512344181537628	1.74666142463684	0	5.70182943344116	8.16524696350098	1.62403869628906	0	2.5252799987793	6.22265195846558	0	0	7.98057270050049	0	7.52992868423462	4.84862232208252	10.7152709960938	0	4.48383235931397
EFNA1	0	0.89042866230011	0	0	0	0.932093441486359	1.36676526069641	1.65059745311737	0	0	0	0.702613711357117	0	28.2433433532715	0	3.05360794067383	0	0	0.814931571483612	0	0	0	4.17658758163452	0	2.24810028076172	0.892735540866852	0	0	0.881832957267761	0	0	7.6161675453186	3.25413107872009	2.4454710483551	0	6.72448968887329	1.8884072303772	0.819672763347626	0	6.05441188812256	0	0	4.96120834350586	0	0	0	3.000972032547	1.95831918716431	4.7426609992981	0	1.67826247215271	0.871540784835815	0.721043705940247	2.28874635696411	2.56939578056335	0	5.57242870330811	2.97398018836975	1.83728528022766	1.11708652973175	6.58412551879883	7.88705015182495	1.02468836307526	0	12.7903318405151	1.22831308841705	0	0	3.49750113487244	0	3.11132597923279	0	6.17479181289673	0	5.91883277893066	1.25498819351196	1.6162074804306	1.18886852264404	0	1.4946106672287
PRPF4	3.65138483047485	0	4.81818866729736	0	1.66081511974335	0.932093441486359	0.911176800727844	13.204779624939	0	1.68964898586273	1.2470338344574	0	1.17101204395294	2.35361194610596	1.97557997703552	2.44288635253906	0	3.76344203948975	1.62986314296722	0	1.24664604663849	1.79053020477295	1.04414689540863	2.76457858085632	1.12405014038086	0	4.26547002792358	0.986289262771606	3.52733182907105	2.12611222267151	1.08447015285492	0	1.08471035957336	2.4454710483551	0	0.747165501117706	0.944203615188599	0	6.32922267913818	3.02720594406128	3.00826525688171	3.74442028999329	2.48060417175293	0.847867965698242	1.01677203178406	6.9719443321228	1.000324010849	5.87495756149292	7.11399126052856	2.85995030403137	6.71304988861084	1.74308156967163	2.16313099861145	2.28874635696411	2.56939578056335	0	1.11448574066162	0.743495047092438	1.22485685348511	0.558543264865875	1.97523772716522	0.717004597187042	4.61109733581543	0	3.19758296012878	1.22831308841705	2.27697896957397	1.62403869628906	0.874375283718109	1.68351995944977	3.11132597923279	1.99935221672058	3.70487523078918	0	0	1.25498819351196	0	0	0.978104650974274	4.48383235931397
TARDBP	2.92110776901245	6.2330002784729	1.92727541923523	3.1603045463562	1.66081511974335	2.79628038406372	1.36676526069641	0	4.05600452423096	2.53447341918945	6.85868644714356	4.21568250656128	0	1.17680597305298	1.97557997703552	5.49649429321289	5.51233863830566	2.50896120071411	1.62986314296722	7.12505435943604	1.24664604663849	0.895265102386475	3.1324405670166	0	3.37215042114258	0.892735540866852	0	1.97257852554321	7.93649673461914	3.18916821479797	4.33788061141968	0	2.16942071914673	0	2.61845016479492	5.23015880584717	6.60942506790161	2.45901823043823	1.80834937095642	3.02720594406128	4.51239776611328	5.61663055419922	2.48060417175293	4.23933982849121	1.01677203178406	3.4859721660614	1.000324010849	1.95831918716431	4.7426609992981	6.67321729660034	3.35652494430542	1.74308156967163	5.04730606079102	0	1.28469789028168	4.69459056854248	3.90070033073425	0.743495047092438	1.22485685348511	5.02688932418823	5.92571306228638	2.86801838874817	6.66047430038452	0	1.06586098670959	4.91325235366821	5.3129506111145	0	4.37187671661377	3.36703991889954	4.14843463897705	1.99935221672058	2.46991682052612	1.14008176326752	4.439124584198	2.50997638702393	3.23241496086121	9.51094818115234	7.82483720779419	4.48383235931397
HPX	1.46055388450623	0	0	1.5801522731781	0	0.932093441486359	0	0	0	0	0	0	8.19708442687988	5.88402986526489	1.97557997703552	1.22144317626953	0	0	0	0	0	0	1.04414689540863	0	0	0	0	0	0	2.12611222267151	0	4.35209560394287	0	0	0	0	0	0	0.90417468547821	1.51360297203064	0	0	8.26868057250977	0.847867965698242	1.01677203178406	0	0	0	1.18566524982452	0.953316748142242	0	0	1.44208741188049	0	0	2.81675434112549	0	0	3.06214213371277	0	4.60888814926148	2.15101385116577	0	0	2.13172197341919	0	0	0	1.74875056743622	0	0	0.999676108360291	0	0	0	1.25498819351196	0	2.37773704528809	0	0
FILIP1L	0	0	0	1.5801522731781	0	0	3.64470720291138	0	0	0	0	0	0	0	0	0	2.75616931915283	0	1.62986314296722	0	0	1.79053020477295	0	2.76457858085632	3.37215042114258	0	4.26547002792358	0	0	6.37833642959595	3.25341033935547	1.08802390098572	0	0	0	12.7018136978149	0	1.63934552669525	0	1.51360297203064	0	0	0	1.05898702144623	2.03354406356812	2.32398152351379	0	0	1.18566524982452	1.90663349628448	0	0	4.3255410194397	1.14437317848206	0	0	0	0	4.89942741394043	0	0	2.15101385116577	0	0	1.06586098670959	1.22831308841705	4.55395793914795	0	0	4.20879983901978	0	0.999676108360291	0	1.14008176326752	0	1.25498819351196	0	0	0	1.4946106672287
FGA	0	0	1.92727541923523	0	0	3.72837376594543	0	23.1083641052246	0	0	0.623516917228699	0	0	1.17680597305298	0.987789988517761	0	0	0	0	0	0	0	0	0	0	0	0	0.986289262771606	0	0	0	92.4820327758789	1.08471035957336	0	0	0.747165501117706	0	0	0	0	0	0	2.48060417175293	0	1.01677203178406	0	0	0	0	0	0	0	0	0	3.85409379005432	6.57242679595947	0	0	8.57399845123291	0	5.26730060577393	2.15101385116577	0	1.74666142463684	11.7244710922241	0	0	0	3.49750113487244	0	0	2.99902820587158	1.23495841026306	0	0	0	3.23241496086121	0	0.978104650974274	0
UBD	0	1.78085732460022	0	4.71912479400635	0	0	0	0	0	0	0	0.702613711357117	2.34202408790588	2.35361194610596	0	0	0	0	0	0	0	0	0	0	1.12405014038086	0	0	4.93144607543945	0	0	1.08447015285492	0	0	0	0	0	0	0	2.68630290031433	0	0	0	0	0	0	0	0	0	7.11399126052856	8.56364440917969	0	1.74308156967163	0	1.14437317848206	0	0	0.557242870330811	0	0	0.414439082145691	0	0	1.02468836307526	0	0	8.5981912612915	0	0	0	0	0	0	0	0	0	0	1.6162074804306	0	0	0
STAR	0	0	0	0	0	0	0	0	0	0	0	0	0	5.88402986526489	0	0	1.37808465957642	0	0	0	1.24664604663849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51360297203064	0	0	0	0	1.01677203178406	0	0	0	0	0	0	0	0	0	0	0.938918113708496	0	0	0	0	0	0	0	0	2.13172197341919	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95620930194855	0
DPEP1	0	0	1.92727541923523	2.37022829055786	1.66081511974335	0	0.911176800727844	0	0	0	0	0	9.36809635162354	1.17680597305298	0	0	0	0	1.62986314296722	0	0	0	0	5.52915716171265	0	0	0	0	0	2.12611222267151	2.16894030570984	0	0	0	0	0	5.66522169113159	0	0.90417468547821	0	3.76033163070679	0	8.26868057250977	0	3.05031609535217	4.64796304702759	0	0	1.18566524982452	0	0	0	3.60521841049194	0	0	3.75567245483398	0.557242870330811	0	6.73671293258667	1.11708652973175	0.658412575721741	10.0380640029907	0.512344181537628	0	0	1.22831308841705	0	0	1.74875056743622	0	1.03710865974426	7.99740886688232	2.46991682052612	3.42024540901184	0	3.76496434211731	0	1.18886852264404	0.978104650974274	1.4946106672287
TFPI2	5.1119384765625	0	0	0	0	0	0	0	0	0	0	0.702613711357117	0	0	0	0	0	0	0	1.42501091957092	0	0	0	0	0	0	2.84364652633667	0	0	0	0	1.08802390098572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43400919437408	0	0	0	0	1.51798593997955	0	0	0	0	0	0	0	0	0	0	4.75547409057617	0	0
IL11	3.65138483047485	0	0	0	0	0	0	0	0	3.37929797172546	0	0	0	0	0	0	1.37808465957642	0	0.814931571483612	0	0	4.47632551193237	0	0	0	0	1.42182326316834	0	1.76366591453552	5.31528043746948	0	0	0	0	0	0	0	0.819672763347626	0	0	0	0	0	5.9350757598877	0	0	0	0	0	0	0	1.74308156967163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.179859161377	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	0	0	0	0	0	0	0	1.65059745311737	0	0	0	0	1.17101204395294	0	0	0	4.13425397872925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33197128772736	0	1.000324010849	0	0	0.953316748142242	0	0	0	0	0	0	0	0	0	1.15395033359528	0	0	0.512344181537628	0	0	4.91325235366821	0.758992969989777	0	0	0	0	0	0	0	2.95941638946533	0	0	0	0	0
CTSB	7.30276966094971	8.90428638458252	8.67273902893066	18.8496360778809	32.3858947753906	5.59256076812744	12.7564754486084	0	17.576021194458	10.9835634231567	16.0892314910889	31.617618560791	21.0770454406738	27.0665378570557	6.91452980041504	25.6503067016602	17.9151000976563	5.01792240142822	24.4479465484619	7.12505435943604	12.4664611816406	11.638445854187	21.9270839691162	9.676025390625	84.3037567138672	8.92735481262207	65.4038696289063	19.7257843017578	2.64549899101257	30.8286266326904	21.6894035339356	14.1443109512329	19.5247859954834	24.4534893035889	2.61583423614502	4.48299312591553	2.8326108455658	12.2950916290283	10.8500957489014	13.6224269866943	10.5289287567139	13.1054706573486	19.0179653167725	6.78294372558594	21.3522129058838	6.9719443321228	4.001296043396	37.208065032959	7.11399126052856	13.3464345932007	6.71304988861084	41.8348274230957	5.04730606079102	30.8980770111084	53.9560279846192	12.2059354782105	21.7324733734131	80.0878067016602	12.8616094589233	4.468346118927	9.70500087738037	20.0754108428955	11.7839155197144	27.9465827941895	14.9220542907715	28.25119972229	9.1079158782959	4.87211608886719	3.33661603927612	22.7266788482666	11.4081954956055	9.99676132202148	20.9942932128906	31.922290802002	29.5956439971924	15.0598573684692	42.0197792053223	23.7785587310791	33.255558013916	11.9568853378296
CHAF1B	1.46055388450623	0	0	3.1603045463562	0	0.932093441486359	0.911176800727844	8.2529878616333	1.35200154781342	1.68964898586273	0.623516917228699	0	0	0	1.97557997703552	0	0	0	0	0	0	0.895265102386475	0	1.38228929042816	1.12405014038086	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80834937095642	0	0	0	0.826868057250977	1.69573593139648	4.06708812713623	1.1619907617569	1.000324010849	0	1.18566524982452	0.953316748142242	0	0	2.88417482376099	0	0	1.87783622741699	0	0.743495047092438	0.612428426742554	1.67562973499298	0	0	1.02468836307526	3.49332284927368	1.06586098670959	0	2.27697896957397	0	1.74875056743622	0.841759979724884	0	0	3.70487523078918	0	0	0	0	0	3.9153528213501	8.96766471862793
ZNF800	0	0	0	0	0	0	0	1.65059745311737	1.35200154781342	0	0	0.702613711357117	0	1.17680597305298	0	0	1.37808465957642	0	0	0	1.24664604663849	0.895265102386475	1.04414689540863	1.38228929042816	0	0	0	0	0	0	0	0	0	0	0	1.49433100223541	0.944203615188599	0	0	1.51360297203064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.558543264865875	0	0.717004597187042	0	0	0	0	0	0	0.874375283718109	1.68351995944977	1.03710865974426	0	2.46991682052612	0	0	5.01995277404785	0	0	0	1.4946106672287
ORAI2	0	0	0	0	0	0	0	0	0	0	1.2470338344574	0	0	0	0.987789988517761	0	0	0	0	0	0	0	0	0	0	0	0	0.986289262771606	0	1.06305611133575	3.25341033935547	1.08802390098572	1.08471035957336	0	2.61583423614502	0	0	0	0	0	0	7.48884057998657	0.826868057250977	0	0	1.1619907617569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.512344181537628	0	0	0	0	0	0	0.841759979724884	0	0.999676108360291	0	2.28016352653503	0	0	0	2.37773704528809	0	4.48383235931397
