""	9CL_Bc74_Bc01	9CL_Bc74_Bc02	9CL_Bc74_Bc03	9CL_Bc74_Bc04	9CL_Bc74_Bc05	9CL_Bc74_Bc06	9CL_Bc74_Bc07	9CL_Bc74_Bc09	9CL_Bc74_Bc10	9CL_Bc74_Bc11	9CL_Bc74_Bc12	9CL_Bc74_Bc14	9CL_Bc74_Bc16	9CL_Bc74_Bc19	9CL_Bc74_Bc21	9CL_Bc74_Bc22	9CL_Bc74_Bc23	9CL_Bc74_Bc24	9CL_Bc74_Bc25	9CL_Bc74_Bc26	9CL_Bc74_Bc30	9CL_Bc74_Bc32	9CL_Bc75_Bc01	9CL_Bc75_Bc03	9CL_Bc75_Bc04	9CL_Bc75_Bc05	9CL_Bc75_Bc06	9CL_Bc75_Bc07	9CL_Bc75_Bc08	9CL_Bc75_Bc09	9CL_Bc75_Bc11	9CL_Bc75_Bc12	9CL_Bc75_Bc13	9CL_Bc75_Bc14	9CL_Bc75_Bc15	9CL_Bc75_Bc16	9CL_Bc75_Bc17	9CL_Bc75_Bc18	9CL_Bc75_Bc19	9CL_Bc75_Bc20	9CL_Bc75_Bc21	9CL_Bc75_Bc22	9CL_Bc75_Bc24	9CL_Bc75_Bc25	9CL_Bc75_Bc27	9CL_Bc75_Bc28	9CL_Bc75_Bc30	9CL_Bc75_Bc31	9CL_Bc75_Bc32	9CL_Bc76_Bc01	9CL_Bc76_Bc02	9CL_Bc76_Bc03	9CL_Bc76_Bc04	9CL_Bc76_Bc05	9CL_Bc76_Bc06	9CL_Bc76_Bc07	9CL_Bc76_Bc08	9CL_Bc76_Bc09	9CL_Bc76_Bc10	9CL_Bc76_Bc11	9CL_Bc76_Bc12	9CL_Bc76_Bc13	9CL_Bc76_Bc14	9CL_Bc76_Bc16	9CL_Bc76_Bc17	9CL_Bc76_Bc20	9CL_Bc76_Bc21	9CL_Bc76_Bc22	9CL_Bc76_Bc23	9CL_Bc76_Bc24	9CL_Bc76_Bc25	9CL_Bc76_Bc26	9CL_Bc76_Bc27	9CL_Bc76_Bc28	9CL_Bc76_Bc31	9CL_Bc76_Bc32	9CL_Bc77_Bc01	9CL_Bc77_Bc02	9CL_Bc77_Bc03	9CL_Bc77_Bc04	9CL_Bc77_Bc05	9CL_Bc77_Bc09	9CL_Bc77_Bc10	9CL_Bc77_Bc11	9CL_Bc77_Bc12	9CL_Bc77_Bc13	9CL_Bc77_Bc14	9CL_Bc77_Bc15	9CL_Bc77_Bc16	9CL_Bc77_Bc17	9CL_Bc77_Bc20	9CL_Bc77_Bc21	9CL_Bc77_Bc23	9CL_Bc77_Bc24	9CL_Bc77_Bc25	9CL_Bc77_Bc26	9CL_Bc77_Bc28	9CL_Bc77_Bc29	9CL_Bc77_Bc30	9CL_Bc77_Bc31	9CL_Bc77_Bc32	9CL_Bc78_Bc01	9CL_Bc78_Bc02	9CL_Bc78_Bc03	9CL_Bc78_Bc04	9CL_Bc78_Bc05	9CL_Bc78_Bc06	9CL_Bc78_Bc07	9CL_Bc78_Bc09	9CL_Bc78_Bc10	9CL_Bc78_Bc11	9CL_Bc78_Bc12	9CL_Bc78_Bc13	9CL_Bc78_Bc14	9CL_Bc78_Bc15	9CL_Bc78_Bc16	9CL_Bc78_Bc17	9CL_Bc78_Bc18	9CL_Bc78_Bc19	9CL_Bc78_Bc20	9CL_Bc78_Bc21	9CL_Bc78_Bc22	9CL_Bc78_Bc23	9CL_Bc78_Bc24	9CL_Bc78_Bc25	9CL_Bc78_Bc26	9CL_Bc78_Bc27	9CL_Bc78_Bc28	9CL_Bc78_Bc29	9CL_Bc78_Bc30	9CL_Bc78_Bc31	9CL_Bc79_Bc01	9CL_Bc79_Bc02	9CL_Bc79_Bc03	9CL_Bc79_Bc04	9CL_Bc79_Bc05	9CL_Bc79_Bc07	9CL_Bc79_Bc08	9CL_Bc79_Bc09	9CL_Bc79_Bc10	9CL_Bc79_Bc11	9CL_Bc79_Bc12	9CL_Bc79_Bc13	9CL_Bc79_Bc14	9CL_Bc79_Bc15	9CL_Bc79_Bc16	9CL_Bc79_Bc17	9CL_Bc79_Bc18	9CL_Bc79_Bc20	9CL_Bc79_Bc22	9CL_Bc79_Bc23	9CL_Bc79_Bc24	9CL_Bc79_Bc25	9CL_Bc79_Bc26	9CL_Bc79_Bc27	9CL_Bc79_Bc28	9CL_Bc79_Bc30	9CL_Bc79_Bc31	9CL_Bc79_Bc32
PRPF4	2.74175715446472	1.48209464550018	0.841312229633331	1.74501848220825	2.99051380157471	0	1.61520528793335	2.19063520431519	1.21302533149719	1.43016040325165	0	1.83479654788971	3.83374333381653	0	4.54096603393555	0	3.54912495613098	0.854685544967651	6.37823486328125	5.08799982070923	0	0	1.12261390686035	0	4.27646350860596	5.07796669006348	3.46399688720703	0	1.39992272853851	1.67266666889191	0	0.554621875286102	1.42021870613098	0.570190370082855	0	0	5.71288967132568	3.40145111083984	1.30955564975739	2.44466996192932	1.44414484500885	0	1.03621184825897	0	2.65821099281311	0	3.34282755851746	3.87446069717407	1.05485475063324	3.50679349899292	1	0	0	2.29021716117859	1.35191762447357	0	2.86136555671692	0.744444847106934	1.41250038146973	1.25669515132904	0	3.02602910995483	3.75991153717041	1.41833770275116	2.09142661094666	2.08039116859436	3.54212141036987	1.12648177146912	2.03221035003662	0.883973121643066	0	0	1.23629307746887	0	0	2.30740118026733	0	0	0	0.875291645526886	0	2.02710843086243	0	2.7780499458313	4.51464414596558	4.23158931732178	1.91026258468628	2.94805288314819	3.36341762542725	9.51704597473145	1.64258539676666	0	2.8364634513855	3.48065209388733	2.26587915420532	3.34343552589417	2.26239514350891	2.69737005233765	0.83089029788971	0	4.05794048309326	1.94818997383118	0	1.89201271533966	1.57992327213287	0.605046987533569	3.05317401885986	6.23125410079956	1.87115430831909	3.61620950698853	5.28995037078857	0	1.29595053195953	1.45224869251251	1.90974688529968	2.60568165779114	1.89066684246063	0.833177268505096	3.78364038467407	3.57936215400696	1.19374108314514	2.9362895488739	0.999014377593994	2.62502336502075	0	4.40512323379517	4.06002569198608	1.271653175354	2.56020760536194	2.36941766738892	1.40521347522736	1.95486295223236	6.02141237258911	1.02499902248383	0	3.25142407417297	2.42067432403564	1.07921826839447	1.52790379524231	2.88317728042603	0	3.70025849342346	8.71968936920166	6.45581150054932	1.09860932826996	1.15776324272156	0	2.66858315467834	0	1.23615670204163	4.54463577270508	0	3.61148881912231	3.79952764511108	1.22812843322754	1.7623610496521	1.64563310146332	0	2.29172015190125
TARDBP	2.74175715446472	10.3754034042358	9.25443458557129	6.98007392883301	4.78482246398926	0	3.2304105758667	6.57190561294556	3.63907599449158	1.43016040325165	0	5.50438976287842	3.83374333381653	3.47622156143189	1.77703130245209	1.9141857624054	2.3660831451416	5.98279905319214	5.72845220565796	6.78399991989136	3.84100246429443	1.24083149433136	3.36784172058105	1.55505394935608	8.55292701721191	7.10915327072144	5.19599533081055	7.73607063293457	4.19976806640625	0	1.09052240848541	0	4.26065635681152	4.56152296066284	0	2.95160245895386	4.28466749191284	1.13381707668304	3.92866683006287	6.11167478561401	0	2.90656208992004	5.18105936050415	4.55846214294434	3.32276368141174	3.44274854660034	3.34282755851746	2.32467651367188	0	1.75339674949646	0	11.6521711349487	2.3374559879303	5.23478221893311	3.37979388237	7.22056388854981	3.81515407562256	6.7000036239624	3.53125095367432	6.28347587585449	5.83276462554932	4.53904342651367	4.69988965988159	1.41833770275116	6.27428007125855	1.04019558429718	6.9877200126648	2.25296354293823	8.12884140014648	4.41986560821533	7.33409357070923	7.18882465362549	3.70887899398804	3.92237591743469	11.4403696060181	0	0	3.40945029258728	13.6381072998047	5.25174999237061	4.17901849746704	2.02710843086243	4.03375244140625	8.33415031433106	8.52766132354736	3.6270763874054	5.09403371810913	7.07532691955566	6.72683525085449	6.05630207061768	4.10646343231201	16.1036262512207	7.56390237808228	1.74032604694366	3.02154994010925	6.68687105178833	3.98815011978149	2.69737005233765	3.73900651931763	4.35582780838013	4.05794048309326	0.974094986915588	0	4.73003149032593	3.94980812072754	5.44542264938355	4.88507843017578	3.11562705039978	4.98974466323853	5.42431449890137	5.87772274017334	7.64557933807373	4.53582668304443	5.80899477005005	3.81949377059937	3.90852236747742	11.3440008163452	4.16588640213013	5.67546081542969	3.57936215400696	11.3405408859253	1.46814477443695	9.99014377593994	3.50003123283386	6.73148059844971	2.20256161689758	6.76670980453491	2.54330635070801	2.56020760536194	3.15922355651855	4.21564054489136	5.86458873748779	6.02141237258911	6.14999437332153	0	1.08922708034515	7.70177888870239	2.15843653678894	3.81975936889648	5.44516849517822	4.23823022842407	0.925064623355865	7.62972831726074	8.60774803161621	5.49304676055908	8.10434341430664	1.68647563457489	5.33716630935669	0	4.9446268081665	6.05951452255249	5.39454650878906	4.5143609046936	1.2665091753006	6.1406421661377	1.7623610496521	8.19031620025635	7.46258020401001	4.58344030380249
FAM9B	0	0	0.841312229633331	0	0	1.52073800563812	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565333306789398	0	11.1674833297729	0	0	0	0	0	0	0.699961364269257	0	0	0	0	0	0	0	0	0	0	0	0.722072422504425	0	0	0.911692440509796	0	0	0	0	0	0	0	0	0	0	8.11150550842285	0.902344942092896	0	0	0	0	0	0.756507277488709	0	0	0	0	0	0	0	0	0	0	1.23629307746887	2.6149172782898	0	0	0	0	0	0	0	0	0	0	0	0	0.636754214763641	1.76883172988892	0	0	0	0	0	0	0	0	0.452479004859924	3.77631783485413	0	0	0	0	0	0.94600635766983	0	0	0	0	0	0	0	2.18445134162903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8403115272522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2665091753006	1.22812843322754	0	0	0	0
GABRG2	0	0	0	0.290836423635483	0	0	0	0	1.26154625415802	0	0	1.03023827075958	0	0	1.51365530490875	0	0	0	0	0.958240032196045	0	0	1.80404055118561	0	0	4.7194619178772	1.27042090892792	9.28521919250488	1.10663890838623	1.72702836990356	0	0	0	0	5.53722763061523	6.18803453445435	0	0	0	5.13625192642212	8.16736125946045	0	0	0	1.47796523571014	0	0	5.49630975723267	2.02321147918701	0	3.0239999294281	4.79875230789185	0	0	0	1.65490055084229	0	0	2.48105692863464	0	0	0	2.68645691871643	0	0	0	1.01481783390045	0	0	0	0	0	0	0	2.60424423217773	0	0	0	0	0	3.60370683670044	0	0	0.410804122686386	1.12966442108154	0	0	2.81303215026855	0	0	2.08772611618042	0	0	0	0	1.62240207195282	1.38684821128845	0	0	5.57894372940064	6.40261840820313	0	1.64276134967804	1.00087463855743	0	2.58294558525085	0	0	2.78552508354187	0	1.88968777656555	4.89863204956055	0.765906810760498	4.49180507659912	0	0	0	0	0	0	2.64115238189697	0	0	0	0	1.5539071559906	0	0	0	0	3.0352611541748	0	0	0	0	0	1.98011159896851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52574348449707	0	1.64176762104034	0
IFITM3	6.6624698638916	6.66942548751831	34.4938011169434	0.872509241104126	0.598102807998657	6.08295202255249	6.4608211517334	6.57190561294556	6.06512641906738	14.3016042709351	3.21339178085327	1.83479654788971	3.83374333381653	1.1587405204773	27.7619514465332	3.82837152481079	4.7321662902832	0	7.97279357910156	1.1306666135788	0.960250616073608	1.24083149433136	2.2452278137207	0	0	6.09356021881104	11.8269510269165	1.93401765823364	63.6964836120606	0	5.45261192321777	2.77310943603516	7.57449960708618	0.570190370082855	0	17.7096157073975	19.9951133728027	7.93671941757202	5.23822259902954	7.33400964736939	15.8855934143066	0	1.03621184825897	17.3221569061279	1.99365818500519	0	0	2.32467651367188	0	1.75339674949646	2	1.94202864170074	8.18109607696533	23.4364471435547	34.4738998413086	35.1914520263672	8.58409690856934	7.51219272613525	9.18478393554688	5.02678060531616	13.6097841262817	0.756507277488709	4.69988965988159	7.25054216384888	1.04571330547333	5.20097780227661	2.65659117698669	2.25296354293823	17.2737884521484	21.2153549194336	21.2073745727539	0	25.9621543884277	10.4596691131592	23.9207725524902	3.46110153198242	106.66236114502	20.4567012786865	6.0613808631897	1.75058329105377	1.39300620555878	3.04066252708435	2.68916821479797	0.347256243228912	11.5374240875244	3.6270763874054	5.09403371810913	2.35844230651855	4.20427179336548	25.9555797576904	9.85551261901855	5.36787557601929	7.56390237808228	5.22097778320313	21.8778190612793	27.5833435058594	0	0	0.83089029788971	18.2944755554199	12.1827487945557	0	1.64276134967804	0.94600635766983	5.52973127365112	3.02523493766785	3.66380882263184	0	13.0980796813965	14.4648380279541	0.587772250175476	19.6600608825684	0.647975265979767	34.8539695739746	1.90974688529968	3.03996181488037	0.691984057426453	12.4976596832275	7.56728076934815	0	1.79061162471771	0	1.69033241271973	4.37503910064697	4.4876537322998	1.10128080844879	4.06002569198608	1.271653175354	7.6806230545044	0	1.40521347522736	15.7776985168457	7.24616813659668	11.2749891281128	18.937707901001	1.08380806446075	0.403445720672607	8.63374614715576	9.93137454986572	8.07289600372315	3.17867279052734	0	0	8.60774803161621	0	5.78881645202637	11.8053293228149	1.33429157733917	26.2988433837891	14.8338804244995	12.119029045105	71.7677993774414	12.6402101516724	2.6647355556488	0	15.8612499237061	13.126392364502	3.19824862480164	5.72930002212524
STAR	5.48351430892944	2.96418929100037	9.25443458557129	4.07170963287354	2.39241123199463	0	8.07602596282959	13.1438112258911	13.3432788848877	14.3016042709351	12.8535671234131	12.8435754776001	22.0440235137939	6.95244312286377	3.02731060981751	1.9141857624054	2.3660831451416	11.9655981063843	15.148307800293	8.47999954223633	2.88075184822083	6.20415782928467	12.3487529754639	3.88763499259949	0.855292677879334	5.07796669006348	12.1239891052246	3.86803531646729	8.3995361328125	8.36333274841309	3.27156710624695	11.0924377441406	6.15522766113281	7.98266553878784	0	13.2822113037109	7.14111232757568	3.40145111083984	10.4764451980591	2.44466996192932	0.722072422504425	5.0864839553833	7.25348281860352	9.11692428588867	3.98731637001038	3.73670244216919	4.45710325241089	8.52381324768066	5.27427387237549	13.1504764556885	2	19.4202861785889	0	1.96304321289063	14.1951341629028	12.6328287124634	9.53788471221924	8.18889331817627	14.8312540054321	5.02678060531616	13.6097841262817	3.78253626823425	5.63986730575562	3.54584431648254	7.31999349594116	11.4421520233154	7.08424282073975	7.88537263870239	4.06442070007324	9.72370433807373	4.943443775177	4.49301528930664	58.1057739257813	7.84475183486939	11.4403696060181	5.55852890014648	35.5541191101074	3.40945029258728	9.09207153320312	7.87762498855591	1.39300620555878	6.0813250541687	15.4627170562744	1.73628127574921	2.50813579559326	5.44061470031738	15.9188547134399	10.6129903793335	1.68170881271362	6.05630207061768	7.39163446426392	5.36787557601929	2.8364634513855	5.22097778320313	3.02117228507996	10.0303068161011	7.69214344024658	29.671070098877	0.415445148944855	12.1963176727295	12.996771812439	2.92228507995605	0	2.83801889419556	19.7490406036377	11.4958925247192	9.77015686035156	2.07708477973938	11.2269258499146	9.94457626342773	4.70217800140381	32.7667694091797	10.3676042556763	14.5224866867065	13.3682279586792	12.5941276550293	1.89066684246063	0.833177268505096	0.946856081485748	1.19312071800232	8.95305824279785	10.2770137786865	8.99112987518311	6.12505483627319	2.2438268661499	9.91152667999268	2.70668387413025	11.444878578186	3.8403115272522	3.94902944564819	5.62085390090942	0	1.20428252220154	8.19999217987061	5.82698726654053	7.58665609359741	6.44585227966309	16.1882743835449	8.40347099304199	7.49626064300537	2.11911511421204	11.100775718689	0	27.9751815795898	5.49304676055908	2.31552648544312	6.74590253829956	10.6743326187134	9.89494037628174	4.9446268081665	4.54463577270508	23.9225997924805	2.70861649513245	5.06603670120239	11.0531558990479	12.3365278244019	2.46844959259033	7.46258020401001	10.3127403259277
MS4A3	0	0	0	0.290836423635483	0	0	0	0	0	0	0	0	0	0	0	0	0	3.41874217987061	0	0	0	0	2.2452278137207	0	4.27646350860596	0	0	0	0	0	0	0	0	0	0	0	0	10.2043533325195	1.30955564975739	0	0.818108081817627	0	15.5431776046753	0	0	0	0	0.774892151355743	0	0	0	0	0	0	0	0	0	0	1.41250038146973	0	0	0	0	0	0	0	0	0	0	0	0	0	17.3081016540527	0	0	0	0	0	0	0	0	1.01355421543121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73976993560791	3.63028192520142	0	0	0	0	0	0	0.647975265979767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.5314903259277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.39443731307983	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRR	0	2.22314190864563	0	0.290836423635483	0.598102807998657	0	0	0	4.85210132598877	0	0	0	0.958435833454132	3.47622156143189	0	0	0	3.41874217987061	1.59455871582031	0	1.92050123214722	0	3.36784172058105	0.77752697467804	0	1.01559329032898	0	0	2.09988403320313	0.836333334445953	0	0	1.42021870613098	0.570190370082855	0	2.95160245895386	0	0	0	0	0	0	15.5431776046753	1.82338488101959	1.99365818500519	0	6.68565511703491	0.774892151355743	1.05485475063324	0.87669837474823	1	0	0	0	0	3.60937976837158	3.81515407562256	2.97777938842773	0	0	0	0	0	3.54584431648254	0	5.20097780227661	0	0	0	0	0.988688766956329	0	1.23629307746887	0	0	1.15370059013367	8.88852977752686	0	1.51534521579742	2.6258749961853	1.39300620555878	0	0	0.694512486457825	6.01952600479126	0	0	1.17922115325928	4.20427179336548	1.73037195205688	0	0	0.945487797260284	0	2.26587915420532	0.835858881473541	0.904958009719849	0	1.24633550643921	0	0.811588108539581	0	0	0	0	0	0.610634803771973	0	7.48461723327637	0	0	0	0	1.45224869251251	0	0	0	0	0	2.38624143600464	0	0	0	1.75001561641693	0	5.50640392303467	0	0	0	0	0	0	1.20428252220154	1.02499902248383	0	0	0.403445720672607	1.07921826839447	0.763951897621155	0	1.05955755710602	0	0	0	0	2.31552648544312	1.68647563457489	0	3.28735542297363	0	0	2.39226007461548	0	0	0	1.7623610496521	0	0	2.29172015190125
H2AC6	4.11263561248779	5.92837858200073	8.41312217712402	15.6327476501465	4.78482246398926	10.6451654434204	11.3064365386963	4.38127040863037	13.9607076644897	7.15080213546753	11.2468709945679	11.0087795257568	2.87530755996704	13.9048862457275	4.54096603393555	22.9702281951904	0	6.83748435974121	5.41910743713379	7.3493332862854	7.68200492858887	3.72249460220337	7.85829734802246	7.77526998519898	8.55292701721191	7.10915327072144	6.06199455261231	15.4721412658691	27.2984943389893	4.18166637420654	6.5431342124939	1.1092437505722	17.0426254272461	5.13171339035034	13.3427171707153	1.47580122947693	5.71288967132568	1.13381707668304	2.61911129951477	18.3350238800049	28.8828983306885	20.3459358215332	3.10863566398621	8.20523166656494	25.9175567626953	19.9290790557861	4.45710325241089	30.2773628234863	7.38398313522339	9.6436824798584	3	5.82608556747437	8.18109607696533	13.7413024902344	10.8153409957886	10.8281393051147	9.21073532104492	11.9111175537109	9.18125247955322	3.77008557319641	19.4425487518311	6.05205821990967	5.63986730575562	16.310884475708	2.09142661094666	3.12058687210083	5.31318235397339	19.1501903533936	7.11273670196533	5.3038387298584	11.8731632232666	1.79720616340637	1.23629307746887	6.53729295730591	13.5204372406006	14.9981069564819	0	13.6701908111572	7.57672595977783	10.5034999847412	11.1440496444702	1.01355421543121	7.39521265029907	11.4594564437866	7.52440738677979	19.9489192962647	18.4658718109131	12.9714326858521	15.9762334823608	13.8429756164551	1.64258539676666	10.7357511520386	7.56390237808228	3.48065209388733	20.8053016662598	12.9558124542236	18.0991611480713	3.2368438243866	15.7869157791138	3.48466205596924	16.231761932373	0.974094986915588	4.92828416824341	5.67603778839111	25.278772354126	4.84037590026856	6.10634803771973	16.616678237915	1.24743616580963	2.71215724945068	9.40435600280762	13.106707572937	16.1993808746338	7.26124334335327	13.3682279586792	3.47424221038818	5.67200040817261	2.49953174591064	2.83773040771484	7.15872430801392	10.1467990875244	8.80886840820313	0	2.62502336502075	4.4876537322998	2.20256161689758	6.76670980453491	5.08661270141602	11.5209341049194	10.2674760818481	9.83649444580078	4.88715744018555	6.02141237258911	6.14999437332153	4.37024021148682	34.6818580627441	28.2411994934082	28.0596752166748	10.6953258514404	4.61308336257935	1.05955755710602	35.1524543762207	5.44980621337891	4.30387401580811	20.8735771179199	3.7152624130249	5.05942678451538	9.3400411605835	13.1494216918945	6.18078327178955	6.05951452255249	2.39226007461548	14.4459552764893	6.33254623413086	2.45625686645508	0	37.0267448425293	0	12.6044597625732
SCN7A	1.37087857723236	0	0	0.366744726896286	0.610662937164307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28312993049622	0	0	0	0	0	3.86803531646729	0.699961364269257	0	0	0	0	0	0	0	0	0	0	0	2.91572856903076	0.762245953083038	0	0	0	0	1.11427581310272	0	0	0	0	0	0	0	7.53761625289917	0	0	0	0	2.51339030265808	0	0	0	0	0	0	0	0	0	0.883973121643066	0	0	0	0	1.04003357887268	0	0	0	0	0	0	0	0.672292053699493	0	0	0	0	0	0	0	0	0	0	0	0	3.51729440689087	0	0.539474010467529	0.905670464038849	0.87116551399231	0	0	0	0	0	0	0	0	0	0	1.17554450035095	0	1.29595053195953	0	0	0	0	0	0	0	0	0	0	0	0	1.11339485645294	0	0	0	0	0	1.95486295223236	0	0	0	9.11699295043945	0	0	0.763951897621155	0	0	0	0	0	1.10849678516388	1.15776324272156	0	0	0	0	0	2.39226007461548	0	0	0	0	0	0	0
