""	cell_0	cell_1	cell_2	cell_3	cell_4	cell_5	cell_6	cell_7	cell_8	cell_9	cell_10	cell_11	cell_12	cell_13	cell_14	cell_15	cell_16	cell_17	cell_18	cell_19	cell_20	cell_21	cell_22	cell_23	cell_24	cell_25	cell_26	cell_27	cell_28	cell_29	cell_30	cell_31	cell_32	cell_33	cell_34	cell_35	cell_36	cell_37	cell_38	cell_39	cell_40	cell_41	cell_42	cell_43	cell_44	cell_45	cell_46	cell_47	cell_48	cell_49	cell_50	cell_51	cell_52	cell_53	cell_54	cell_55	cell_56	cell_57	cell_58	cell_59	cell_60	cell_61	cell_62	cell_63	cell_64	cell_65	cell_66	cell_67	cell_68	cell_69	cell_70	cell_71	cell_72	cell_73	cell_74	cell_75	cell_76	cell_77	cell_78	cell_79	cell_80	cell_81	cell_82	cell_83	cell_84	cell_85	cell_86	cell_87	cell_88	cell_89	cell_90	cell_91	cell_92	cell_93	cell_94	cell_95	cell_96	cell_97	cell_98	cell_99	cell_100	cell_101	cell_102	cell_103	cell_104	cell_105	cell_106	cell_107	cell_108	cell_109	cell_110	cell_111	cell_112	cell_113	cell_114	cell_115	cell_116	cell_117	cell_118	cell_119	cell_120	cell_121	cell_122	cell_123	cell_124	cell_125	cell_126	cell_127	cell_128	cell_129	cell_130	cell_131	cell_132	cell_133	cell_134	cell_135	cell_136	cell_137	cell_138	cell_139	cell_140	cell_141	cell_142	cell_143	cell_144	cell_145	cell_146	cell_147	cell_148	cell_149	cell_150	cell_151	cell_152	cell_153	cell_154	cell_155	cell_156	cell_157	cell_158	cell_159	cell_160	cell_161	cell_162	cell_163	cell_164	cell_165	cell_166	cell_167	cell_168	cell_169	cell_170	cell_171	cell_172	cell_173	cell_174	cell_175	cell_176	cell_177	cell_178	cell_179	cell_180	cell_181	cell_182	cell_183	cell_184	cell_185	cell_186	cell_187	cell_188	cell_189	cell_190	cell_191	cell_192	cell_193	cell_194	cell_195	cell_196	cell_197	cell_198	cell_199	cell_200	cell_201	cell_202	cell_203	cell_204	cell_205	cell_206	cell_207	cell_208	cell_209	cell_210	cell_211	cell_212	cell_213	cell_214	cell_215	cell_216	cell_217	cell_218	cell_219	cell_220	cell_221	cell_222	cell_223	cell_224	cell_225	cell_226	cell_227	cell_228	cell_229	cell_230	cell_231	cell_232	cell_233	cell_234	cell_235	cell_236	cell_237	cell_238
PRPF4	0	2.3711268901825	0.702060520648956	0	2.4341413974762	2.15444040298462	1.9892578125	1.13924109935761	0.862143695354462	3.35904169082642	0.595356702804565	4.0275936126709	1.17244207859039	3.54456448554993	0	1.68809139728546	0	0	3.50931262969971	0	2.18019247055054	3.68902063369751	1.10048091411591	0	0.705819010734558	2.22248697280884	3.04100942611694	2.27016639709473	4.64583444595337	4.13799571990967	5.73815298080444	4.44029569625855	0	3.33014535903931	0	2.17063355445862	3.44275069236755	1.26507091522217	1.76921248435974	3.39666771888733	3.89848947525024	2.61646604537964	2.16453266143799	5.62984466552734	0	0.956170380115509	1.49511563777924	1.91045844554901	0.413284927606583	0.519431293010712	4.79213809967041	0	1.75921583175659	0	0	0	1.55252635478973	7.12801218032837	0	5.79665517807007	4.34010171890259	0	2.61078715324402	0	3.31226110458374	4.56468152999878	7.4197883605957	8.10834121704102	2.06970381736755	3.20367121696472	0	6.00321674346924	4.55910539627075	4.13397645950317	0	7.69150257110596	2.97978186607361	1.18106138706207	1.89065551757813	0	6.23785018920898	3.48486256599426	1.91899693012238	1.22245454788208	3.07943248748779	4.37690591812134	3.22458338737488	1.7195817232132	1.96294057369232	6.88100957870483	2.51814818382263	2.68025636672974	2.66445755958557	3.11752247810364	2.97444772720337	0	2.29551482200623	2.13444185256958	1.38825142383575	0.872751474380493	3.82163906097412	0.940854847431183	3.15016889572144	0	2.95409154891968	0	2.41167116165161	0.90648877620697	1.56671392917633	3.24175786972046	5.92839670181274	1.83356630802155	2.54220604896545	0	2.77753591537476	0.88601166009903	0.678896248340607	0	1.49488544464111	3.83480882644653	0.962811529636383	2.06873321533203	3.14806652069092	8.28800773620606	0	1.45341801643372	6.28308725357056	1.53015005588532	0	1.16905212402344	0	0	0	0	1.19467151165009	1.5661746263504	2.87190699577332	1.26335799694061	4.70190334320068	1.09343731403351	2.56217074394226	6.2703275680542	0	2.26677250862122	5.72056293487549	0	2.23683190345764	3.00868153572083	1.34198153018951	8.56128025054932	0	3.06571483612061	3.44233560562134	10.4654874801636	0	3.1514744758606	1.77663040161133	0	2.61621069908142	1.6510021686554	2.87335300445557	1.27655434608459	3.09012174606323	4.45173740386963	0.937038838863373	1.948774933815	1.44834172725678	3.17235517501831	3.47699594497681	1	2.21139478683472	1.64568209648132	1.69625556468964	1.48171448707581	0	0	1.27176928520203	1.77604508399963	1.05519783496857	1.68629217147827	2.69799256324768	2.4584333896637	3.75352001190186	3.67727756500244	4.33531904220581	0	0	1.53664398193359	0	3.31924033164978	4.97110652923584	0.865527331829071	0	0	2.69766235351563	1.24776256084442	0	1.89350843429565	3.66487073898315	1.68371737003326	2.10825610160828	2.9492073059082	0	3.26342558860779	2.49398589134216	0	6.18189716339111	5.01032686233521	2.61261487007141	4.53460454940796	1.40448689460754	1.78808867931366	2.93018484115601	1.43366241455078	3.58860945701599	1.74493801593781	1.31257438659668	4.11937522888184	0	2.28927612304688	4.41233158111572	1.8730890750885	1.16826391220093	1.27310419082642	0	2.67719984054565	0.656358242034912	3.45102763175964	0	1.92036426067352	2.40616941452026	4.57695388793945	0	3.0637788772583	2.29074597358704	0.692500948905945	2.31490039825439	1.29713404178619	4.46808099746704
PPARGC1A	0	0	0	0	0.347734481096268	1.07722020149231	0	0	0	0	0	0	0	0	0	1.12539434432983	0	0	0	0	0	3.68902063369751	0	0	0	0	0	0	0	0	0	0.555036962032318	0	1.11004841327667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.519431293010712	0	0	0	0	4.04518938064575	0	0	0	0	0	0	0	0	0	0	0	0	0	0.689901292324066	0	0	0	0	0	0	0	0	0	0	0	0	0.871215641498566	0	0	0	0	0	0	0	1.14683496952057	0.839382708072662	0	0	0	0	0.699308216571808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.694383978843689	0	0.678896248340607	8.5258903503418	0	0	0	0	0	0	3.4650764465332	0	0	0	0	0	0	0	2.91925382614136	3.26346945762634	1.19467151165009	0	0.717976748943329	0	0	1.09343731403351	0	0	0	0	0	0	0.55920797586441	0	0	0	0	0	0	0	0	0	0	0	0	0.275167018175125	0	0.638277173042297	0	0	0	0	0	1.0574517250061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44510626792908	0	0	0	1.29567909240723	0	1.65703547000885	0	0	0	1.07906496524811	1.24776256084442	0	0	0	0	0.702751994132996	0.589841485023499	0.500443518161774	0.652685105800629	0	0	0	0	0	0	0.702243447303772	0	0	0	0	0	0	0	0	0.457855224609375	0	0.624363005161285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.578725099563599	0	0
TARDBP	0.65580815076828	0	5.61648416519165	2.00349617004395	3.82507920265198	2.15444040298462	0.795703113079071	5.69620561599731	1.72428739070892	1.67952084541321	0	3.22207474708557	3.51732635498047	14.1782579421997	0	0.562697172164917	1.98081147670746	8.18013286590576	0	1.4111453294754	8.72076988220215	5.53353118896484	4.40192365646362	1.43637871742249	0	1.66686522960663	0.868859827518463	1.13508319854736	3.09722304344177	0	9.56358814239502	0	4.42844104766846	3.33014535903931	5.00908517837524	0	1.3771003484726	0.632535457611084	3.09612202644348	4.75533485412598	0	0	2.16453266143799	2.25193786621094	1.38583266735077	0	0	1.91045844554901	1.65313971042633	0	2.39606904983521	1.68243288993835	1.75921583175659	0.837788343429565	4.04518938064575	0	0.776263177394867	0	0	0	1.08502542972565	0	1.30539357662201	1.10949003696442	0.552043497562408	0	0	5.79167222976685	1.37980258464813	0.80091780424118	0	3.00160837173462	1.51970183849335	0	2.27848219871521	3.07660102844238	1.78786909580231	1.18106138706207	2.83598327636719	1.65184533596039	0	1.74243128299713	0	1.83368182182312	2.30957436561584	2.18845295906067	2.30327391624451	2.57937264442444	0	3.44050478935242	0	0	2.66445755958557	1.87051343917847	1.18977904319763	0.699308216571808	0	1.06722092628479	0.694125711917877	2.61825442314148	1.52865564823151	1.88170969486237	0.90004825592041	4.28112602233887	1.47704577445984	0.729396522045136	2.41167116165161	0	0	3.70486617088318	2.96419835090637	1.83356630802155	2.54220604896545	1.89227771759033	0.694383978843689	1.77202332019806	2.03668880462646	2.84196352958679	0.747442722320557	3.83480882644653	1.92562305927277	2.58591651916504	1.57403326034546	1.03600096702576	1.7325382232666	2.90683603286743	0	3.06030011177063	2.5639021396637	3.50715613365173	0	0	2.91925382614136	4.89520406723023	0.597335755825043	1.5661746263504	1.43595349788666	1.26335799694061	2.82114195823669	5.46718645095825	3.66024398803711	0.895761072635651	4.97314500808716	2.26677250862122	1.90685439109802	2.42942261695862	2.23683190345764	4.51302242279053	0	1.83456015586853	0.950029313564301	4.59857225418091	3.44233560562134	5.23274374008179	0	0	2.66494560241699	2.98352003097534	3.73744368553162	2.75167012214661	5.02836751937866	6.3827714920044	0	1.48391234874725	4.68519449234009	0.649591624736786	2.1725127696991	1.0574517250061	3.47699594497681	2	4.42278957366943	2.19424295425415	4.24063873291016	2.22257161140442	7.51517963409424	3.36393284797668	1.27176928520203	5.32813501358032	3.16559362411499	0	2.02349448204041	2.4584333896637	1.12605595588684	0	0	0	0	6.14657592773438	0	0	2.48555326461792	2.59658193588257	0	1.29078435897827	1.07906496524811	1.24776256084442	1.41468393802643	1.26233899593353	0	1.68371737003326	2.81100797653198	0	0	1.95805537700653	0	0	0	1.00206530094147	1.74174320697784	2.26730227470398	2.80897378921509	0	4.68829584121704	0	5.3829140663147	0.872469007968903	2.62514877319336	4.11937522888184	1.82275152206421	1.37356567382813	0	3.12181496620178	2.33652782440186	2.54620838165283	0	6.2467999458313	3.93814945220947	0	3.85348916053772	2.88054633140564	7.21850824356079	0	1.35912382602692	6.1275577545166	4.58149194717407	3.46250462532043	2.31490039825439	1.94570100307465	2.6808488368988
MTG1	0.65580815076828	0	0	1.33566415309906	0.347734481096268	0	3.18281245231628	0.569620549678803	0.862143695354462	0	0	0.805518686771393	3.51732635498047	0	0	1.12539434432983	0	0	0	0	0	0	0	0	0.705819010734558	1.11124348640442	0	2.27016639709473	0	0	0	0.555036962032318	0	0	0	1.44708907604218	1.3771003484726	0	1.76921248435974	2.03800058364868	0	1.7443106174469	3.24679899215698	0	0	0	1.49511563777924	0	0.413284927606583	0	0	0	0.586405277252197	2.5133650302887	0	0	1.55252635478973	1.5840026140213	2.81198573112488	1.93221831321716	2.17005085945129	0	1.74052476882935	0	0	0	0	1.15833449363709	1.37980258464813	0	0	0	0	0	2.27848219871521	0	0	1.18106138706207	0	3.30369067192078	0	0	0.959498465061188	0	0	1.09422647953033	0.460654765367508	0	0	2.29366993904114	2.51814818382263	0	0	1.24700891971588	3.5693371295929	2.09792447090149	0	0	0.694125711917877	0.872751474380493	0.764327824115753	0	0.90004825592041	0	0	0.729396522045136	1.20583558082581	0	0	2.31554126739502	0.592839658260346	0.916783154010773	2.54220604896545	0	0	0.88601166009903	2.71558499336243	5.68392705917358	1.49488544464111	0	0.962811529636383	1.55154991149902	0	1.03600096702576	0	0.726709008216858	0	1.53015005588532	1.28195106983185	1.16905212402344	0	1.8821474313736	0	0	1.19467151165009	2.08823275566101	0	0	0.94038063287735	0	0	0.895761072635651	0	0	1.90685439109802	2.42942261695862	0.55920797586441	0	2.68396306037903	1.22304010391235	0	0	0.860583901405335	0	5.80150651931763	0	2.66494560241699	0	0.747488737106323	1.1006680727005	0	0	1.54506087303162	0	0.937038838863373	0.649591624736786	0.724170863628388	1.0574517250061	3.47699594497681	1	1.10569739341736	0	0	0.370428621768951	18.7879486083984	1.68196642398834	1.27176928520203	1.77604508399963	0	0	0	1.63895559310913	0	1.22575914859772	0	0	0	1.53664398193359	0	0	0	0.865527331829071	2.45934700965881	0	0.539532482624054	3.1194064617157	0	0	0	0	0	1.7695244550705	1.50133061408997	5.22148084640503	0	0	0	0	0.870871603488922	0	0.702243447303772	0	0.58603698015213	0.716831207275391	0	2.61740708351135	0	0	0.911375761032104	1.8314208984375	2.9415545463562	0	0	6.36552095413208	0	0	0	0	1.28449642658234	0	0	0	0	2.04251909255981	0	0.692500948905945	0	0	0
IFITM3	0	2.3711268901825	0.702060520648956	2.67132830619812	0.695468962192535	1.07722020149231	0.397851556539536	1.13924109935761	0	0	1.19071340560913	0	1.17244207859039	10.6336936950684	4.06518650054932	1.12539434432983	1.98081147670746	0	0	0	0	0	0	0	0	0.55562174320221	0.434429913759232	0	1.54861152172089	2.06899785995483	0	0.555036962032318	0	1.11004841327667	2.50454258918762	2.17063355445862	6.19695138931274	3.7952127456665	0.884606242179871	2.03800058364868	6.49748277664185	0.87215530872345	4.32906532287598	1.12596893310547	0	0	2.24267339706421	1.91045844554901	0.413284927606583	6.7526068687439	0	1.68243288993835	0	2.5133650302887	8.0903787612915	0	0	5.5440092086792	0	0	1.08502542972565	0	0.435131192207336	0	1.10408699512482	0	0	0	1.37980258464813	1.60183560848236	0	0	1.51970183849335	1.65359055995941	0	3.07660102844238	2.3838255405426	1.18106138706207	0.945327758789062	0	0	0.871215641498566	0.959498465061188	2.44490909576416	1.5397162437439	0	0.921309530735016	0.859790861606598	0	5.73417472839356	7.55444478988648	0	0	0.623504459857941	1.18977904319763	0	3.44327211380005	0	0	0.872751474380493	6.11462259292603	0	0.90004825592041	0	0	0	0	0.453244388103485	0	1.38932478427887	0	0	0	0	1.38876795768738	0	0	0	0	0	1.92562305927277	0	10.2312164306641	1.03600096702576	0	0	0	0	0.640975534915924	0	0	0	0	1.63173472881317	0.597335755825043	2.08823275566101	0	0	1.8807612657547	1.09343731403351	0	0	2.48657250404358	2.26677250862122	0	0	0.55920797586441	0	0	0	0.950029313564301	0	3.44233560562134	0	0	0	0.888315200805664	0	0	0.275167018175125	6.46504402160645	4.46794033050537	0	4.45173740386963	0.937038838863373	0.649591624736786	0	1.0574517250061	0	0	1.10569739341736	2.19424295425415	0	0.370428621768951	0	0	3.81530785560608	3.55209016799927	0	2.52943825721741	2.02349448204041	0	0.750703990459442	0	1.44510626792908	2.84629821777344	0	0	0	0	0	0.865527331829071	12.2967357635498	0	2.15812993049622	0	0	0	2.44324707984924	0	0	0.589841485023499	0.500443518161774	0	2.49398589134216	0	3.70913815498352	1.00206530094147	0	1.13365113735199	0.702243447303772	5.36426591873169	2.34414792060852	0.716831207275391	0	0	0	0	1.82275152206421	1.8314208984375	1.4707772731781	0	2.33652782440186	0	0	0	0.656358242034912	3.45102763175964	1.28449642658234	0	0	0	1.35912382602692	0	0	0	0	0	0
MAGED2	0	0	0	0	0.347734481096268	0	0	0	0	0	0	0	0	3.54456448554993	0	0	1.98081147670746	0	0.877328157424927	0	2.18019247055054	0	2.20096182823181	0	0	0	0	0	0	0	0	0	0	0	0	0.723544538021088	0.688550174236298	0.632535457611084	0	0	0	0	0	0	0	0	0.747557818889618	0	0	0	0	0	0	0.837788343429565	0	0	0	0	0	0	3.25507640838623	0	0.435131192207336	0	0	0	0	0	1.37980258464813	0.80091780424118	0	0	0	0.826795279979706	9.11392879486084	0	0.595956385135651	0	0.945327758789062	0	0	0.871215641498566	0	0	0.769858121871948	0	0.460654765367508	0	0	0	0	0	0	0.623504459857941	0	0	3.44327211380005	0	2.77650284767151	1.74550294876099	0	0	0	0	1.47704577445984	0	0	0.90648877620697	0	0	0	0	1.27110302448273	0	0	0.88601166009903	0	0	0	0	0	0.517183303833008	0	0	0	0	0	1.53015005588532	0	0	4.1005744934082	0	0	0	0	0	0.717976748943329	0	0.94038063287735	0	0	0.895761072635651	2.48657250404358	1.13338625431061	1.90685439109802	0	0	0	0	0	0.950029313564301	0	0	0	0	1.0504914522171	0	0	0	0	0	0	1.54506087303162	0	0	0	0.724170863628388	0	0	2	0	0	0	1.85214304924011	0	0	0	0	0	0.843146085739136	3.37249064445496	0	0.375351995229721	1.22575914859772	0	0	0	0	0	0	0.828517735004425	0.865527331829071	4.91869401931763	0	0	0	0	0	0	0	0.702751994132996	0.589841485023499	0	0	0	0	0	0	0	0	0	0	0	0.716831207275391	0	0.872469007968903	0	0	0	0	0	0	3.50479173660278	0	0	0.892399966716766	0	0	0	1.92036426067352	0	0	0	0	0	0.692500948905945	2.89362573623657	0.648567020893097	0
PRPF39	0	0	0	0.66783207654953	0	0	1.19355475902557	2.84810280799866	0	0	0.595356702804565	0	0	0	0	0	0	0	0	1.4111453294754	0	1.84451031684876	1.10048091411591	0	0	0	0.434429913759232	0	0	0	0	0	0	0	0	1.44708907604218	0.688550174236298	0	0	0	0	0.87215530872345	0	0	0	0	0	0	0.413284927606583	0	0	0	0	0	0	0	0	3.1680052280426	0	0	0	0	0	0.554745018482208	0	0	0	1.15833449363709	0	0	0	0	0	0	0	1.53830051422119	0.595956385135651	0	0	0	0	0	0	0	0.769858121871948	1.09422647953033	0.460654765367508	0	0.981470286846161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.916783154010773	0	0	0	0	0	11.3678541183472	1.49488544464111	0	0	0	0	0	0	1.45341801643372	0	0	0	0	0	0	0	0	0.597335755825043	0.522058188915253	0	0	0	0	0	0	0	0	0	0	0.55920797586441	0	0	0	0	0	0.860583901405335	2.61637187004089	0	0	0	0	0	0	0	0	0	1.48391234874725	0	0	0	0	0	1	0	0	0	0.370428621768951	0	1.68196642398834	0	1.77604508399963	1.05519783496857	0	0.67449814081192	0	0	0	0	0	0	0	0	0	0.828517735004425	0	0	0	0	0.623881280422211	0	0	0	0	0	0.589841485023499	0	0	0	0	0	1.00206530094147	0	0	0.702243447303772	0	0	0	0	0	0	0	0	0.91571044921875	0	0	0	0	0	0	0	0	1.28449642658234	0.960182130336761	0	1.14423847198486	0	0	0	0	0	0	0
DNASE1L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43637871742249	0	0.55562174320221	0	0	1.54861152172089	0	0	0	0	0	0	0	0	0	0	0	2.59899306297302	0	1.08226633071899	0	0	3.82468152046204	0	0	0.413284927606583	0	0	0	0	0	4.04518938064575	12.2396574020386	0	0	0	0	1.08502542972565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.61490154266357	0	0	0	0	0	0	1.91899693012238	0	0	0	0	0	0	0	0	0	0	0	0	0.699308216571808	1.14775741100311	0	0	0	0.764327824115753	0	0	0	0	0.729396522045136	3.61750674247742	0	0	0.926216542720795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.597335755825043	0	0	0	0	0	0	0	4.97314500808716	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66494560241699	0	0	0.275167018175125	0.718338251113892	0	0	0	0	0	0.724170863628388	1.0574517250061	0	0	0	0	0	0	0	0	0	0	0	0	0.67449814081192	0	0	0	0	0	1.88185548782349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.652685105800629	0	0	0	1.00206530094147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.893616259098053
BRCC3	0.65580815076828	2.3711268901825	0.702060520648956	1.33566415309906	1.73867237567902	2.15444040298462	1.19355475902557	1.13924109935761	0.862143695354462	0	0.595356702804565	1.61103737354279	1.17244207859039	0	0	0.562697172164917	1.98081147670746	1.63602650165558	0	0	0	1.84451031684876	2.20096182823181	14.3637866973877	0.705819010734558	0	0	2.27016639709473	0	4.13799571990967	9.56358814239502	0.555036962032318	0	2.22009682655334	0	2.17063355445862	2.75420069694519	0	1.32690942287445	0.679333508014679	0	0.87215530872345	1.08226633071899	5.62984466552734	1.38583266735077	1.91234076023102	2.24267339706421	9.55229187011719	2.06642460823059	0.519431293010712	2.39606904983521	1.68243288993835	0.586405277252197	0.837788343429565	0	0	3.88131594657898	0	0	1.93221831321716	0	4.61548709869385	1.30539357662201	0	0.552043497562408	2.28234076499939	0	5.79167222976685	1.37980258464813	0	2.34613156318665	0	0	5.78756713867188	0	0	0	1.18106138706207	0	1.65184533596039	3.11892509460449	0	0.959498465061188	1.22245454788208	0.769858121871948	2.18845295906067	0	0.859790861606598	0.981470286846161	0	0	0	0	0.31175222992897	0	0.699308216571808	0	0	1.38825142383575	1.74550294876099	5.35029458999634	0	0.90004825592041	2.14056301116943	1.47704577445984	0	0	0	0	0	2.96419835090637	0.916783154010773	0	0	0.694383978843689	1.77202332019806	0.678896248340607	11.3678541183472	2.24232816696167	0	1.92562305927277	0.517183303833008	1.57403326034546	1.03600096702576	1.7325382232666	1.45341801643372	0	1.53015005588532	3.20487761497498	1.16905212402344	0	1.8821474313736	1.45962691307068	3.26346945762634	2.38934302330017	1.04411637783051	0.717976748943329	0	0	1.09343731403351	0.366024404764175	1.7915221452713	2.48657250404358	2.26677250862122	0	1.21471130847931	0.55920797586441	3.00868153572083	0	1.22304010391235	0	3.06571483612061	0	2.61637187004089	5.80150651931763	0	2.66494560241699	0	0.747488737106323	0.825501084327698	0	1.27655434608459	0	1.48391234874725	0	0.649591624736786	2.1725127696991	1.0574517250061	0	0	0	0	0.848127782344818	2.5930004119873	0	3.36393284797668	1.27176928520203	0	6.33118724822998	2.52943825721741	2.02349448204041	0	0.750703990459442	4.90303659439087	1.44510626792908	0	0	0	1.29567909240723	4.64693641662598	1.65703547000885	1.73105466365814	0	0	0.539532482624054	0.623881280422211	0	0.631169497966766	0	0	4.21651220321655	0.589841485023499	1.50133061408997	0.652685105800629	9.97594356536865	10.5382270812988	0	0	0.870871603488922	0	0.702243447303772	0	0.58603698015213	0.716831207275391	5.3829140663147	0.872469007968903	0	2.05968761444092	0	2.74713134765625	2.9415545463562	0.624363005161285	0	0	0	0.892399966716766	0.656358242034912	5.17654132843018	1.28449642658234	0.960182130336761	2.40616941452026	2.28847694396973	5.43649530410767	3.0637788772583	0	2.77000379562378	0.578725099563599	1.29713404178619	0
ADAL	1.96742451190948	2.3711268901825	0.702060520648956	0	1.04320347309113	4.30888080596924	0.397851556539536	2.27848219871521	0.862143695354462	3.35904169082642	0.595356702804565	1.61103737354279	0	0	2.03259325027466	0.562697172164917	3.96162295341492	3.27205300331116	0	0	0	1.84451031684876	0	2.87275743484497	1.41163802146912	0.55562174320221	1.73771965503693	0	0	0	0	1.11007392406464	0	0	0	0.723544538021088	6.19695138931274	0.632535457611084	0.442303121089935	0.679333508014679	1.29949653148651	0.87215530872345	6.49359798431397	2.25193786621094	0	2.86851119995117	1.49511563777924	3.82091689109802	2.06642460823059	3.11658763885498	0	1.68243288993835	1.75921583175659	2.5133650302887	24.2711353302002	4.07988548278809	2.32878947257996	0	2.81198573112488	0.966109156608582	0	2.30774354934692	0	3.8832151889801	2.7602174282074	2.28234076499939	3.70989418029785	2.31666898727417	2.75960516929626	0	0	0	3.03940367698669	0.826795279979706	0	0	2.3838255405426	0	2.83598327636719	3.30369067192078	0	0	0	1.22245454788208	0	2.18845295906067	1.38196432590485	0.859790861606598	0	2.29366993904114	1.67876541614532	0	6.21706771850586	0.623504459857941	0.594889521598816	5.59446573257446	1.14775741100311	2.13444185256958	2.08237719535828	1.74550294876099	2.2929835319519	1.88170969486237	0.450024127960205	0	2.95409154891968	1.45879304409027	0	0.453244388103485	0	2.31554126739502	1.18567931652069	4.58391571044922	0	3.78455543518066	0	0	0.678896248340607	0	0.747442722320557	0	0	2.06873321533203	2.36104989051819	1.03600096702576	3.4650764465332	0.726709008216858	0	0	1.28195106983185	4.67620849609375	0	1.8821474313736	4.37888097763062	1.63173472881317	0.597335755825043	0.522058188915253	1.43595349788666	0	0	0	0.366024404764175	1.7915221452713	0	0	1.90685439109802	0	1.67762386798859	1.50434076786041	0	0	0.950029313564301	0	0	0	0	0	0.888315200805664	0	1.12123310565948	1.1006680727005	1.43667650222778	3.82966303825378	0	1.48391234874725	0	4.54714155197144	1.44834172725678	0	1.7384979724884	2	0	2.19424295425415	0.848127782344818	1.11128580570221	0	1.68196642398834	2.54353857040405	1.77604508399963	2.11039566993713	2.52943825721741	2.69799256324768	2.4584333896637	1.87676000595093	0	0	0	1.88185548782349	1.53664398193359	2.59135818481445	1.99154424667358	0.828517735004425	3.46210932731628	0	1.29078435897827	0.539532482624054	1.87164390087128	0	1.89350843429565	0	1.68371737003326	1.40550398826599	2.35936594009399	0	0.652685105800629	0	0	0	3.00619602203369	2.61261487007141	1.13365113735199	0.702243447303772	0	0	2.15049362182617	3.58860945701599	1.74493801593781	0	2.05968761444092	0.911375761032104	1.37356567382813	0	3.12181496620178	0	0	1.51457822322845	0	0	0	0	2.88054633140564	0	1.14423847198486	1.35912382602692	0	0	1.38500189781189	0	1.94570100307465	0
