""	UMI_200_Bc67_Bc01	UMI_200_Bc67_Bc02	UMI_200_Bc67_Bc03	UMI_200_Bc67_Bc04	UMI_200_Bc67_Bc05	UMI_200_Bc67_Bc06	UMI_200_Bc67_Bc07	UMI_200_Bc67_Bc08	UMI_200_Bc67_Bc09	UMI_200_Bc67_Bc10	UMI_200_Bc67_Bc11	UMI_200_Bc67_Bc12	UMI_200_Bc67_Bc13	UMI_200_Bc67_Bc14	UMI_200_Bc67_Bc15	UMI_200_Bc67_Bc16	UMI_200_Bc68_Bc01	UMI_200_Bc68_Bc02	UMI_200_Bc68_Bc03	UMI_200_Bc68_Bc04	UMI_200_Bc68_Bc05	UMI_200_Bc68_Bc06	UMI_200_Bc68_Bc07	UMI_200_Bc68_Bc08	UMI_200_Bc68_Bc09	UMI_200_Bc68_Bc10	UMI_200_Bc68_Bc11	UMI_200_Bc68_Bc12	UMI_200_Bc68_Bc13	UMI_200_Bc68_Bc14	UMI_200_Bc68_Bc15	UMI_200_Bc68_Bc16	UMI_200_Bc69_Bc01	UMI_200_Bc69_Bc02	UMI_200_Bc69_Bc03	UMI_200_Bc69_Bc04	UMI_200_Bc69_Bc05	UMI_200_Bc69_Bc06	UMI_200_Bc69_Bc07	UMI_200_Bc69_Bc08	UMI_200_Bc69_Bc09	UMI_200_Bc69_Bc10	UMI_200_Bc69_Bc11	UMI_200_Bc69_Bc12	UMI_200_Bc69_Bc13	UMI_200_Bc69_Bc14	UMI_200_Bc69_Bc15	UMI_200_Bc69_Bc16	UMI_200_Bc70_Bc01	UMI_200_Bc70_Bc02	UMI_200_Bc70_Bc03	UMI_200_Bc70_Bc04	UMI_200_Bc70_Bc05	UMI_200_Bc70_Bc06	UMI_200_Bc70_Bc07	UMI_200_Bc70_Bc08	UMI_200_Bc70_Bc09	UMI_200_Bc70_Bc10	UMI_200_Bc70_Bc11	UMI_200_Bc70_Bc12	UMI_200_Bc70_Bc13	UMI_200_Bc70_Bc14	UMI_200_Bc70_Bc15	UMI_200_Bc70_Bc16	UMI_200_Bc71_Bc01	UMI_200_Bc71_Bc02	UMI_200_Bc71_Bc03	UMI_200_Bc71_Bc04	UMI_200_Bc71_Bc05	UMI_200_Bc71_Bc06	UMI_200_Bc71_Bc07	UMI_200_Bc71_Bc08	UMI_200_Bc71_Bc09	UMI_200_Bc71_Bc10	UMI_200_Bc71_Bc11	UMI_200_Bc71_Bc12	UMI_200_Bc71_Bc13	UMI_200_Bc71_Bc14	UMI_200_Bc71_Bc15	UMI_200_Bc71_Bc16	UMI_200_Bc72_Bc01	UMI_200_Bc72_Bc02	UMI_200_Bc72_Bc03	UMI_200_Bc72_Bc04	UMI_200_Bc72_Bc05	UMI_200_Bc72_Bc06	UMI_200_Bc72_Bc07	UMI_200_Bc72_Bc08	UMI_200_Bc72_Bc09	UMI_200_Bc72_Bc10	UMI_200_Bc72_Bc11	UMI_200_Bc72_Bc12	UMI_200_Bc72_Bc13	UMI_200_Bc72_Bc14	UMI_200_Bc72_Bc15	UMI_200_Bc72_Bc16
PRPF4	1.54637217521667	1.35272347927094	1.59997594356537	0.737215340137482	0	2.20554375648499	1.0065108537674	4.6209979057312	0	5.07282972335815	1.50525033473969	2.51888751983643	7.85881900787354	0	3.41039943695068	0	3.21384572982788	11.7938919067383	0	0	1.71085727214813	4.65799760818481	0	0	0	0	6.14815711975098	0	0	0	11.8424158096313	0	2.85588002204895	4.81908798217773	1.32168030738831	0.801068246364594	0.70652449131012	0	0	11.3757162094116	0	3.76856017112732	2.63802981376648	4.28648710250855	2.91450238227844	5.48734855651856	1.78970766067505	0	0.779669225215912	8.8797082901001	0	4.72448396682739	2.28828358650208	1.53208041191101	0.657183289527893	6.85892677307129	1.66004383563995	1.88920783996582	0	3.85227489471436	6.21651554107666	0	4.97873497009277	0	0.80515444278717	2.92925143241882	3.07868480682373	4.11968469619751	7.57419109344482	1.88066339492798	0.556621789932251	6.26762342453003	0	5.59999322891235	0	4.35257863998413	1.85155236721039	0	6.21671772003174	0	2.74397778511047	0.817703247070313	1.99811518192291	3.77645397186279	1.39628553390503	3.42397499084473	2.53586006164551	11.2453136444092	0	0	5.01711320877075	1.45860910415649	0	2.645512342453	5.82986783981323	0
TARDBP	3.87559056282043	4.0450496673584	11.3024044036865	3.75537467002869	9.8753490447998	13.2553186416626	2.32101392745972	4.6209979057312	9.57826137542725	4.22735834121704	11.0425100326538	1.28967046737671	7.31474733352661	4.80770921707153	14.807954788208	2.75282788276672	3.21384572982788	3.93129730224609	10.9953126907349	5.05220460891724	3.44224500656128	17.07932472229	8.86080646514893	5.13659191131592	0	3.66581082344055	3.07407855987549	0	10.6373205184937	6.81638860702515	0	0	6.36260843276978	16.4716415405273	4.66619253158569	11.2037515640259	13.6436958312988	2.27524876594543	10.4293270111084	1.83208358287811	8.30428791046143	7.62066555023193	7.91408967971802	7.71567678451538	5.38062000274658	14.3690042495728	5.32784223556519	3.62865209579468	1.86001491546631	4.52915048599243	4.58336496353149	3.13661932945251	8.58277988433838	6.13981246948242	5.07400560379028	6.71986770629883	4.98511171340942	9.22374248504639	14.7328996658325	0	8.75442314147949	12.6646947860718	7.55896472930908	11.0215740203857	10.7224550247192	10.7695360183716	5.48467683792114	3.50722455978394	10.3284425735474	5.06462669372559	13.3772926330566	6.25736904144287	0	1.94879770278931	8.2259111404419	1.08760094642639	7.44601821899414	7.72149419784546	12.3753232955933	3.72879481315613	4.13517427444458	0	8.06339359283447	1.43939781188965	5.58979654312134	4.28339290618897	4.61161041259766	10.3620929718018	7.90156698226929	7.44740295410156	7.52566957473755	8.72547817230225	5.39658260345459	8.71960830688477	0	8.57758808135986
GABRG2	3.98146414756775	0	16.9330139160156	1.88948285579681	1.61670577526093	0	0	8.96713829040527	3.1485116481781	0	7.84939527511597	0	2.16903400421143	24.603874206543	3.36606431007385	3.31256937980652	0	5.38194561004639	0	0	8.80236053466797	9.91532421112061	0	0	0	0	0	0	9.06831550598145	15.5754480361938	0	0	1.11934781074524	0	2.38827633857727	2.25435471534729	0	4.29566955566406	4.73354578018189	0	4.52159118652344	3.64587688446045	0	0	2.50736880302429	13.5153865814209	0	0	0.74609500169754	11.5918731689453	1.14526855945587	0	3.17384934425354	0	0	13.7961959838867	0	4.30046653747559	0	10.9905405044556	4.99002075195313	2.57042765617371	5.5226616859436	14.0180912017822	2.30749773979187	0	0	0.773814082145691	0	0	2.35284042358398	3.57270932197571	7.45439338684082	1.76866459846497	0	0	5.62594223022461	9.00943946838379	15.9448671340942	0	2.56836318969727	0	0	0	6.0142674446106	0	0.78884345293045	1.74831187725067	0	6.77759122848511	0	0	0	10.8360185623169	0	0
MFSD13A	0	0	0.777064561843872	0	5.30647420883179	1.10277187824249	1.0065108537674	3.07963871955872	0	7.60924482345581	3.00599145889282	1.25944375991821	2.3080747127533	3.20300388336182	0	6.44161701202393	0	0	0	0	0	1.55266582965851	0	2.56829595565796	0	0	3.07407855987549	0	0	10.2245826721191	11.8424158096313	0	0.70134574174881	0	0	0.800267934799194	1.29576599597931	1.13762438297272	2.89655256271362	1.74984097480774	6.20119714736939	3.76329159736633	3.59497547149658	1.71459484100342	1.67426955699921	0	1.33162772655487	0	0	0	2.29053711891174	0	5.26991701126099	1.53208041191101	2.62087059020996	7.83429622650147	11.3131980895996	3.13923382759094	2.00188851356506	0.963068723678589	0.958609342575073	3.16360330581665	0	6.58379030227661	3.00045251846314	0	0	0	2.75425124168396	0	2.78310894966126	0	14.3723392486572	1.86666440963745	0.822591125965118	5.43800449371338	1.85155236721039	7.72149419784546	1.23641955852509	0	0	0	0	0	4.7115330696106	1.90629816055298	9.92623138427734	1.73708808422089	10.0963764190674	0.875034928321838	3.34474205970764	2.18136954307556	0	0	0	6.76199293136597
DNAL1	0	6.11284017562866	0	0.827155590057373	0	0	0	0	1.36832308769226	0	0.967177748680115	0	0	0	1.40281093120575	0	1.79653978347778	0	0	0	0	0	0	0	15.7527475357056	0	0	0	0	0	0	0	0	0	0	0	0	0	4.59103584289551	0.923916041851044	1.19215607643127	1.0808173418045	0	1.71459484100342	0.921879529953003	0	1.46079564094543	0	0	0	2.51615524291992	3.46357846260071	0	0	0.724015533924103	0	1.68992459774017	0.686412215232849	0	1.15375626087189	0	0	1.33056700229645	0	0	0	1.76408648490906	0.755962073802948	0	0	0.605604588985443	0	3.91532635688782	0	0	1.17243373394012	0.925776183605194	0	0	0	1.20680141448975	0	1.03702175617218	0	0.503593683242798	0	0	0	0	0	0	0	0	0	0	0
MS4A3	0	0	6.03312921524048	0	2.74963808059692	33.4084739685059	2.54546594619751	0	1.36832308769226	0.845471620559692	0.928099930286407	2.53903865814209	0	0	0	0	0	3.93129730224609	8.24648475646973	0	1.71085727214813	61.4824600219727	10.5706005096436	2.56829595565796	0	3.15745973587036	6.14815711975098	0	0	3.40819430351257	0	0	0.702047169208527	0	36.5510711669922	0	2.89463114738464	24.5999889373779	3.42140793800354	0	3.30848121643066	0	20.4467105865479	3.42918968200684	2.69569063186646	5.82207441329956	0	5.03294038772583	0	0	6.94719934463501	0	0.913025140762329	21.3633289337158	3.93130588531494	0	1.66004383563995	3.15749597549439	1.04598677158356	0	0	5.13927364349365	0	0	0	0	0	0	3.45796227455139	49.9617042541504	4.17355060577393	1.03161478042603	0	0	2.46777319908142	1.89025032520294	0	3.08859753608704	0	0	0	0	0	0	7.46826553344727	29.1363143920898	4.71729564666748	0	0	1.74657666683197	0.837021708488464	0	0	7.08468198776245	0	0
ULBP2	0	0	0	0	0	0	0	4.81347513198853	0	0	0	1.26070320606232	0.604524552822113	9.60901165008545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.9559803009033	0	0	0	0	0	0	0	0	1.13762438297272	0	0	0	0	0	0	2.69031000137329	2.68855905532837	0	0	0	0	0	0	0	2.29812049865723	0	0	0	0	0	7.70454978942871	2.81717324256897	0	2.48936748504639	0	0	0	0	0	0	1.88066339492798	0	0	0	0	0	3.2628026008606	3.70310473442078	12.3543901443481	0	0	0.548795580863953	0	0.999057590961456	0	0	4.27996873855591	0	0	0	1.74657666683197	0	0.727850377559662	1.91457009315491	5.29102468490601	2.98989725112915	0
RNASE1	8.50079727172852	11.8084487915039	0	0	0	0	0	0	0	0	0	0	0.604524552822113	1.60150194168091	0	9.17609310150146	0	0	0	0	0	0	0	2.56829595565796	0	0	0	0	0	0	0	0	0.725892841815949	2.40954399108887	0	0	0	1.13762438297272	0	3.49968194961548	3.30848121643066	0	0	0	0	9.40995693206787	0	0	1.49219000339508	4.43708086013794	0	0	1.14414179325104	0.840346097946167	0.65521764755249	1.02335488796234	2.78555345535278	0	0	0	0	0.790900826454163	0	1.09601962566376	0.716947317123413	0.975766599178314	0	0	0	0	0	0	3.72533416748047	0	0	0	0.937811315059662	3.08859753608704	0	0	10.9940223693848	0	0.999057590961456	0	0.465428501367569	0	0	0.863363862037659	3.8437979221344	0	0	1.4542464017868	0	5.29102468490601	2.88321852684021	0
POTEE	0	3.93614959716797	0.777064561843872	0	0	0	0	1.38429760932922	0	0	0	8.81988430023193	1.81417810916901	0	3.28421473503113	0	4.85130023956299	0	0	0	0	0	0	0	0	0	3.07407855987549	7.72970819473267	0	0	11.8424158096313	0	0	0	0	0	3.54957938194275	0	2.60747647285461	0.87492048740387	0	0	0	3.68294978141785	0	0	4.66735506057739	0	0	0	0	0	0	1.43632531166077	0.661114573478699	0	0	0	0	2.88920617103577	6.12809610366821	0	2.93496441841126	0	0	0	1.93726241588593	0	0	0	0	1.9022319316864	0	1.86666440963745	0	0	0	1.54429876804352	0	0	0	0	0.999057590961456	0	0	0	0.746802985668182	0	0	0.881147921085358	0	2.79215312004089	0	0	2.88321852684021	0
FCER1G	0	0	0.777064561843872	6.63493776321411	0	0	0	0	6.84161567687988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3992204666138	0	0	0	0	0	0	0	0	0	0	1.60053586959839	0	0	0	0	3.30848121643066	0	0	0.857297420501709	0	1.34427952766418	0	0	0	0	1.14526855945587	1.56439864635468	0	1.53208041191101	0	0	3.61889553070068	0	0	2.7977147102356	0	0	0	0	0	1.95153319835663	2.3090136051178	0	0	0	0.556621789932251	0	3.72533416748047	0	0.822591125965118	6.52560520172119	0	0	0	0	0	0	2.99717283248901	0	0	0	0	0	0	0	0	1.4542464017868	0	0	0	0
