,9CL_Bc74_Bc01,9CL_Bc74_Bc02,9CL_Bc74_Bc03,9CL_Bc74_Bc04,9CL_Bc74_Bc05,9CL_Bc74_Bc06,9CL_Bc74_Bc07,9CL_Bc74_Bc09,9CL_Bc74_Bc10,9CL_Bc74_Bc11,9CL_Bc74_Bc12,9CL_Bc74_Bc14,9CL_Bc74_Bc16,9CL_Bc74_Bc19,9CL_Bc74_Bc21,9CL_Bc74_Bc22,9CL_Bc74_Bc23,9CL_Bc74_Bc24,9CL_Bc74_Bc25,9CL_Bc74_Bc26,9CL_Bc74_Bc30,9CL_Bc74_Bc32,9CL_Bc75_Bc01,9CL_Bc75_Bc03,9CL_Bc75_Bc04,9CL_Bc75_Bc05,9CL_Bc75_Bc06,9CL_Bc75_Bc07,9CL_Bc75_Bc08,9CL_Bc75_Bc09,9CL_Bc75_Bc11,9CL_Bc75_Bc12,9CL_Bc75_Bc13,9CL_Bc75_Bc14,9CL_Bc75_Bc15,9CL_Bc75_Bc16,9CL_Bc75_Bc17,9CL_Bc75_Bc18,9CL_Bc75_Bc19,9CL_Bc75_Bc20,9CL_Bc75_Bc21,9CL_Bc75_Bc22,9CL_Bc75_Bc24,9CL_Bc75_Bc25,9CL_Bc75_Bc27,9CL_Bc75_Bc28,9CL_Bc75_Bc30,9CL_Bc75_Bc31,9CL_Bc75_Bc32,9CL_Bc76_Bc01,9CL_Bc76_Bc02,9CL_Bc76_Bc03,9CL_Bc76_Bc04,9CL_Bc76_Bc05,9CL_Bc76_Bc06,9CL_Bc76_Bc07,9CL_Bc76_Bc08,9CL_Bc76_Bc09,9CL_Bc76_Bc10,9CL_Bc76_Bc11,9CL_Bc76_Bc12,9CL_Bc76_Bc13,9CL_Bc76_Bc14,9CL_Bc76_Bc16,9CL_Bc76_Bc17,9CL_Bc76_Bc20,9CL_Bc76_Bc21,9CL_Bc76_Bc22,9CL_Bc76_Bc23,9CL_Bc76_Bc24,9CL_Bc76_Bc25,9CL_Bc76_Bc26,9CL_Bc76_Bc27,9CL_Bc76_Bc28,9CL_Bc76_Bc31,9CL_Bc76_Bc32,9CL_Bc77_Bc01,9CL_Bc77_Bc02,9CL_Bc77_Bc03,9CL_Bc77_Bc04,9CL_Bc77_Bc05,9CL_Bc77_Bc09,9CL_Bc77_Bc10,9CL_Bc77_Bc11,9CL_Bc77_Bc12,9CL_Bc77_Bc13,9CL_Bc77_Bc14,9CL_Bc77_Bc15,9CL_Bc77_Bc16,9CL_Bc77_Bc17,9CL_Bc77_Bc20,9CL_Bc77_Bc21,9CL_Bc77_Bc23,9CL_Bc77_Bc24,9CL_Bc77_Bc25,9CL_Bc77_Bc26,9CL_Bc77_Bc28,9CL_Bc77_Bc29,9CL_Bc77_Bc30,9CL_Bc77_Bc31,9CL_Bc77_Bc32,9CL_Bc78_Bc01,9CL_Bc78_Bc02,9CL_Bc78_Bc03,9CL_Bc78_Bc04,9CL_Bc78_Bc05,9CL_Bc78_Bc06,9CL_Bc78_Bc07,9CL_Bc78_Bc09,9CL_Bc78_Bc10,9CL_Bc78_Bc11,9CL_Bc78_Bc12,9CL_Bc78_Bc13,9CL_Bc78_Bc14,9CL_Bc78_Bc15,9CL_Bc78_Bc16,9CL_Bc78_Bc17,9CL_Bc78_Bc18,9CL_Bc78_Bc19,9CL_Bc78_Bc20,9CL_Bc78_Bc21,9CL_Bc78_Bc22,9CL_Bc78_Bc23,9CL_Bc78_Bc24,9CL_Bc78_Bc25,9CL_Bc78_Bc26,9CL_Bc78_Bc27,9CL_Bc78_Bc28,9CL_Bc78_Bc29,9CL_Bc78_Bc30,9CL_Bc78_Bc31,9CL_Bc79_Bc01,9CL_Bc79_Bc02,9CL_Bc79_Bc03,9CL_Bc79_Bc04,9CL_Bc79_Bc05,9CL_Bc79_Bc07,9CL_Bc79_Bc08,9CL_Bc79_Bc09,9CL_Bc79_Bc10,9CL_Bc79_Bc11,9CL_Bc79_Bc12,9CL_Bc79_Bc13,9CL_Bc79_Bc14,9CL_Bc79_Bc15,9CL_Bc79_Bc16,9CL_Bc79_Bc17,9CL_Bc79_Bc18,9CL_Bc79_Bc20,9CL_Bc79_Bc22,9CL_Bc79_Bc23,9CL_Bc79_Bc24,9CL_Bc79_Bc25,9CL_Bc79_Bc26,9CL_Bc79_Bc27,9CL_Bc79_Bc28,9CL_Bc79_Bc30,9CL_Bc79_Bc31,9CL_Bc79_Bc32
PRPF4,1.3195553,0.9091028,0.61047846,1.0097878,1.38392,0.0,0.9613426,1.16022,0.7943605,0.8879573,0.0,1.0419701,1.5756211,0.0,1.7121688,0.0,1.5149349,0.6177152,1.9985344,1.8063196,0.0,0.0,0.7526483,0.0,1.663256,1.8046702,1.4960445,0.0,0.87543654,0.98307675,0.0,0.44123235,0.8838579,0.45119688,0.0,0.0,1.9040295,1.4819343,0.83705515,1.2368281,0.8936953,0.0,0.71109116,0.0,1.2969742,0.0,1.4685256,1.5840095,0.7202052,1.5055859,0.6931472,0.0,0.0,1.1909536,0.855231,0.0,1.3510209,0.55643636,0.8806637,0.8139014,0.0,1.3927805,1.5602291,0.8830804,1.1286327,1.1250566,1.5133941,0.75446886,1.1092918,0.6333829,0.0,0.0,0.80481964,0.0,0.0,1.1961627,0.0,0.0,0.0,0.6287642,0.0,1.1076078,0.0,1.329208,1.7074071,1.6547151,1.0682433,1.3732225,1.4732556,2.3529973,0.97175777,0.0,1.344551,1.4997686,1.183529,1.4686656,1.1824616,1.3076217,0.60480237,0.0,1.6209594,1.0811914,0.0,1.0619527,0.9477597,0.47315302,1.3995003,1.9784125,1.0547142,1.5295739,1.8389531,0.0,0.83114696,0.89700544,1.0680661,1.2825109,1.0614872,0.60605067,1.5652019,1.5215597,0.78560835,1.3702385,0.69265425,1.2878608,0.0,1.6873473,1.6213715,0.8205078,1.2698189,1.2147399,0.87763864,1.0834522,1.9489644,0.7055692,0.0,1.4472541,1.2298377,0.731992,0.9273904,1.3566537,0.0,1.5476176,2.2741537,2.0089939,0.7412749,0.7690722,0.0,1.2998055,0.0,0.8047586,1.7128309,0.0,1.5285507,1.5685174,0.80116194,1.0160857,0.9729104,0.0,1.1914103
TARDBP,1.3195553,2.4314535,2.3277102,2.0769477,1.7552377,0.0,1.442299,2.0244448,1.5345153,0.8879573,0.0,1.8724773,1.5756211,1.4987793,1.0213825,1.0695904,1.2137498,1.9434499,1.9063451,2.0520704,1.5771219,0.806847,1.474269,0.93807334,2.2568476,2.0929935,1.8239032,2.1674604,1.648614,0.0,0.737414,0.0,1.6602558,1.7158719,0.0,1.3741212,1.6648097,0.75791246,1.5950686,1.9617378,0.0,1.3626578,1.8214897,1.7153214,1.463895,1.4912733,1.4685256,1.2013724,0.0,1.0128354,0.0,2.537829,1.2052088,1.8301437,1.4770017,2.106639,1.571768,2.041221,1.510998,1.9856082,1.9217293,1.7118218,1.7404468,0.8830804,1.9843448,0.71304566,2.0779054,1.1795664,2.211439,1.690071,2.1203547,2.1027703,1.5494499,1.5937914,2.5209467,0.0,0.0,1.48375,2.6836283,1.8328614,1.6446155,1.1076078,1.6161658,2.2336798,2.2541993,1.5319252,1.8073102,2.0888133,2.0446994,1.9539211,1.6305071,2.8392906,2.147556,1.0080769,1.3916674,2.0395138,1.6070651,1.3076217,1.5558275,1.6781852,1.6209594,0.68011004,0.0,1.745721,1.5993488,1.8633702,1.77242,1.4147912,1.7900488,1.8600899,1.9282876,2.1570482,1.7112409,1.9182445,1.5726689,1.5909729,2.5131702,1.6420767,1.8984382,1.5215597,2.5128899,0.90346676,2.396999,1.5040843,2.0453005,1.163951,2.0498466,1.2650603,1.2698189,1.4253284,1.6516619,1.9263761,1.9489644,1.9671116,0.0,0.7367942,2.1635275,1.1500771,1.572724,1.8633307,1.6559837,0.65495956,2.155213,2.26257,1.8707318,2.2087517,0.98823017,1.8464317,0.0,1.7824878,1.9543763,1.8554455,1.7073557,0.8182408,1.9658027,1.0160857,2.2181504,2.1356542,1.7198051
FAM9B,0.0,0.0,0.61047846,0.0,0.0,0.9245517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44809878,0.0,2.4987671,0.0,0.0,0.0,0.0,0.0,0.0,0.5306055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54352844,0.0,0.0,0.6479889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.209538,0.6430873,0.0,0.0,0.0,0.0,0.0,0.5633273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80481964,1.285069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49271515,1.0184255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37327176,1.5636699,0.0,0.0,0.0,0.0,0.0,0.66577923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.576979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8182408,0.80116194,0.0,0.0,0.0,0.0
GABRG2,0.0,0.0,0.0,0.2552904,0.0,0.0,0.0,0.0,0.81604874,0.0,0.0,0.7081532,0.0,0.0,0.92173797,0.0,0.0,0.0,0.0,0.6720461,0.0,0.0,1.0310614,0.0,0.0,1.7438748,0.81996524,2.3307078,0.74509376,1.0032125,0.0,0.0,0.0,0.0,1.8775132,1.9724178,0.0,0.0,0.0,1.8142141,2.2156496,0.0,0.0,0.0,0.90743774,0.0,0.0,1.8712343,1.1063197,0.0,1.3922764,1.7576427,0.0,0.0,0.0,0.9764072,0.0,0.0,1.2473359,0.0,0.0,0.0,1.3046658,0.0,0.0,0.0,0.7005288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2821121,0.0,0.0,0.0,0.0,0.0,1.5268618,0.0,0.0,0.34415984,0.7559644,0.0,0.0,1.3384247,0.0,0.0,1.127435,0.0,0.0,0.0,0.0,0.9640907,0.8699738,0.0,0.0,1.8838742,2.0018337,0.0,0.97182435,0.6935844,0.0,1.2761853,0.0,0.0,1.3311846,0.0,1.0611484,1.7747204,0.5686643,1.703257,0.0,0.0,0.0,0.0,0.0,0.0,1.2923002,0.0,0.0,0.0,0.0,0.9376244,0.0,0.0,0.0,0.0,1.395071,0.0,0.0,0.0,0.0,0.0,1.0919608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7094178,0.0,0.97144824,0.0
IFITM3,2.0363343,2.0372417,3.569358,0.6272794,0.46881717,1.9576907,2.0096655,2.0244448,1.9551709,2.7279577,1.438268,1.0419701,1.5756211,0.76952493,3.3590534,1.5745093,1.7460935,0.0,2.1941972,0.7564349,0.67307234,0.806847,1.1771855,0.0,0.0,1.9591874,2.5515485,1.0763727,4.169707,0.0,1.864485,1.3278995,2.1487927,0.45119688,0.0,2.9290376,3.0442898,2.1901686,1.8306953,2.1203446,2.8264608,0.0,0.71109116,2.908111,1.0964961,0.0,0.0,1.2013724,0.0,1.0128354,1.0986123,1.0790994,2.2171466,3.1960757,3.568797,3.5888228,2.2601051,2.1414995,2.3208947,1.796213,2.6816914,0.5633273,1.7404468,2.1102788,0.7157465,1.824707,1.2965313,1.1795664,2.9054677,3.1007838,3.1004245,0.0,3.2944343,2.438834,3.2157016,1.4953957,4.679,3.066037,1.9546406,1.011813,0.8725504,1.3964087,1.305401,0.2980701,2.528718,1.5319252,1.8073102,1.2114773,1.6494797,3.2941904,2.384673,1.8512659,2.147556,1.8279271,3.1301677,3.3528242,0.0,0.0,0.60480237,2.9598188,2.5789092,0.0,0.97182435,0.66577923,1.8763658,1.3925833,1.5398325,0.0,2.6460385,2.738569,0.46233192,3.0282023,0.49954742,3.5794542,1.0680661,1.3962352,0.52590185,2.6025164,2.1479504,0.0,1.0262607,0.0,0.98966473,1.6817658,1.7025008,0.7425471,1.6213715,0.8205078,2.1610932,0.0,0.87763864,2.8200505,2.1097486,2.5075638,2.9926128,0.734197,0.33893043,2.2652721,2.391637,2.2052915,1.4299936,0.0,0.0,2.26257,0.0,1.9152766,2.5498614,0.84770846,3.3068442,2.762152,2.5740638,4.2872734,2.613022,1.2987561,0.0,2.8250182,2.6480448,1.4346675,1.9064711
STAR,1.8692627,1.3773013,2.3277102,1.623678,1.2215409,0.0,2.2056365,2.6492772,2.6632814,2.7279577,2.6285427,2.6278212,3.1374063,2.0734792,1.3930988,1.0695904,1.2137498,2.5622995,2.7818153,2.2491844,1.3560289,1.9746584,2.591423,1.5867085,0.61804247,1.8046702,2.5744417,1.5826905,2.2406604,2.2368014,1.4519807,2.4925802,1.9678432,2.1952968,0.0,2.6590147,2.096927,1.4819343,2.4402966,1.2368281,0.54352844,1.8060706,2.1106353,2.3142097,1.606898,1.5553412,1.6969181,2.2537954,1.8364577,2.6497483,1.0986123,3.0165288,0.0,1.0862168,2.7209752,2.6124809,2.354977,2.2179954,2.761986,1.796213,2.6816914,1.564971,1.893092,1.5142134,2.1186614,2.52109,2.089917,2.1844065,1.6222397,2.3724566,1.7822887,1.7034774,4.0793285,2.1798244,2.5209467,1.8807663,3.598794,1.48375,2.3117502,2.1835341,0.8725504,1.957461,2.8010983,1.0065998,1.2550848,1.8626239,2.8284287,2.4521244,0.9864542,1.9539211,2.1272354,1.8512659,1.344551,1.8279271,1.3915734,2.4006467,2.1624196,3.4233198,0.3474441,2.579938,2.6388266,1.3666744,0.0,1.3449563,3.0325,2.5254,2.376779,1.1239827,2.5036407,2.392844,1.7408482,3.5194771,2.4307675,2.7422898,2.6650193,2.609638,1.0614872,0.60605067,0.6662158,0.7853255,2.29788,2.4227664,2.3016977,1.9636174,1.1767538,2.3898196,1.3101376,2.5213091,1.576979,1.5991914,1.8902243,0.0,0.79040205,2.2192025,1.9208834,2.1502094,2.007657,2.8442273,2.2410789,2.139626,1.1375494,2.4932694,0.0,3.3664396,1.8707318,1.1986164,2.047164,2.4573927,2.3882985,1.7824878,1.7128309,3.215775,1.3106589,1.8027054,2.4893265,2.5905068,1.2437077,2.1356542,2.4259295
MS4A3,0.0,0.0,0.0,0.2552904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4858551,0.0,0.0,0.0,0.0,1.1771855,0.0,1.663256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4163024,0.83705515,0.0,0.59779644,0.0,2.8059738,0.0,0.0,0.0,0.0,0.57373965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8806637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9073436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7474191,1.5326178,0.0,0.0,0.0,0.0,0.0,0.0,0.49954742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8639987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6853683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTPRR,0.0,1.1703566,0.0,0.2552904,0.46881717,0.0,0.0,0.0,1.7668008,0.0,0.0,0.0,0.6721461,1.4987793,0.0,0.0,0.0,1.4858551,0.95341647,0.0,1.0717553,0.0,1.474269,0.575223,0.0,0.7009136,0.0,0.0,1.1313647,0.60777086,0.0,0.0,0.8838579,0.45119688,0.0,1.3741212,0.0,0.0,0.0,0.0,0.0,0.0,2.8059738,1.0379364,1.0964961,0.0,2.0393555,0.57373965,0.7202052,0.62951404,0.6931472,0.0,0.0,0.0,0.0,1.5280933,1.571768,1.3807237,0.0,0.0,0.0,0.0,0.0,1.5142134,0.0,1.824707,0.0,0.0,0.0,0.0,0.6874755,0.0,0.80481964,0.0,0.0,0.7671876,2.2913754,0.0,0.9224101,1.2880956,0.8725504,0.0,0.0,0.52739507,1.9486957,0.0,0.0,0.77896756,1.6494797,1.0044378,0.0,0.0,0.66551274,0.0,1.183529,0.6075124,0.64445996,0.0,0.80930024,0.0,0.5942039,0.0,0.0,0.0,0.0,0.0,0.4766284,0.0,2.138255,0.0,0.0,0.0,0.0,0.89700544,0.0,0.0,0.0,0.0,0.0,1.2197206,0.0,0.0,0.0,1.0116066,0.0,1.8727869,0.0,0.0,0.0,0.0,0.0,0.0,0.79040205,0.7055692,0.0,0.0,0.33893043,0.731992,0.5675567,0.0,0.7224912,0.0,0.0,0.0,0.0,1.1986164,0.98823017,0.0,1.4556701,0.0,0.0,1.2214963,0.0,0.0,0.0,1.0160857,0.0,0.0,1.1914103
H2AC6,1.631715,1.9356258,2.2421048,2.8113735,1.7552377,2.4548912,2.5101225,1.6829245,2.7054272,2.0981164,2.5052705,2.485638,1.354625,2.701689,1.7121688,3.1768126,0.0,2.058918,1.859279,2.1221817,2.1612525,1.5523372,2.1813545,2.1719375,2.2568476,2.0929935,1.9547275,2.8016706,3.3428085,1.6451267,2.0206378,0.7463295,2.8927372,1.8134742,2.6632423,0.90656406,1.9040295,0.75791246,1.2862285,2.961918,3.3972864,3.0608613,1.4130911,2.219772,3.2927787,3.0411396,1.6969181,3.4428947,2.1263232,2.3649666,1.3862944,1.9207513,2.2171466,2.6906533,2.4693987,2.4704814,2.3234396,2.5580888,2.320548,1.5623642,3.0176184,1.9533195,1.893092,2.8513355,1.1286327,1.4159956,1.8426399,3.0032136,2.0934353,1.8411587,2.5551448,1.0286211,0.80481964,2.0198631,2.6755571,2.7724705,0.0,2.6858175,2.1490521,2.4426513,2.4968393,0.6999014,2.1276617,2.5224798,2.1429336,3.042087,2.9686627,2.6370146,2.8318143,2.6975267,0.97175777,2.4626398,2.147556,1.4997686,3.082153,2.635896,2.9496443,1.4438186,2.8205998,1.5006632,2.8467543,0.68011004,1.7797348,1.8985246,3.2687614,1.7647952,1.9609885,2.8688462,0.8097901,1.3116132,2.3422246,2.6466503,2.8448734,2.1115751,2.6650193,1.498337,1.8979198,1.2526292,1.3448812,2.0990877,2.4111524,2.2832868,0.0,1.2878608,1.7025008,1.163951,2.0498466,1.8060917,2.527402,2.4219203,2.3829195,1.7727733,1.9489644,1.9671116,1.6808727,3.5746424,3.3755786,3.3693514,2.4591892,1.7251002,0.7224912,3.587745,1.86405,1.6684375,3.0852795,1.5508046,1.8016152,2.3360238,2.6496737,1.9714085,1.9543763,1.2214963,2.7373471,1.9923228,1.2401862,0.0,3.6382897,0.0,2.6103976
SCN7A,0.86326057,0.0,0.0,0.3124318,0.47664586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1887972,0.0,0.0,0.0,0.0,0.0,1.5826905,0.5306055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3650014,0.5665891,0.0,0.0,0.0,0.0,0.74871236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144482,0.0,0.0,0.0,0.0,1.2565814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6333829,0.0,0.0,0.0,0.0,0.71296626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51419514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5079132,0.0,0.4314408,0.6448339,0.6265615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77727896,0.0,0.83114696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7482956,0.0,0.0,0.0,0.0,0.0,1.0834522,0.0,0.0,0.0,2.3142164,0.0,0.0,0.5675567,0.0,0.0,0.0,0.0,0.0,0.74597526,0.7690722,0.0,0.0,0.0,0.0,0.0,1.2214963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
