,A10,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8
PRPF4,1.4663771,1.1231505,1.9662591,1.4649498,1.5110468,1.9146014,1.1243144,1.4762559,1.866162,1.8718659,0.9360679,1.9563342,1.7129766,2.2807236,2.0132904,2.1526,1.5008295,1.8332624,1.3230566,2.106455,1.546987,1.8422661,1.4170423,1.7481177,1.7732133,1.5397224,1.979065,2.1793916,1.6801171,1.3676445,1.9970173,2.1059165,1.3285471,1.577926,1.8196769,1.5467831,1.8638226,1.6391404,1.7183424,1.7470211,1.861663,1.657446,1.8023444,1.4676927,1.6451902,1.747056,2.0438902,1.8163311,2.2243469,1.9959942,1.7593287,1.4719706,1.8263209,1.5243108,1.9564506,1.9670362,1.7032355,1.5754805,1.8703179,1.9190584,1.4270451,1.4840252,1.9466811,1.9922442,0.9251906,1.3707592,1.3236359,0.88223207,1.4886819
DDX11-AS1,0.59248614,0.0,0.0,0.0,1.0574486,0.5263934,0.0,0.0,0.0,0.0,0.0,0.0,1.0929465,0.0,0.0,0.0,0.0,0.62823474,0.0,0.0,0.0,0.30612567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963342,0.0,0.0,0.0,0.0,0.5858075,0.0,0.58265966,0.0,0.0,0.0,0.113407254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2264683,0.0,0.0,0.0,2.4622877,0.0,0.48844013,1.2416451,0.0,0.0,0.0,0.0,0.0
TARDBP,3.9402168,4.274601,4.192428,3.5214286,3.76181,4.0551734,3.9541128,4.141203,3.7312582,4.1903114,3.6670606,4.3189445,3.7900064,3.981993,4.1863914,3.6975667,3.774397,4.683509,3.3484497,4.1776605,2.9926922,4.056116,4.3813086,3.5236495,4.0576825,3.955802,3.8782356,4.053869,4.0720096,3.6830163,3.675851,4.3830943,4.209109,3.7885876,3.8132327,3.3885775,4.238651,3.447716,3.774892,3.4099858,4.458187,3.6627588,4.068217,4.298363,3.8896213,3.647387,4.1357284,3.7337384,5.158799,3.8370643,3.866818,4.486168,4.23932,3.4130263,3.3537176,3.617665,4.1337814,3.8810391,4.173317,4.552877,4.2706738,3.5456712,3.8056536,3.5911736,3.472196,4.477998,4.1286697,4.3349915,4.4530916
TAF1C,1.7856569,0.52799183,0.8496918,1.1757921,0.7283464,1.1981752,1.4301265,0.48223478,1.0634216,1.5264932,0.66547686,0.7757207,1.4962397,1.534449,0.6184048,1.560445,1.1248939,1.9954774,0.3652478,0.39926928,0.80270445,0.52957004,1.5823317,2.1276114,3.53769,1.5820887,1.987487,1.6988567,1.6993523,0.20398274,0.6996594,2.233709,1.3975831,0.0,0.1997955,0.53719956,1.9990147,1.13458,2.0683832,0.31964138,0.88300234,1.2908595,1.1026973,1.2216299,1.2272245,2.2963657,1.3648947,0.49998042,1.5956466,1.1420363,0.6353523,1.7919462,1.3458356,0.15185976,0.43711108,0.49639174,0.7927255,1.5903198,0.68436676,1.0397232,2.499175,1.3838912,1.5941437,1.4650861,1.4178263,0.27441671,1.0270891,0.15375404,1.1725317
ZSCAN2,0.0,0.0,0.3104428,0.5132152,2.3585496,0.0,0.0,0.0,0.21103291,0.0,0.30861348,0.8391561,0.0,0.0,0.25656363,0.99274534,0.26811004,0.5147433,0.076755464,1.3522489,0.29322168,0.0,0.26618695,0.24172267,0.3680221,0.35610047,0.0,0.8223519,0.20521824,0.89097255,0.88202715,0.0,1.2864903,0.41805485,0.6206727,0.26107344,0.0,0.7030282,0.32360768,0.0,0.0,2.8895726,0.0,0.2108831,2.9919908,1.0833718,1.1049137,0.0,0.2927457,0.5508858,0.8743172,0.29155183,0.0,0.16456823,0.59244245,0.0,0.30504274,0.3767446,0.064884715,0.25536445,0.17890489,0.7369396,0.0,1.0359515,0.46972233,0.0,0.37706906,0.9320672,0.5566204
EMC10,0.9230021,0.5242515,0.39817458,0.4236108,0.77237415,0.88630277,0.11597696,0.09618707,0.98983335,0.6148126,0.20403658,0.19402942,0.80779326,0.6606534,0.82043207,0.86754113,0.074543305,0.5958446,2.2068553,0.09539109,0.07851261,0.8422614,1.602868,0.6055207,0.03675614,0.11650933,2.6812286,0.87863165,1.0115991,1.0038806,0.42604193,0.4982752,0.8019128,0.0,1.5346893,0.0,0.45416766,0.93263364,0.8307864,0.7587842,0.43979567,0.39946312,2.9841385,0.67618513,0.16757588,0.5351064,0.5790839,1.8911276,0.45833898,0.17272398,0.8935395,0.38576907,0.7147531,0.5276179,0.2633192,0.62005806,0.04109012,0.34521887,0.62020975,0.96259934,0.38349962,1.6755657,0.73692435,0.095453806,0.544628,0.2037544,0.20781547,0.120459445,0.66217184
IFITM3,3.641232,3.2773306,4.365108,3.322509,2.8575587,4.1002536,2.0772083,3.6604462,3.8303342,3.4039721,2.1188867,2.2949347,2.555487,3.0704806,3.0408254,3.486453,2.7696404,1.0553992,4.327026,3.5588481,1.5705434,2.5874553,3.968806,3.2702556,2.6516225,2.8029783,2.5559857,2.325425,3.4932256,2.4070728,4.1763654,2.3205664,2.8105743,2.2852712,2.9941835,2.5735354,3.064838,3.5345783,3.8848095,1.4384437,2.4547606,1.584713,3.1162786,0.67504483,2.1160898,2.7548726,3.7881238,2.6608229,3.8973415,3.7065666,3.4572868,2.9555264,2.5389385,3.763456,2.690117,2.6855385,3.2918103,2.414456,3.518433,1.5363269,2.9510775,2.7864141,3.3395157,1.8394206,2.201451,3.0482395,3.0981836,0.0,3.3334134
IL7R,0.0,0.6850334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743294,0.0,2.558276,0.0,0.0,0.0,0.7585341,0.0,0.0,0.0,0.0,0.12888297,0.0,0.0,0.80630934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3969405,0.0,0.0,0.0,0.0,0.0,0.0,0.90880805,0.0,0.8246788,0.0,0.7761552,0.0,0.40247998,0.0,0.0,0.0,1.3918666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70924395
IMPA2,0.0,0.0,0.0,0.9398975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20070079,0.69530934,1.7046578,0.20789751,0.4478034,0.0,0.61300814,0.61697537,0.0,0.0,0.0,0.629403,0.0,1.796965,0.8316962,1.2789769,0.44001594,0.60994923,1.2231028,0.0,1.2423923,0.0,0.0,0.0,1.5495796,0.0,0.0,0.39546528,1.1387002,0.0,0.6304688,0.0,0.0,1.0143887,3.0119147,0.8507571,1.0077933,0.789074,0.7039328,0.0,0.37289026,0.0,0.96845156,0.0,1.9360065,0.0,0.17585234,0.56016874,0.35808486,0.0,0.0,0.0,0.19805628
MS4A3,0.5213447,1.7556753,2.5421362,2.6790164,0.57096374,4.738181,0.75083715,1.5269952,0.0,0.0,0.0,0.0,2.0376003,0.51815605,1.958089,3.2585447,2.5270467,0.0,1.9700824,3.006067,1.6718783,2.568438,1.744984,3.5433464,1.9026746,0.84389424,0.0,2.7954245,2.172185,0.4518785,0.8039213,0.0,2.7379837,0.0,3.646883,2.2851646,0.0,1.6304073,3.347994,3.6658885,3.6627822,1.4413002,3.6124232,3.6004438,4.113415,2.994405,3.7627661,0.982691,0.0,1.9730598,5.2391043,0.0,3.7067835,1.0146766,1.3422395,3.6413324,1.2169081,0.0,4.148457,0.0,3.4875093,1.268248,0.0,0.33930394,2.7960799,0.0,3.2029958,2.7278607,4.583548
