,UMI_200_Bc67_Bc01,UMI_200_Bc67_Bc02,UMI_200_Bc67_Bc03,UMI_200_Bc67_Bc04,UMI_200_Bc67_Bc05,UMI_200_Bc67_Bc06,UMI_200_Bc67_Bc07,UMI_200_Bc67_Bc08,UMI_200_Bc67_Bc09,UMI_200_Bc67_Bc10,UMI_200_Bc67_Bc11,UMI_200_Bc67_Bc12,UMI_200_Bc67_Bc13,UMI_200_Bc67_Bc14,UMI_200_Bc67_Bc15,UMI_200_Bc67_Bc16,UMI_200_Bc68_Bc01,UMI_200_Bc68_Bc02,UMI_200_Bc68_Bc03,UMI_200_Bc68_Bc04,UMI_200_Bc68_Bc05,UMI_200_Bc68_Bc06,UMI_200_Bc68_Bc07,UMI_200_Bc68_Bc08,UMI_200_Bc68_Bc09,UMI_200_Bc68_Bc10,UMI_200_Bc68_Bc11,UMI_200_Bc68_Bc12,UMI_200_Bc68_Bc13,UMI_200_Bc68_Bc14,UMI_200_Bc68_Bc15,UMI_200_Bc68_Bc16,UMI_200_Bc69_Bc01,UMI_200_Bc69_Bc02,UMI_200_Bc69_Bc03,UMI_200_Bc69_Bc04,UMI_200_Bc69_Bc05,UMI_200_Bc69_Bc06,UMI_200_Bc69_Bc07,UMI_200_Bc69_Bc08,UMI_200_Bc69_Bc09,UMI_200_Bc69_Bc10,UMI_200_Bc69_Bc11,UMI_200_Bc69_Bc12,UMI_200_Bc69_Bc13,UMI_200_Bc69_Bc14,UMI_200_Bc69_Bc15,UMI_200_Bc69_Bc16,UMI_200_Bc70_Bc01,UMI_200_Bc70_Bc02,UMI_200_Bc70_Bc03,UMI_200_Bc70_Bc04,UMI_200_Bc70_Bc05,UMI_200_Bc70_Bc06,UMI_200_Bc70_Bc07,UMI_200_Bc70_Bc08,UMI_200_Bc70_Bc09,UMI_200_Bc70_Bc10,UMI_200_Bc70_Bc11,UMI_200_Bc70_Bc12,UMI_200_Bc70_Bc13,UMI_200_Bc70_Bc14,UMI_200_Bc70_Bc15,UMI_200_Bc70_Bc16,UMI_200_Bc71_Bc01,UMI_200_Bc71_Bc02,UMI_200_Bc71_Bc03,UMI_200_Bc71_Bc04,UMI_200_Bc71_Bc05,UMI_200_Bc71_Bc06,UMI_200_Bc71_Bc07,UMI_200_Bc71_Bc08,UMI_200_Bc71_Bc09,UMI_200_Bc71_Bc10,UMI_200_Bc71_Bc11,UMI_200_Bc71_Bc12,UMI_200_Bc71_Bc13,UMI_200_Bc71_Bc14,UMI_200_Bc71_Bc15,UMI_200_Bc71_Bc16,UMI_200_Bc72_Bc01,UMI_200_Bc72_Bc02,UMI_200_Bc72_Bc03,UMI_200_Bc72_Bc04,UMI_200_Bc72_Bc05,UMI_200_Bc72_Bc06,UMI_200_Bc72_Bc07,UMI_200_Bc72_Bc08,UMI_200_Bc72_Bc09,UMI_200_Bc72_Bc10,UMI_200_Bc72_Bc11,UMI_200_Bc72_Bc12,UMI_200_Bc72_Bc13,UMI_200_Bc72_Bc14,UMI_200_Bc72_Bc15,UMI_200_Bc72_Bc16
PRPF4,0.9346697,0.8555736,0.9555022,0.55228347,0.0,1.1648817,0.6963973,1.7265092,0.0,1.8038247,0.91838866,1.2581449,2.1814134,0.0,1.4839653,0.0,1.4383757,2.5489678,0.0,0.0,0.9972649,1.73307,0.0,0.0,0.0,0.0,1.9668546,0.0,0.0,0.0,2.5527534,0.0,1.3495992,1.7611436,0.8422912,0.58838,0.5344588,0.0,0.0,2.515736,0.0,1.5620444,1.2914423,1.665154,1.3646882,1.8698539,1.0259368,0.0,0.5764275,2.290483,0.0,1.7447524,1.1903657,0.92904127,0.5051193,2.06165,0.9783426,1.0609823,0.0,1.5794476,1.9763722,0.0,1.788209,0.0,0.59064615,1.368449,1.4057746,1.6330929,2.1487567,1.0580206,0.44251797,1.9834293,0.0,1.8870686,0.0,1.6775784,1.0478635,0.0,1.9764003,0.0,1.3201486,0.59757376,1.0979838,1.5636984,0.87391984,1.4870386,1.2629566,2.5051434,0.0,0.0,1.7946076,0.8995958,0.0,1.293497,1.9213053,0.0
TARDBP,1.5842413,1.6184075,2.5097947,1.5592755,2.3864987,2.65713,1.2002702,1.7265092,2.3588011,1.6539061,2.488443,0.8284079,2.1180308,1.7591863,2.7605133,1.3225096,1.4383757,1.5956022,2.484516,1.8004225,1.4911599,2.894769,2.288568,1.8142695,0.0,1.5402616,1.4046446,0.0,2.4542172,2.0562227,0.0,0.0,1.9964143,2.860579,1.7345173,2.5017433,2.68401,1.1863939,2.4361825,1.0410126,2.2304754,2.1541624,2.187633,2.1651232,1.8532653,2.7323527,1.8449593,1.5322657,1.0508268,1.7100341,1.7197917,1.4198788,2.2599678,1.9656866,1.8040183,2.0437973,1.789275,2.3247128,2.755754,0.0,2.277721,2.6148155,2.1469793,2.486703,2.4615061,2.4655144,1.869442,1.5056815,2.4273167,1.802473,2.6656501,1.9820174,0.0,1.0813975,2.2220159,0.73601556,2.1336951,2.1657906,2.5934114,1.5536704,1.6361138,0.0,2.2042437,0.8917512,1.8855225,1.6645685,1.7248378,2.4302826,2.1862273,2.1338592,2.1430817,2.274749,1.8557639,2.2741454,0.0,2.2594259
GABRG2,1.6057239,0.0,2.8866434,1.0610776,0.9619162,0.0,0.0,2.2992935,1.4227496,0.0,2.180349,0.0,1.1534268,3.2427437,1.4738619,1.4615339,0.0,1.853473,0.0,0.0,2.2826233,2.3901677,0.0,0.0,0.0,0.0,0.0,0.0,2.3093934,2.8079226,0.0,0.0,0.7511084,0.0,1.2203213,1.179994,0.0,1.6668894,1.7463342,0.0,1.7086661,1.5359801,0.0,0.0,1.2548661,2.6752093,0.0,0.0,0.55738187,2.5330517,0.7632648,0.0,1.4288387,0.0,0.0,2.69437,0.0,1.6677948,0.0,2.484118,1.7900949,1.2726854,1.8752825,2.7092555,1.1961919,0.0,0.0,0.5731321,0.0,0.0,1.2098079,1.5201058,2.1346862,1.0183651,0.0,0.0,1.8909926,2.3035285,2.8299649,0.0,1.272107,0.0,0.0,0.0,1.9479463,0.0,0.5815693,1.0109868,0.0,2.0512466,0.0,0.0,0.0,2.4711473,0.0,0.0
MFSD13A,0.0,0.0,0.57496285,0.0,1.8415768,0.7432564,0.6963973,1.4060085,0.0,2.1528366,1.3877912,0.8151187,1.1963663,1.4357995,0.0,2.0070882,0.0,0.0,0.0,0.0,0.0,0.93713826,0.0,1.2720882,0.0,0.0,1.4046446,0.0,0.0,2.4181063,2.5527534,0.0,0.5314196,0.0,0.0,0.5879355,0.83106655,0.7596951,1.3600922,1.011543,1.9742473,1.560939,1.5249634,0.9986427,0.98367625,0.0,0.8465666,0.0,0.0,0.0,1.1910508,0.0,1.8357631,0.92904127,1.2867144,2.1786416,2.5106716,1.4205106,1.0992416,0.6745089,0.6722347,1.4263809,0.0,2.0260131,1.3864075,0.0,0.0,0.0,1.3228889,0.0,1.3305461,0.0,2.7325697,1.0531491,0.6002592,1.8622186,1.0478635,2.1657906,0.80487615,0.0,0.0,0.0,0.0,0.0,1.7424874,1.0668801,2.3911664,1.0068946,2.4066186,0.6286273,1.4689664,1.1573118,0.0,0.0,0.0,2.0492392
DNAL1,0.0,1.9619017,0.0,0.60276043,0.0,0.0,0.0,0.0,0.86218214,0.0,0.6765999,0.0,0.0,0.0,0.87663925,0.0,1.0283829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8185623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7211646,0.65436274,0.7848856,0.7327608,0.0,0.9986427,0.6533036,0.0,0.90048474,0.0,0.0,0.0,1.2573681,1.4959508,0.0,0.0,0.54465616,0.0,0.98951316,0.52260333,0.0,0.7672134,0.0,0.0,0.8461116,0.0,0.0,0.0,1.0167102,0.5630169,0.0,0.0,0.47350037,0.0,1.5923581,0.0,0.0,0.7758481,0.6553291,0.0,0.0,0.0,0.79154414,0.0,0.71148884,0.0,0.40785804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A3,0.0,0.0,1.9506317,0.0,1.3216593,3.538303,1.2656696,0.0,0.86218214,0.61273485,0.656535,1.2638551,0.0,0.0,0.0,0.0,0.0,1.5956022,2.2242434,0.0,0.9972649,4.134886,2.4484675,1.2720882,0.0,1.4249042,1.9668546,0.0,0.0,1.4834652,0.0,0.0,0.53183174,0.0,3.625702,0.0,1.359599,3.2425919,1.4864582,0.0,1.4605855,0.0,3.0655713,1.4882166,1.3071674,1.9201636,0.0,1.7972345,0.0,0.0,2.0728195,0.0,0.6486858,3.1074226,1.5956038,0.0,0.9783426,1.4249129,0.7158802,0.0,0.0,1.8147064,0.0,0.0,0.0,0.0,0.0,0.0,1.4946917,3.9310744,1.6435592,0.70883095,0.0,0.0,1.2435126,1.0613431,0.0,1.408202,0.0,0.0,0.0,0.0,0.0,0.0,2.1363256,3.405731,1.743496,0.0,0.0,1.0103552,0.6081456,0.0,0.0,2.089971,0.0,0.0
ULBP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7601786,0.0,0.0,0.0,0.8156759,0.4728275,2.3617039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8306205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7596951,0.0,0.0,0.0,0.0,0.0,0.0,1.3057104,1.3052359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1933528,0.0,0.0,0.0,0.0,0.0,2.1638458,1.3395102,0.0,1.2497205,0.0,0.0,0.0,0.0,0.0,0.0,1.0580206,0.0,0.0,0.0,0.0,0.0,1.4499269,1.5482229,2.5918453,0.0,0.0,0.4374776,0.0,0.6926759,0.0,0.0,1.6639202,0.0,0.0,0.0,1.0103552,0.0,0.5468781,1.0697223,1.839124,1.3837655,0.0
RNASE1,2.2513757,2.550105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4728275,0.95608896,0.0,2.3200412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2720882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5457445,1.2265786,0.0,0.0,0.0,0.7596951,0.0,1.5040067,1.4605855,0.0,0.0,0.0,0.0,2.3427627,0.0,0.0,0.9131618,1.6932423,0.0,0.0,0.76273936,0.60995364,0.50393254,0.704757,1.3311921,0.0,0.0,0.0,0.0,0.58271873,0.0,0.7400401,0.5405479,0.6809565,0.0,0.0,0.0,0.0,0.0,0.0,1.5529382,0.0,0.0,0.0,0.66155916,1.408202,0.0,0.0,2.4844084,0.0,0.6926759,0.0,0.3821477,0.0,0.0,0.62238336,1.5776991,0.0,0.0,0.89781976,0.0,1.839124,1.3566643,0.0
POTEE,0.0,1.5965856,0.57496285,0.0,0.0,0.0,0.0,0.8689046,0.0,0.0,0.0,2.2844093,1.0346702,0.0,1.4549372,0.0,1.7666639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4046446,2.1667318,0.0,0.0,2.5527534,0.0,0.0,0.0,0.0,0.0,1.5150348,0.0,1.2830085,0.62856627,0.0,0.0,0.0,1.5439283,0.0,0.0,1.7347225,0.0,0.0,0.0,0.0,0.0,0.0,0.8904909,0.5074888,0.0,0.0,0.0,0.0,1.3582051,1.9640442,0.0,1.3699019,0.0,0.0,0.0,1.077478,0.0,0.0,0.0,0.0,1.0654801,0.0,1.0531491,0.0,0.0,0.0,0.93385506,0.0,0.0,0.0,0.0,0.6926759,0.0,0.0,0.0,0.55778724,0.0,0.0,0.6318822,0.0,1.332934,0.0,0.0,1.3566643,0.0
FCER1G,0.0,0.0,0.57496285,2.0327349,0.0,0.0,0.0,0.0,2.059445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7343168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9557175,0.0,0.0,0.0,0.0,1.4605855,0.0,0.0,0.61912245,0.0,0.8519781,0.0,0.0,0.0,0.0,0.7632648,0.941724,0.0,0.92904127,0.0,0.0,1.5301557,0.0,0.0,1.3343995,0.0,0.0,0.0,0.0,0.0,1.0823247,1.1966501,0.0,0.0,0.0,0.44251797,0.0,1.5529382,0.0,0.6002592,2.0183113,0.0,0.0,0.0,0.0,0.0,0.0,1.3855873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89781976,0.0,0.0,0.0,0.0
