,9CL_Bc65_Bc01,9CL_Bc65_Bc03,9CL_Bc65_Bc04,9CL_Bc65_Bc05,9CL_Bc65_Bc06,9CL_Bc65_Bc07,9CL_Bc65_Bc08,9CL_Bc65_Bc09,9CL_Bc65_Bc10,9CL_Bc65_Bc11,9CL_Bc65_Bc12,9CL_Bc65_Bc15,9CL_Bc65_Bc16,9CL_Bc65_Bc17,9CL_Bc65_Bc18,9CL_Bc65_Bc19,9CL_Bc65_Bc20,9CL_Bc65_Bc22,9CL_Bc65_Bc23,9CL_Bc65_Bc24,9CL_Bc65_Bc25,9CL_Bc65_Bc26,9CL_Bc65_Bc27,9CL_Bc65_Bc28,9CL_Bc65_Bc29,9CL_Bc65_Bc30,9CL_Bc65_Bc31,9CL_Bc65_Bc32,9CL_Bc66_Bc01,9CL_Bc66_Bc04,9CL_Bc66_Bc05,9CL_Bc66_Bc06,9CL_Bc66_Bc07,9CL_Bc66_Bc08,9CL_Bc66_Bc09,9CL_Bc66_Bc10,9CL_Bc66_Bc11,9CL_Bc66_Bc12,9CL_Bc66_Bc13,9CL_Bc66_Bc14,9CL_Bc66_Bc15,9CL_Bc66_Bc16,9CL_Bc66_Bc17,9CL_Bc66_Bc18,9CL_Bc66_Bc20,9CL_Bc66_Bc22,9CL_Bc66_Bc23,9CL_Bc66_Bc25,9CL_Bc66_Bc26,9CL_Bc66_Bc27,9CL_Bc66_Bc28,9CL_Bc66_Bc29,9CL_Bc66_Bc30,9CL_Bc66_Bc31,9CL_Bc66_Bc32,9CL_Bc67_Bc01,9CL_Bc67_Bc02,9CL_Bc67_Bc03,9CL_Bc67_Bc04,9CL_Bc67_Bc05,9CL_Bc67_Bc06,9CL_Bc67_Bc07,9CL_Bc67_Bc08,9CL_Bc67_Bc09,9CL_Bc67_Bc10,9CL_Bc67_Bc12,9CL_Bc67_Bc13,9CL_Bc67_Bc14,9CL_Bc67_Bc17,9CL_Bc67_Bc18,9CL_Bc67_Bc19,9CL_Bc67_Bc24,9CL_Bc67_Bc25,9CL_Bc67_Bc26,9CL_Bc67_Bc27,9CL_Bc67_Bc28,9CL_Bc67_Bc29,9CL_Bc67_Bc30,9CL_Bc67_Bc31,9CL_Bc67_Bc32
DCBLD2,1.726024,0.0,1.0740721,0.0,2.3946984,0.6586041,0.0,0.9747851,0.0,0.0,1.7035996,1.931601,1.2065766,0.7778587,0.68702346,1.0410414,0.97958404,0.0,1.4492049,1.902114,2.503059,2.31999,2.2357159,0.8680619,1.5224568,0.63802314,2.092989,0.0,0.0,1.8429722,1.4477211,0.7362181,1.1535488,2.1206331,0.0,0.0,1.3435463,2.7436395,1.032597,0.0,0.56079584,0.0,0.9759685,1.4796644,0.0,0.0,0.0,0.0,0.0,1.3506544,0.0,2.4135447,0.0,0.0,0.8262338,0.0,1.4686707,2.2477252,0.0,1.1737733,1.4567674,1.5953192,0.41366088,1.0103861,0.0,1.9023806,2.2154188,0.96471465,0.0,1.2599598,1.9772222,0.0,0.0,2.1950636,0.0,2.143581,1.7662061,2.4608932,0.0,1.7018042
EFNA1,0.0,0.6368036,0.0,0.0,0.0,0.6586041,0.86152416,0.9747851,0.0,0.0,0.0,0.5321646,0.0,3.375652,0.0,1.3996073,0.0,0.0,0.59604776,0.0,0.0,0.0,1.6441461,0.0,1.1780703,0.63802314,0.0,0.0,0.63224626,0.0,0.0,2.1536403,1.4478905,1.2370607,0.0,2.0443957,1.0607052,0.5986567,0.0,1.9536532,0.0,0.0,1.7852732,0.0,0.0,0.0,1.3865373,1.0846213,1.7479227,0.0,0.9851683,0.62676203,0.5429309,1.1905065,1.2723963,0.0,1.8828834,1.3797681,1.0428478,0.7500409,2.0260572,2.184595,0.7054158,0.0,2.6239676,0.80124485,0.0,0.0,1.5035219,0.0,1.4137456,0.0,1.9705738,0.0,1.9342471,0.81314474,0.9617258,0.78338474,0.0,0.91413265
PRPF4,1.537165,0.0,1.760989,0.0,0.9786325,0.6586041,0.6477192,2.6535785,0.0,0.9894107,0.809611,0.0,0.77519345,1.210038,1.090439,1.2363101,0.0,1.5609705,0.9669318,0.0,0.80943847,1.0262316,0.71498054,1.3256359,0.7533247,0.0,1.6611704,0.6862682,1.5101328,1.1397902,0.7345147,0.0,0.7346299,1.2370607,0.0,0.5579948,0.66485244,0.0,1.9918694,1.3930728,1.3883586,1.5569693,1.2472059,0.6140325,0.7014982,2.0759284,0.6933092,1.9278854,2.0935898,1.3506544,2.0429137,1.009082,1.1515623,1.1905065,1.2723963,0.0,0.74881166,0.55589175,0.7996926,0.44375157,1.0903239,0.5405813,1.7247463,0.0,1.4345089,0.80124485,1.186922,0.96471465,0.6282754,0.98712933,1.4137456,1.0983963,1.5485992,0.0,0.0,0.81314474,0.0,0.0,0.68213916,1.7018042
TARDBP,1.3663743,1.9786539,1.0740721,1.4255883,0.9786325,1.3340217,0.86152416,0.0,1.6205765,1.2625643,2.0616195,1.65167,0.0,0.7778587,1.090439,1.8712627,1.8736986,1.2553201,0.9669318,2.0949523,0.80943847,0.6393587,1.4188682,0.0,1.475255,0.63802314,0.0,1.0894297,2.1901436,1.4325022,1.6748286,0.0,1.1535488,0.0,1.2860458,1.8294019,2.0293877,1.2409848,1.032597,1.3930728,1.7069997,1.8895862,1.2472059,1.6561955,0.7014982,1.5009552,0.6933092,1.0846213,1.7479227,2.037736,1.4716747,1.009082,1.7996129,0.0,0.8262338,1.7395167,1.5893781,0.55589175,0.7996926,1.796231,1.935241,1.3527423,2.036074,0.0,0.7255471,1.777196,1.8426032,0.0,1.6811774,1.4740855,1.6386927,1.0983963,1.2441306,0.76084405,1.6936182,1.2556093,1.4427727,2.3524175,2.17757,1.7018042
HPX,0.90038645,0.0,0.0,0.94784844,0.0,0.6586041,0.0,0.0,0.0,0.0,0.0,0.0,2.2188866,1.9292042,1.090439,0.79815704,0.0,0.0,0.0,0.0,0.0,0.0,0.71498054,0.0,0.0,0.0,0.0,0.0,0.0,1.1397902,0.0,1.6774882,0.0,0.0,0.0,0.0,0.0,0.0,0.6440487,0.92171717,0.0,0.0,2.226641,0.6140325,0.7014982,0.0,0.0,0.0,0.78192025,0.66952884,0.0,0.0,0.89285314,0.0,0.0,1.3394004,0.0,0.0,1.4017105,0.0,1.7243525,1.1477243,0.0,0.0,1.141583,0.0,0.0,0.0,1.0111464,0.0,0.0,0.69298524,0.0,0.0,0.0,0.81314474,0.0,1.217206,0.0,0.0
FILIP1L,0.0,0.0,0.0,0.94784844,0.0,0.0,1.5357283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3233997,0.0,0.9669318,0.0,0.0,1.0262316,0.0,1.3256359,1.475255,0.0,1.6611704,0.0,0.0,1.9985482,1.4477211,0.7362181,0.0,0.0,0.0,2.6175282,0.0,0.970531,0.0,0.92171717,0.0,0.0,0.0,0.7222141,1.1097316,1.2011633,0.0,0.0,0.78192025,1.0669955,0.0,0.0,1.6725143,0.7628473,0.0,0.0,0.0,0.0,1.7748553,0.0,0.0,1.1477243,0.0,0.0,0.7255471,0.80124485,1.7145108,0.0,0.0,1.6503495,0.0,0.69298524,0.0,0.76084405,0.0,0.81314474,0.0,0.0,0.0,0.91413265
FGA,0.0,0.0,1.0740721,0.0,0.0,1.5535814,0.0,3.1825588,0.0,0.0,0.48459473,0.0,0.0,0.7778587,0.68702346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6862682,0.0,0.0,0.0,4.5377693,0.7346299,0.0,0.0,0.5579948,0.0,0.0,0.0,0.0,0.0,0.0,1.2472059,0.0,0.7014982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5798224,2.0245135,0.0,0.0,2.2590508,0.0,1.8353457,1.1477243,0.0,1.0103861,2.543527,0.0,0.0,0.0,1.5035219,0.0,0.0,1.3860514,0.80422264,0.0,0.0,0.0,1.4427727,0.0,0.68213916,0.0
UBD,0.0,1.0227593,0.0,1.7438158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5321646,1.2065766,1.210038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533247,0.0,0.0,1.7802681,0.0,0.0,0.7345147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3046241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0935898,2.257969,0.0,1.009082,0.0,0.7628473,0.0,0.0,0.44291687,0.0,0.0,0.34673303,0.0,0.0,0.7054158,0.0,0.0,2.2615747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9617258,0.0,0.0,0.0
STAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9292042,0.0,0.0,0.8662954,0.0,0.0,0.0,0.80943847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92171717,0.0,0.0,0.0,0.0,0.7014982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6621301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.141583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0839078,0.0
DPEP1,0.0,0.0,1.0740721,1.2149805,0.9786325,0.0,0.6477192,0.0,0.0,0.0,0.0,0.0,2.3387334,0.7778587,0.0,0.0,0.0,0.0,0.9669318,0.0,0.0,0.0,0.0,1.8762778,0.0,0.0,0.0,0.0,0.0,1.1397902,1.1533972,0.0,0.0,0.0,0.0,0.0,1.8969032,0.0,0.6440487,0.0,1.5603173,0.0,2.226641,0.0,1.3987949,1.731295,0.0,0.0,0.78192025,0.0,0.0,0.0,1.5271901,0.0,0.0,1.5593381,0.44291687,0.0,2.0459769,0.7500409,0.50586087,2.4013495,0.41366088,0.0,0.0,0.80124485,0.0,0.0,1.0111464,0.0,0.71153146,2.1969366,1.2441306,1.4861952,0.0,1.56129,0.0,0.78338474,0.68213916,0.91413265
