,9CL_Bc65_Bc01,9CL_Bc65_Bc03,9CL_Bc65_Bc04,9CL_Bc65_Bc05,9CL_Bc65_Bc06,9CL_Bc65_Bc07,9CL_Bc65_Bc08,9CL_Bc65_Bc09,9CL_Bc65_Bc10,9CL_Bc65_Bc11,9CL_Bc65_Bc12,9CL_Bc65_Bc15,9CL_Bc65_Bc16,9CL_Bc65_Bc17,9CL_Bc65_Bc18,9CL_Bc65_Bc19,9CL_Bc65_Bc20,9CL_Bc65_Bc22,9CL_Bc65_Bc23,9CL_Bc65_Bc24,9CL_Bc65_Bc25,9CL_Bc65_Bc26,9CL_Bc65_Bc27,9CL_Bc65_Bc28,9CL_Bc65_Bc29,9CL_Bc65_Bc30,9CL_Bc65_Bc31,9CL_Bc65_Bc32,9CL_Bc66_Bc01,9CL_Bc66_Bc04,9CL_Bc66_Bc05,9CL_Bc66_Bc06,9CL_Bc66_Bc07,9CL_Bc66_Bc08,9CL_Bc66_Bc09,9CL_Bc66_Bc10,9CL_Bc66_Bc11,9CL_Bc66_Bc12,9CL_Bc66_Bc13,9CL_Bc66_Bc14,9CL_Bc66_Bc15,9CL_Bc66_Bc16,9CL_Bc66_Bc17,9CL_Bc66_Bc18,9CL_Bc66_Bc20,9CL_Bc66_Bc22,9CL_Bc66_Bc23,9CL_Bc66_Bc25,9CL_Bc66_Bc26,9CL_Bc66_Bc27,9CL_Bc66_Bc28,9CL_Bc66_Bc29,9CL_Bc66_Bc30,9CL_Bc66_Bc31,9CL_Bc66_Bc32,9CL_Bc67_Bc01,9CL_Bc67_Bc02,9CL_Bc67_Bc03,9CL_Bc67_Bc04,9CL_Bc67_Bc05,9CL_Bc67_Bc06,9CL_Bc67_Bc07,9CL_Bc67_Bc08,9CL_Bc67_Bc09,9CL_Bc67_Bc10,9CL_Bc67_Bc12,9CL_Bc67_Bc13,9CL_Bc67_Bc14,9CL_Bc67_Bc17,9CL_Bc67_Bc18,9CL_Bc67_Bc19,9CL_Bc67_Bc24,9CL_Bc67_Bc25,9CL_Bc67_Bc26,9CL_Bc67_Bc27,9CL_Bc67_Bc28,9CL_Bc67_Bc29,9CL_Bc67_Bc30,9CL_Bc67_Bc31,9CL_Bc67_Bc32
DCBLD2,6.324,0.0,2.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,7.207,8.398,2.0,1.0,1.0,3.0,1.207,0.0,4.0,4.0,9.0,10.249,8.0,1.0,3.188,1.0,5.0,0.0,0.0,5.0,3.0,1.0,2.0,6.0,0.0,0.0,3.0,17.743,2.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.673,0.0,0.0,1.0,0.0,6.0,11.387,0.0,4.0,5.0,5.481,1.0,1.0,0.0,4.642,10.758,1.0,0.0,3.0,6.0,0.0,0.0,7.0,0.0,6.0,3.0,9.013,0.0,3.0
EFNA1,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,2.0,0.0,9.0,2.0,1.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,10.0,4.0,3.0,2.0,10.0,11.0,2.0,0.0,12.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,5.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0
PRPF4,5.0,0.0,5.0,0.0,2.0,1.0,2.0,8.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,4.0,0.0,3.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,4.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,7.0,2.0,4.0,2.0,3.0,1.0,1.0,6.0,1.0,3.0,6.0,3.0,4.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,9.0,0.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0
TARDBP,4.0,7.0,2.0,4.0,2.0,3.0,3.0,0.0,3.0,3.0,11.0,6.0,0.0,1.0,2.0,9.0,4.0,2.0,2.0,5.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,2.0,9.0,3.0,4.0,0.0,2.0,0.0,1.001,7.0,7.0,3.0,2.0,2.0,6.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,4.0,7.0,2.0,2.0,7.0,0.0,1.0,5.0,7.0,1.0,2.0,9.0,9.0,4.0,13.0,0.0,1.0,4.0,7.0,0.0,5.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,8.0,8.0,3.0
HPX,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,7.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
FILIP1L,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.249,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,5.999,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
FGA,0.0,0.0,2.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,85.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,14.0,0.0,8.0,3.0,0.0,1.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
UBD,0.0,2.0,0.0,5.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.983,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.742,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
STAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
DPEP1,0.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,5.0,0.0,10.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,0.0,11.0,2.0,1.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,8.0,2.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0
