,live_1,live_2,live_3,live_4,live_5,live_6,live_7,live_8,live_9,live_10,live_11,live_12,live_13,live_14,live_15,live_16,live_17,live_18,live_19,live_20,live_21,live_22,live_23,live_24,live_25,live_26,live_27,live_28,live_29,live_30,live_31,live_32,live_33,live_34,live_35,live_36,live_37,live_38,live_39,live_40,live_41,live_42,live_43,live_44,live_45,live_46,live_47,live_48,live_49,live_50,live_51,live_52,live_53,live_54,live_55,live_56,live_57,live_58,live_59,live_60,live_61,live_62,live_63,live_64,live_65,live_67,live_68,live_69
PRPF4,2.7735875,3.863504,3.767447,3.8856077,3.4775255,2.278933,2.2406394,2.8592496,4.110515,3.0857325,3.096271,3.803853,2.4906971,3.219879,4.105686,1.6768665,2.5332832,3.5806963,3.3738062,3.812767,2.9744158,2.3595865,4.37487,3.0084295,0.24290386,3.4297926,2.942896,3.7924635,2.8818934,2.9260027,2.8728259,3.242318,2.4786274,3.1990552,2.3923368,1.6117426,3.3958895,3.1376412,2.7680845,3.2269156,3.4544322,3.7736454,3.4636843,3.7388983,3.7382,2.8753576,3.9121172,2.344655,2.621068,0.22140722,3.6525981,3.070434,3.0943754,4.031427,2.8376253,4.315116,3.535421,2.77071,3.3483176,2.7079268,3.5067995,3.6131897,3.287864,3.4361022,3.415954,3.720074,3.6104474,1.0665281
TARDBP,4.402245,3.9399133,4.5463166,4.5677314,4.6220365,4.217295,3.5663652,3.1646173,4.183533,4.3457036,4.6505156,4.0340676,3.919973,4.3831625,4.186682,3.8711412,3.4914584,4.1823754,4.3668165,4.1230397,4.0343084,3.963526,4.7526445,4.57674,2.6082046,4.1754766,4.2653103,4.162274,4.047687,3.8444955,3.9058032,3.1227014,4.5995,4.2926674,4.307336,2.530556,4.0358796,4.273491,3.6787481,3.763331,3.813527,3.1850328,4.352203,4.6352954,4.498329,4.168809,4.44769,3.8543134,4.012535,3.1389234,4.363467,4.36538,4.091518,4.260671,2.570629,4.438832,4.3706727,4.026111,4.014958,4.4556084,4.2690196,4.4805794,4.3192186,3.7996554,4.4707775,4.283726,4.3112,3.3916178
TMEM164,3.2013211,1.6459209,2.6627202,2.7738135,2.4009423,3.1071453,2.4749408,3.2719336,1.781035,2.264983,2.6102602,1.5219572,2.7251885,0.8279561,0.42114297,1.935348,0.0,2.1758373,1.3502215,2.2769375,1.972606,3.4268708,0.8230578,3.3892076,1.4280508,2.794473,2.250824,0.7372093,1.3348495,3.153825,2.1093493,1.0283537,3.6772194,2.2489543,2.9184585,2.5954065,1.1879348,0.4129891,0.64671165,4.5382395,1.177209,3.5662975,2.2604895,1.4565271,3.1043642,2.27612,2.9506934,2.8203056,3.344708,0.0,2.378377,1.946226,3.1141946,2.4571116,4.62394,3.4725165,1.8627385,3.5794928,3.0088084,1.1160296,1.6465374,1.6131852,3.091935,3.3897858,2.8925388,0.0,0.95190454,0.25668168
ISG15,3.7335145,3.929898,3.2524207,4.4409723,4.264289,2.0589876,3.2588093,0.0,3.743687,3.3930118,4.9660583,4.8692336,5.0038986,4.18438,4.1737795,3.3371284,4.7627606,5.121919,2.7327719,4.1611423,5.8878174,5.603863,5.2303705,4.5733247,4.0077453,4.687286,2.8957322,4.569876,4.84383,3.2451546,4.2221584,4.539221,4.096202,4.5521927,0.0,3.1491885,3.721273,3.5261211,4.224969,0.0,5.0425463,3.3526402,5.5332756,3.7018178,4.7081265,4.4275527,3.4200752,3.8478918,3.7535276,0.0,3.191577,3.142535,3.284635,3.8524418,3.3461647,3.2339807,3.9984756,3.58963,2.457103,3.8536172,3.846298,4.356884,4.771312,3.0501745,3.2246296,4.2137966,0.0,4.49352
BMP5,0.09672003,0.81728643,0.0,0.0,0.0,2.3393848,0.0,0.053370114,0.0,0.0,0.3563096,0.0,0.0,0.042494383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11048881,0.0,0.34791028,0.0,0.0,0.0,0.14128087,0.0,0.0,0.0,0.0,1.2076204,0.0,0.0,0.062930785,0.042930506,0.059157968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0937314,0.0,1.3323464,0.0,0.0,0.0,0.0,0.0,0.42193937,0.0,0.0,0.15327477,0.0,0.055951376,0.0,0.06007944,0.0,3.4237986,0.05983077,0.0,0.0,0.10200482,0.0
ULBP2,2.2363038,2.540837,1.2278892,0.0,1.7229081,2.655185,1.6704612,0.0,1.865653,0.0,2.6191726,2.131849,2.9321268,0.0,1.3446423,0.40573478,3.0013912,2.125856,0.0,2.801656,1.0477493,0.65348405,4.948836,0.0,1.3320266,2.6129103,1.2572222,1.7137343,1.6985612,0.0,1.851204,0.6965162,0.0,0.0,1.6174762,0.0,1.9344597,0.0,2.6723416,0.0,2.1023772,0.0,0.0,0.0,1.8130107,0.32906204,2.057127,2.092685,0.0,2.694784,2.061958,0.0,2.8935812,1.0088016,0.0,2.155487,1.7394956,1.8043993,1.741896,2.6244018,1.8702767,2.471457,2.465005,2.4092,1.9951106,0.0,0.0,0.53574157
TNFRSF21,1.4699237,2.2171268,2.4844527,1.8309537,2.248937,2.624625,2.302089,2.005717,3.7522068,2.2169385,2.5681968,1.6082139,1.4477433,1.4059626,2.7513633,2.6925702,1.7696085,1.6710143,2.0671268,2.7537708,1.9743423,2.9416547,2.7182808,1.5221626,0.2766329,1.3599265,3.0551589,0.1139674,1.8035196,2.4947093,1.4360155,0.0,2.1800926,2.1207597,2.183564,0.0,2.5968876,0.0,2.3952885,2.4705627,4.5365596,1.8846831,1.5836558,2.0437458,0.0,1.3068107,0.0,1.7484429,0.0,3.3747303,3.0738752,3.0842597,0.0,2.3104696,1.3807054,0.0,2.2029889,0.24023442,3.449318,3.6640973,0.66249853,1.7132066,0.0,1.1587518,1.1032801,0.0,1.577175,0.31329763
SGO1,3.3226535,3.2177916,3.0491993,3.7798872,3.7903695,0.71146625,2.496589,0.42991507,3.5726976,2.66189,3.770993,2.9780915,0.5667934,3.9590719,3.881892,0.255284,3.083883,2.2993333,4.104453,3.4707723,3.3966484,0.0,3.3943458,4.067385,2.1783779,2.8241699,3.879274,2.9636552,1.8246226,0.4359613,3.1284244,2.6978548,4.1834593,0.330043,3.4060216,1.6444107,0.0,2.0860186,3.1950102,1.9947462,0.17680064,0.0,3.4922185,0.3554697,2.9329054,3.7089515,3.2824616,2.6143572,1.73675,0.2809383,0.20028336,2.7820358,3.349209,3.3748426,0.0,2.9381828,3.7616382,3.2380583,3.2841995,4.126219,3.4170978,4.2042065,3.7839491,2.8123317,3.0241754,4.7357645,2.9649687,1.0965905
TFPI2,1.1766019,2.2892413,1.7472141,1.6961215,1.3499316,1.3933561,0.8253885,1.5359845,0.45128733,1.4230177,2.026987,2.5181038,1.9870114,2.5127,0.2541614,0.5278927,1.3902394,2.0105503,2.5934277,4.7235208,0.5602354,0.0,2.7832685,1.96381,3.2092328,2.2419364,2.316814,3.4129455,0.0,0.0,2.3912392,2.119,1.6388037,1.0416944,1.8167986,1.4685138,1.8931664,1.5700852,0.0,2.5722568,1.4795227,2.8650918,2.0741272,0.0,2.5961242,0.0,1.6568788,0.33421192,0.0,2.6971943,0.0,1.7915449,3.639852,2.104611,2.1044567,0.0,2.1267421,2.0698466,2.6206052,1.192689,1.3757038,2.3234403,2.886219,2.1109436,1.427177,2.3468447,1.3811218,2.1859713
C1GALT1C1L,0.6351077,0.0,1.968405,0.0,2.5908406,0.0,2.014096,2.7102172,0.0,0.0,0.0,2.749778,0.87634075,2.1479268,1.4690783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6993117,0.0,0.0,2.2820435,0.0,0.0,0.0,2.9236221,0.0,0.0,0.0,0.0,2.6818578,0.0,3.7899103,0.0,2.8740098,0.0,0.0,0.0,1.5301143,2.2734447,0.0,3.594956,0.0,0.0,0.0,0.0,4.2881036,1.2432435,0.0,0.0,0.0,0.0,2.6143007,3.382263,0.0,0.0,0.0,0.0,0.6439268
