,live_1,live_2,live_3,live_4,live_5,live_6,live_7,live_8,live_9,live_10,live_11,live_12,live_13,live_14,live_15,live_16,live_17,live_18,live_19,live_20,live_21,live_22,live_23,live_24,live_25,live_26,live_27,live_28,live_29,live_30,live_31,live_32,live_33,live_34,live_35,live_36,live_37,live_38,live_39,live_40,live_41,live_42,live_43,live_44,live_45,live_46,live_47,live_48,live_49,live_50,live_51,live_52,live_53,live_54,live_55,live_56,live_57,live_58,live_59,live_60,live_61,live_62,live_63,live_64,live_65,live_67,live_68,live_69
PRPF4,15.015987,46.63196,42.269455,47.696526,31.379501,8.766254,8.39934,16.448427,59.978123,20.883488,21.11533,43.873753,11.069687,24.025087,59.684364,4.348769,11.594789,34.89853,28.189419,44.275547,18.57818,9.586572,78.429504,19.255566,0.27494603,29.870237,17.970703,43.36556,16.848036,17.652922,16.686928,24.592974,10.924887,23.509361,9.939027,4.011537,28.841185,22.049433,14.928094,24.201805,30.640322,42.538486,30.934418,41.051636,41.022278,16.731766,49.004707,9.429673,12.750401,0.24783146,37.574757,20.551254,21.073444,55.34125,16.075169,73.822296,33.309452,14.96997,27.454824,13.998148,32.34139,36.084152,25.78559,30.06563,29.445986,40.26745,35.982597,1.9052752
TARDBP,80.63395,50.41414,93.28449,95.32534,100.70094,66.84971,34.387733,22.67968,64.59722,76.14629,103.6389,55.490227,49.399082,79.09091,64.804115,46.99713,31.833801,64.52131,77.79239,60.746635,55.503834,51.64262,114.89036,96.19698,12.574657,64.07084,70.18699,63.217392,56.264847,45.735104,48.689972,21.707638,98.43461,72.161354,73.24243,11.560487,55.592667,70.77174,38.59679,42.091724,44.309975,23.168081,76.64932,102.058334,88.866844,63.638416,84.42939,46.1962,54.286842,22.079004,77.52893,77.679276,58.830654,69.85751,12.074045,83.67598,78.09682,55.04254,54.42096,85.10852,70.45155,87.28583,74.129906,43.685787,86.42467,71.51013,73.52989,28.713985
TMEM164,23.56496,4.1857834,13.33523,15.0196085,10.033569,21.357132,10.881002,25.362263,4.935997,8.6309595,12.6025915,3.5811827,14.25929,1.2886362,0.5237021,5.926454,0.0,7.8095574,2.8582802,8.746785,6.189387,29.780174,1.2774532,28.642456,3.1705618,15.354009,8.495556,1.0900946,2.799424,22.425499,7.242876,1.7964584,38.53631,8.477819,17.512726,12.402036,2.2802994,0.5113286,0.90925217,92.52599,2.2453039,34.385338,8.58778,3.2910316,21.29504,8.738821,18.119207,15.781978,27.352295,0.0,9.787379,6.002211,21.51529,10.671053,100.89469,31.217714,5.441352,34.85535,19.263237,2.0527096,4.1889815,4.0187716,21.019644,28.659595,17.039047,0.0,1.590639,0.2926336
ISG15,40.825848,49.901783,24.852842,83.85743,70.11433,6.8380313,25.018541,0.0,41.25349,28.755438,142.46028,129.22108,147.99292,64.6528,63.96051,27.138206,116.06864,166.65678,14.375445,63.14475,359.61734,270.47302,185.86198,95.86562,54.02266,107.55815,17.096745,95.53216,125.95465,24.66568,67.18049,92.617836,59.111557,93.84015,0.0,22.317137,40.31696,32.991863,67.372375,0.0,153.86386,27.578085,251.9712,39.520893,109.844315,82.726265,29.571712,45.894096,41.671345,0.0,23.326757,22.162506,25.699242,46.107956,27.393623,24.380487,53.514977,35.22067,10.670952,46.16335,45.819412,77.013664,117.07406,20.119028,24.14426,66.61275,0.0,88.43569
BMP5,0.101551935,1.2643471,0.0,0.0,0.0,9.374853,0.0,0.054819975,0.0,0.0,0.4280496,0.0,0.0,0.043410197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11682385,0.0,0.4161052,0.0,0.0,0.0,0.1517481,0.0,0.0,0.0,0.0,2.345514,0.0,0.0,0.064953126,0.04386535,0.06094282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09826472,0.0,2.7899256,0.0,0.0,0.0,0.0,0.0,0.52491605,0.0,0.0,0.16564523,0.0,0.057546258,0.0,0.061920904,0.0,29.685755,0.061656866,0.0,0.0,0.10738881,0.0
ULBP2,8.358677,11.690288,2.4140155,0.0,4.600793,13.227617,4.314618,0.0,5.4601536,0.0,12.724363,7.4304404,17.7675,0.0,2.8368137,0.50040454,19.113499,7.3800673,0.0,15.471902,1.8512267,0.92222625,140.01068,0.0,2.7887137,12.638684,2.5156422,4.5496464,4.4660773,0.0,5.367481,1.0067494,0.0,0.0,4.040354,0.0,5.9203043,0.0,13.47382,0.0,7.185605,0.0,0.0,0.0,5.128872,0.38966408,6.8234606,7.1066527,0.0,13.8023205,6.8613477,0.0,17.057863,1.7423126,0.0,7.6320944,4.694471,5.0763197,4.708156,12.79632,5.490092,10.839685,10.76354,10.125058,6.353017,0.0,0.0,0.7087149
TNFRSF21,3.3489034,8.180915,10.994555,5.239835,8.477655,12.7993965,8.995039,6.431421,41.61502,8.179186,12.042285,3.9938838,3.253505,3.0794518,14.663971,13.7695875,4.868555,4.317559,6.902086,14.701731,6.201882,17.94717,14.154246,3.5821235,0.3186822,2.8959067,20.224558,0.12071559,5.0709777,11.118209,3.2039118,0.0,7.8471246,7.337469,7.8778906,0.0,12.421898,0.0,9.971363,10.829102,92.369026,5.584268,3.872737,6.71947,0.0,2.6943727,0.0,4.745649,0.0,28.216402,20.625542,20.851288,0.0,9.079156,2.9777064,0.0,8.052028,0.2715472,30.478912,38.020897,0.9396325,4.5467196,0.0,2.1859543,2.014036,0.0,3.84126,0.36792862
SGO1,26.733843,23.972906,20.098446,42.811104,43.272755,1.0369757,11.14101,0.53712696,34.61253,13.323336,42.42316,18.650276,0.76260597,51.40866,47.515923,0.29082817,20.843056,8.967536,59.609592,31.161572,28.863844,0.0,28.79515,57.404057,7.831968,15.846952,47.38907,18.36864,5.2004547,0.54644895,21.837969,13.847846,64.59238,0.39102793,29.145077,4.1779575,0.0,7.0527887,23.410425,6.3503375,0.19339316,0.0,31.85876,0.42685068,17.782122,39.81099,25.641272,12.658433,4.678857,0.32437187,0.2217489,15.15187,27.4802,28.219683,0.0,17.881502,42.01884,24.48419,25.687614,60.94326,29.480827,65.96742,42.989418,15.648691,19.577028,112.95054,18.394094,1.9939407
TFPI2,2.243334,8.867448,4.738593,4.4527574,2.8571615,3.028347,1.2827674,3.6458974,0.5703324,3.1496239,6.59118,11.405053,6.293703,11.3382,0.28937986,0.69535595,3.0158112,6.467425,12.375539,111.56388,0.7510846,0.0,15.17179,6.1264267,23.760086,8.411538,9.143305,29.35452,0.0,0.0,9.927026,7.32281,4.1490064,1.834015,5.1521316,3.3427765,5.640362,3.8070574,0.0,12.0953455,3.3908496,16.550665,6.9575973,0.0,12.411655,0.0,4.2429214,0.3968391,0.0,13.838043,0.0,4.998713,37.0862,7.20391,7.2026443,0.0,7.387496,6.9236083,12.744039,2.295932,2.9578612,9.210743,16.925406,7.2560277,3.166919,9.452537,2.979363,7.899288
C1GALT1C1L,0.88722533,0.0,6.159249,0.0,12.3409815,0.0,6.4939504,14.032539,0.0,0.0,0.0,14.639158,1.4020938,7.5670795,3.3452282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.470181,0.0,0.0,8.7966795,0.0,0.0,0.0,17.608566,0.0,0.0,0.0,0.0,13.612214,0.0,43.25243,0.0,16.707882,0.0,0.0,0.0,3.6187048,8.7128,0.0,35.414093,0.0,0.0,0.0,0.0,71.82822,2.4668398,0.0,0.0,0.0,0.0,12.657661,28.43731,0.0,0.0,0.0,0.0,0.90394264
