,9CL_Bc74_Bc01,9CL_Bc74_Bc02,9CL_Bc74_Bc03,9CL_Bc74_Bc04,9CL_Bc74_Bc05,9CL_Bc74_Bc06,9CL_Bc74_Bc07,9CL_Bc74_Bc09,9CL_Bc74_Bc10,9CL_Bc74_Bc11,9CL_Bc74_Bc12,9CL_Bc74_Bc14,9CL_Bc74_Bc16,9CL_Bc74_Bc19,9CL_Bc74_Bc21,9CL_Bc74_Bc22,9CL_Bc74_Bc23,9CL_Bc74_Bc24,9CL_Bc74_Bc25,9CL_Bc74_Bc26,9CL_Bc74_Bc30,9CL_Bc74_Bc32,9CL_Bc75_Bc01,9CL_Bc75_Bc03,9CL_Bc75_Bc04,9CL_Bc75_Bc05,9CL_Bc75_Bc06,9CL_Bc75_Bc07,9CL_Bc75_Bc08,9CL_Bc75_Bc09,9CL_Bc75_Bc11,9CL_Bc75_Bc12,9CL_Bc75_Bc13,9CL_Bc75_Bc14,9CL_Bc75_Bc15,9CL_Bc75_Bc16,9CL_Bc75_Bc17,9CL_Bc75_Bc18,9CL_Bc75_Bc19,9CL_Bc75_Bc20,9CL_Bc75_Bc21,9CL_Bc75_Bc22,9CL_Bc75_Bc24,9CL_Bc75_Bc25,9CL_Bc75_Bc27,9CL_Bc75_Bc28,9CL_Bc75_Bc30,9CL_Bc75_Bc31,9CL_Bc75_Bc32,9CL_Bc76_Bc01,9CL_Bc76_Bc02,9CL_Bc76_Bc03,9CL_Bc76_Bc04,9CL_Bc76_Bc05,9CL_Bc76_Bc06,9CL_Bc76_Bc07,9CL_Bc76_Bc08,9CL_Bc76_Bc09,9CL_Bc76_Bc10,9CL_Bc76_Bc11,9CL_Bc76_Bc12,9CL_Bc76_Bc13,9CL_Bc76_Bc14,9CL_Bc76_Bc16,9CL_Bc76_Bc17,9CL_Bc76_Bc20,9CL_Bc76_Bc21,9CL_Bc76_Bc22,9CL_Bc76_Bc23,9CL_Bc76_Bc24,9CL_Bc76_Bc25,9CL_Bc76_Bc26,9CL_Bc76_Bc27,9CL_Bc76_Bc28,9CL_Bc76_Bc31,9CL_Bc76_Bc32,9CL_Bc77_Bc01,9CL_Bc77_Bc02,9CL_Bc77_Bc03,9CL_Bc77_Bc04,9CL_Bc77_Bc05,9CL_Bc77_Bc09,9CL_Bc77_Bc10,9CL_Bc77_Bc11,9CL_Bc77_Bc12,9CL_Bc77_Bc13,9CL_Bc77_Bc14,9CL_Bc77_Bc15,9CL_Bc77_Bc16,9CL_Bc77_Bc17,9CL_Bc77_Bc20,9CL_Bc77_Bc21,9CL_Bc77_Bc23,9CL_Bc77_Bc24,9CL_Bc77_Bc25,9CL_Bc77_Bc26,9CL_Bc77_Bc28,9CL_Bc77_Bc29,9CL_Bc77_Bc30,9CL_Bc77_Bc31,9CL_Bc77_Bc32,9CL_Bc78_Bc01,9CL_Bc78_Bc02,9CL_Bc78_Bc03,9CL_Bc78_Bc04,9CL_Bc78_Bc05,9CL_Bc78_Bc06,9CL_Bc78_Bc07,9CL_Bc78_Bc09,9CL_Bc78_Bc10,9CL_Bc78_Bc11,9CL_Bc78_Bc12,9CL_Bc78_Bc13,9CL_Bc78_Bc14,9CL_Bc78_Bc15,9CL_Bc78_Bc16,9CL_Bc78_Bc17,9CL_Bc78_Bc18,9CL_Bc78_Bc19,9CL_Bc78_Bc20,9CL_Bc78_Bc21,9CL_Bc78_Bc22,9CL_Bc78_Bc23,9CL_Bc78_Bc24,9CL_Bc78_Bc25,9CL_Bc78_Bc26,9CL_Bc78_Bc27,9CL_Bc78_Bc28,9CL_Bc78_Bc29,9CL_Bc78_Bc30,9CL_Bc78_Bc31,9CL_Bc79_Bc01,9CL_Bc79_Bc02,9CL_Bc79_Bc03,9CL_Bc79_Bc04,9CL_Bc79_Bc05,9CL_Bc79_Bc07,9CL_Bc79_Bc08,9CL_Bc79_Bc09,9CL_Bc79_Bc10,9CL_Bc79_Bc11,9CL_Bc79_Bc12,9CL_Bc79_Bc13,9CL_Bc79_Bc14,9CL_Bc79_Bc15,9CL_Bc79_Bc16,9CL_Bc79_Bc17,9CL_Bc79_Bc18,9CL_Bc79_Bc20,9CL_Bc79_Bc22,9CL_Bc79_Bc23,9CL_Bc79_Bc24,9CL_Bc79_Bc25,9CL_Bc79_Bc26,9CL_Bc79_Bc27,9CL_Bc79_Bc28,9CL_Bc79_Bc30,9CL_Bc79_Bc31,9CL_Bc79_Bc32
PRPF4,2.0,2.0,1.0,6.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,0.0,3.0,0.0,3.0,1.0,8.0,9.0,0.0,0.0,1.0,0.0,5.0,5.0,4.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,4.0,0.0,3.0,5.0,1.0,4.0,1.0,0.0,0.0,7.0,2.0,0.0,3.0,1.0,2.0,1.0,0.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,9.0,7.0,3.0,5.0,4.0,11.0,2.0,0.0,3.0,2.0,6.0,8.0,5.0,5.0,2.0,0.0,5.0,2.0,0.0,2.0,2.0,1.0,5.0,6.0,3.0,4.0,9.0,0.0,2.0,1.0,1.0,6.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,0.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,5.0,1.0,0.0,3.0,6.0,1.0,2.0,5.0,0.0,4.0,8.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,4.0,3.0,1.0,1.0,2.0,0.0,2.0
TARDBP,2.0,14.001,11.0,24.0,8.0,0.0,2.0,3.0,3.0,1.0,0.0,6.0,4.0,3.0,1.174,1.0,2.0,7.0,7.185,12.0,4.0,1.0,3.0,2.0,10.0,7.0,6.0,4.0,6.0,0.0,1.0,0.0,9.0,8.0,0.0,2.0,3.0,1.0,3.0,5.0,0.0,4.0,5.0,5.0,5.0,2.764,3.0,3.0,0.0,2.0,0.0,6.0,2.0,16.0,5.0,8.002,4.0,9.0,5.0,5.0,3.0,6.0,5.0,2.0,6.0,1.0,7.891,2.0,8.0,5.0,7.418,8.0,3.0,3.0,11.0,0.0,0.0,2.0,9.0,6.0,3.0,2.0,6.0,24.0,17.0,6.0,8.0,12.0,8.0,7.0,5.0,6.0,8.0,1.0,8.001,16.0,8.814,5.0,9.0,5.0,5.0,1.0,0.0,5.0,5.0,9.0,8.0,3.0,8.0,6.0,10.0,7.0,7.0,4.0,2.0,9.0,12.0,5.0,6.0,3.0,19.0,1.0,10.0,4.0,3.0,2.0,5.0,2.0,2.0,4.0,3.0,6.0,5.0,6.0,0.0,1.005,19.09,2.0,5.0,9.443,4.0,1.0,7.0,4.0,5.0,7.0,1.0,4.0,0.0,4.0,4.0,2.255,5.0,1.0,5.0,1.0,9.954,7.0,4.0
FAM9B,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
GABRG2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,1.123,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.695,0.0,0.0,1.607,0.0,0.0,4.647,1.467,4.801,1.581,2.065,0.0,0.0,0.0,0.0,2.905,4.193,0.0,0.0,0.0,4.202,11.311,0.0,0.0,0.0,2.224,0.0,0.0,7.093,1.918,0.0,3.024,2.471,0.0,0.0,0.0,1.834,0.0,0.0,3.513,0.0,0.0,0.0,2.858,0.0,0.0,0.0,1.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.504,0.0,0.0,0.0,0.0,0.0,2.587,0.0,0.0,1.183,2.252,0.0,0.0,4.771,0.0,0.0,2.542,0.0,0.0,0.0,0.0,3.882,3.065,0.0,0.0,6.404,7.889,0.0,1.0,1.058,0.0,4.269,0.0,0.0,4.466,0.0,3.215,4.485,1.182,3.093,0.0,0.0,0.0,0.0,0.0,0.0,4.425,0.0,0.0,0.0,0.0,1.411,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,4.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.568,0.0,1.54,0.0
IFITM3,4.86,9.0,41.0,3.0,1.0,4.0,4.0,3.0,5.0,10.0,2.0,2.0,4.0,1.0,18.341,2.0,4.0,0.0,10.0,2.0,1.0,1.0,2.0,0.0,0.0,6.0,13.657,1.0,91.0,0.0,5.0,5.0,16.0,1.0,0.0,12.0,14.0,7.0,4.0,6.0,22.0,0.0,1.0,19.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,7.0,71.633,51.0,39.0,9.0,10.091,13.005,4.0,7.0,1.0,5.0,10.224,1.0,5.0,3.0,2.0,17.0,24.0,21.45,0.0,21.0,8.0,23.0,3.0,24.0,12.0,4.0,2.0,1.0,3.0,4.0,1.0,23.0,6.0,8.0,4.0,5.0,30.0,12.0,2.0,8.0,3.0,57.932,66.0,0.0,0.0,2.0,21.0,15.011,0.0,1.0,1.0,7.0,5.0,6.0,0.0,21.0,16.0,1.0,18.0,1.0,24.0,1.0,7.0,0.732,15.0,8.0,0.0,3.0,0.0,1.692,5.0,2.0,1.0,3.0,1.0,6.0,0.0,1.0,16.142,6.017,11.0,13.0,1.0,1.0,8.0,13.0,14.0,3.0,0.0,0.0,4.0,0.0,5.0,7.0,1.0,8.0,12.0,8.0,30.0,14.0,2.104,0.0,9.0,15.953,3.0,5.0
STAR,4.0,4.0,11.0,14.0,4.0,0.0,5.0,6.0,11.0,10.0,8.0,14.0,23.0,6.0,2.0,1.0,2.0,14.0,19.0,15.0,3.0,5.0,11.0,5.0,1.0,5.0,14.0,2.0,12.0,10.0,3.0,20.0,13.002,14.0,0.0,9.0,5.0,3.0,8.0,2.0,1.0,7.0,7.0,10.0,6.0,3.0,4.0,11.0,5.0,15.0,2.0,10.0,0.0,6.0,21.0,14.0,10.0,11.0,21.0,4.0,7.0,5.0,6.0,5.0,7.0,11.0,8.0,7.0,4.0,11.0,5.0,5.0,47.0,6.0,11.0,4.818,8.0,2.0,6.0,9.0,1.0,6.0,23.0,5.0,5.0,9.0,25.0,18.0,2.0,7.0,9.0,2.0,3.0,3.0,8.0,24.0,17.0,55.0,1.0,14.0,16.014,3.0,0.0,3.0,25.0,19.0,16.0,2.0,18.0,11.0,8.0,30.0,16.0,10.0,7.0,29.0,2.0,1.0,1.001,1.0,15.0,7.0,9.0,7.0,1.0,9.0,2.0,9.0,3.0,5.0,4.0,0.0,1.0,8.0,4.0,7.0,15.977,15.0,11.0,13.0,2.0,12.0,0.0,13.0,5.0,2.0,4.0,8.0,3.01,4.0,3.0,10.0,3.0,4.0,9.0,7.0,3.0,7.0,9.0
MS4A3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.133,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTPRR,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,3.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,12.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0,6.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
H2AC6,3.0,8.0,10.0,53.751,8.0,7.0,7.0,2.0,11.509,5.0,7.0,12.0,3.0,12.0,3.0,12.0,0.0,8.0,6.797,13.0,8.0,3.0,7.0,10.0,10.0,7.0,7.0,8.0,39.0,5.0,6.0,2.0,36.0,9.0,7.0,1.0,4.0,1.0,2.0,15.0,40.0,28.0,3.0,9.0,39.0,16.0,4.0,39.073,7.0,11.0,3.0,3.0,7.0,42.0,16.0,12.0,9.657,16.0,13.0,3.0,10.0,8.0,6.0,23.0,2.0,3.0,6.0,17.0,7.0,6.0,12.009,2.0,1.0,5.0,13.0,13.0,0.0,8.019,5.0,12.0,8.0,1.0,11.0,33.0,15.0,33.0,29.0,22.0,19.0,16.0,2.0,4.0,8.0,2.0,55.092,31.0,40.0,6.0,38.0,4.0,20.0,1.0,3.0,6.0,32.0,8.0,10.0,16.0,2.0,3.0,16.0,12.0,25.0,5.0,7.0,8.0,6.0,3.0,3.0,6.0,17.0,6.0,0.0,3.0,2.0,2.0,5.0,4.0,9.0,13.0,7.0,5.0,5.0,6.0,3.0,32.0,70.0,26.0,14.0,8.0,1.0,38.0,5.0,2.0,19.0,3.209,3.0,7.0,4.0,5.0,4.0,1.0,16.0,5.0,2.0,0.0,45.0,0.0,11.0
SCN7A,1.0,0.0,0.0,1.261,1.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.038,1.049,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.151,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.416,0.0,1.0,2.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.412,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.009,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
