,dpt
9CL_Bc74_Bc01,0.0
9CL_Bc74_Bc02,0.03513678
9CL_Bc74_Bc03,0.04903264
9CL_Bc74_Bc04,0.37496418
9CL_Bc74_Bc05,0.15885222
9CL_Bc74_Bc06,0.94267505
9CL_Bc74_Bc07,0.7530616
9CL_Bc74_Bc09,0.86209875
9CL_Bc74_Bc10,0.67370766
9CL_Bc74_Bc11,0.6844338
9CL_Bc74_Bc12,0.6812636
9CL_Bc74_Bc14,0.6007618
9CL_Bc74_Bc16,0.56987435
9CL_Bc74_Bc19,0.62370163
9CL_Bc74_Bc21,0.7715191
9CL_Bc74_Bc22,0.8828986
9CL_Bc74_Bc23,0.5230547
9CL_Bc74_Bc24,0.636306
9CL_Bc74_Bc25,0.4653287
9CL_Bc74_Bc26,0.35424617
9CL_Bc74_Bc30,0.8599448
9CL_Bc74_Bc32,1.0
9CL_Bc75_Bc01,0.58018863
9CL_Bc75_Bc03,0.61390233
9CL_Bc75_Bc04,0.5696058
9CL_Bc75_Bc05,0.6013544
9CL_Bc75_Bc06,0.57751834
9CL_Bc75_Bc07,0.5619061
9CL_Bc75_Bc08,0.58557504
9CL_Bc75_Bc09,0.55750847
9CL_Bc75_Bc11,0.7786492
9CL_Bc75_Bc12,0.7092545
9CL_Bc75_Bc13,0.47003755
9CL_Bc75_Bc14,0.5847653
9CL_Bc75_Bc15,0.965998
9CL_Bc75_Bc16,0.59857637
9CL_Bc75_Bc17,0.88482916
9CL_Bc75_Bc18,0.48349074
9CL_Bc75_Bc19,0.7054656
9CL_Bc75_Bc20,0.8779783
9CL_Bc75_Bc21,0.6502741
9CL_Bc75_Bc22,0.6030885
9CL_Bc75_Bc24,0.6600864
9CL_Bc75_Bc25,0.6662334
9CL_Bc75_Bc27,0.5805842
9CL_Bc75_Bc28,0.7191898
9CL_Bc75_Bc30,0.6887091
9CL_Bc75_Bc31,0.6729626
9CL_Bc75_Bc32,0.6823157
9CL_Bc76_Bc01,0.68304336
9CL_Bc76_Bc02,0.71537334
9CL_Bc76_Bc03,0.5797549
