,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47,cell_48,cell_49,cell_50,cell_51,cell_52,cell_53,cell_54,cell_55,cell_56,cell_57,cell_58,cell_59,cell_60,cell_61,cell_62,cell_63,cell_64,cell_65,cell_66,cell_67,cell_68,cell_69,cell_70,cell_71,cell_72,cell_73,cell_74,cell_75,cell_76,cell_77,cell_78,cell_79,cell_80,cell_81,cell_82,cell_83,cell_84,cell_85,cell_86,cell_87,cell_88,cell_89,cell_90,cell_91,cell_92,cell_93,cell_94,cell_95,cell_96,cell_97,cell_98,cell_99,cell_100,cell_101,cell_102,cell_103,cell_104,cell_105,cell_106,cell_107,cell_108,cell_109,cell_110,cell_111,cell_112,cell_113,cell_114,cell_115,cell_116,cell_117,cell_118,cell_119,cell_120,cell_121,cell_122,cell_123,cell_124,cell_125,cell_126,cell_127,cell_128,cell_129,cell_130,cell_131,cell_132,cell_133,cell_134,cell_135,cell_136,cell_137,cell_138,cell_139,cell_140,cell_141,cell_142,cell_143,cell_144,cell_145,cell_146,cell_147,cell_148,cell_149,cell_150,cell_151,cell_152,cell_153,cell_154,cell_155,cell_156,cell_157,cell_158,cell_159,cell_160,cell_161,cell_162,cell_163,cell_164,cell_165,cell_166,cell_167,cell_168,cell_169,cell_170,cell_171,cell_172,cell_173,cell_174,cell_175,cell_176,cell_177,cell_178,cell_179,cell_180,cell_181,cell_182,cell_183,cell_184,cell_185,cell_186,cell_187,cell_188,cell_189,cell_190,cell_191,cell_192,cell_193,cell_194,cell_195,cell_196,cell_197,cell_198,cell_199,cell_200,cell_201,cell_202,cell_203,cell_204,cell_205,cell_206,cell_207,cell_208,cell_209,cell_210,cell_211,cell_212,cell_213,cell_214,cell_215,cell_216,cell_217,cell_218,cell_219,cell_220,cell_221,cell_222,cell_223,cell_224,cell_225,cell_226,cell_227,cell_228,cell_229,cell_230,cell_231,cell_232,cell_233,cell_234,cell_235,cell_236,cell_237,cell_238
PRPF4,0.0,1.215247,0.5318396,0.0,1.2337669,1.1488111,1.0950252,0.76045114,0.62172836,1.4722522,0.46709734,1.6149415,0.7758519,1.5139319,0.0,0.9888314,0.0,0.0,1.5061448,0.0,1.1569418,1.5452237,0.74216634,0.0,0.53404534,1.1701534,1.3964945,1.1848409,1.730918,1.6366631,1.9077859,1.6938335,0.0,1.4656011,0.0,1.1539314,1.4912738,0.8176061,1.018563,1.4808469,1.5889269,1.2854973,1.1520054,1.8915814,0.0,0.6709887,0.9143351,1.0683106,0.34591672,0.41833612,1.7565016,0.0,1.0149466,0.0,0.0,0.0,0.9370836,2.0953164,0.0,1.9164306,1.6752447,0.0,1.2839258,0.0,1.4614624,1.7164397,2.1305847,2.2091906,1.1215811,1.4359583,0.0,1.9463695,1.7154372,1.6358805,0.0,2.162346,1.381227,0.7798116,1.0614833,0.0,1.9793242,1.5007079,1.0712401,0.79861224,1.4059579,1.682113,1.4409206,1.0004781,1.0861822,2.064456,1.2579348,1.3029824,1.2986803,1.4152516,1.3798858,0.0,1.1925623,1.1424512,0.8705615,0.62740874,1.5731139,0.6631285,1.423149,0.0,1.3747509,0.0,1.2272023,0.6452632,0.9426265,1.4449778,1.9356284,1.0415361,1.2647498,0.0,1.3290719,0.6344644,0.51813656,0.0,0.9142428,1.5758415,0.6743779,1.1212648,1.4226424,2.228724,0.0,0.89748216,1.9855548,0.9282786,0.0,0.77429026,0.0,0.0,0.0,0.0,0.7860324,0.9424163,1.3537471,0.8168495,1.7408,0.7388074,1.2703701,1.9838014,0.0,1.1838025,1.9051719,0.0,1.174595,1.3884624,0.8509974,2.2577217,0.0,1.4025896,1.4911803,2.4393415,0.0,1.4234636,1.0212381,0.0,1.2854267,0.97493774,1.3541205,0.82266307,1.4085747,1.6959343,0.6611604,1.0813898,0.89541095,1.4284806,1.4989523,0.6931472,1.1667054,0.97292894,0.99186397,0.9089497,0.0,0.0,0.82055897,1.0210273,0.72037214,0.98816186,1.3077902,1.2408158,1.5588855,1.5427163,1.6743487,0.0,0.0,0.9308419,0.0,1.4630796,1.7869322,0.62354374,0.0,0.0,1.3077009,0.80993533,0.0,1.0624697,1.5400602,0.9872029,1.1340618,1.3735149,0.0,1.450073,1.2510432,0.0,1.9715636,1.7934791,1.2844318,1.7110201,0.8773365,1.0253563,1.3686864,0.88939726,1.523577,1.0097585,0.8383614,1.6330324,0.0,1.1906675,1.6886799,1.0553877,0.7739268,0.82114637,0.0,1.3021516,0.5046214,1.493135,0.0,1.0717083,1.2255883,1.7186427,0.0,1.4021133,1.1911143,0.52620727,1.1984276,0.8316623,1.6989278
PPARGC1A,0.0,0.0,0.0,0.0,0.29842502,0.7310306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75395733,0.0,0.0,0.0,0.0,0.0,1.5452237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44149932,0.0,0.7467109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41833612,0.0,0.0,0.0,0.0,1.6184351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5246701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6265883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76399463,0.60943,0.0,0.0,0.0,0.0,0.5302212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52731925,0.0,0.51813656,2.2540133,0.0,0.0,0.0,0.0,0.0,0.0,1.4962864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3659012,1.4500833,0.7860324,0.0,0.5411473,0.0,0.0,0.7388074,0.0,0.0,0.0,0.0,0.0,0.0,0.444178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24307716,0.0,0.4936452,0.0,0.0,0.0,0.0,0.0,0.7214682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89408857,0.0,0.0,0.0,0.8310287,0.0,0.977211,0.0,0.0,0.0,0.7319183,0.80993533,0.0,0.0,0.0,0.0,0.53224576,0.4636343,0.40576074,0.5024013,0.0,0.0,0.0,0.0,0.0,0.0,0.5319471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37696633,0.0,0.48511574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45661762,0.0,0.0
TARDBP,0.5042892,0.0,1.8895642,1.099777,1.5738271,1.1488111,0.58539665,1.901541,1.0022069,0.98563796,0.0,1.4403267,1.5079203,2.719864,0.0,0.44641328,1.0921956,2.2170417,0.0,0.88010186,2.2742648,1.8769475,1.6867552,0.8905128,0.0,0.9809037,0.62532854,0.75850564,1.4103094,0.0,2.357413,0.0,1.6916519,1.4656011,1.7932725,0.0,0.8658814,0.4901343,1.4100407,1.7501272,0.0,0.0,1.1520054,1.1792511,0.8695482,0.0,0.0,1.0683106,0.9757437,0.0,1.2226186,0.9867242,1.0149466,0.6085629,1.6184351,0.0,0.5745118,0.0,0.0,0.0,0.734781,0.0,0.8352514,0.74644625,0.43957245,0.0,0.0,1.9156972,0.8670175,0.5882964,0.0,1.3866963,0.9241406,0.0,1.1873806,1.4052635,1.0252775,0.7798116,1.3444258,0.9752557,0.0,1.0088449,0.0,1.0415769,1.1968195,1.1595359,1.1949141,1.2751875,0.0,1.4907681,0.0,0.0,1.2986803,1.0544909,0.78380066,0.5302212,0.0,0.72620517,0.5271668,1.2859917,0.9276878,1.0583837,0.64187926,1.6641394,0.90706664,0.5477725,1.2272023,0.0,0.0,1.5485973,1.3773036,1.0415361,1.2647498,1.0620444,0.52731925,1.0195775,1.1107677,1.3459836,0.5581534,1.5758415,1.0735074,1.2770141,0.945474,0.71098757,1.0052309,1.3627279,0.0,1.4012569,1.270856,1.5056664,0.0,0.0,1.3659012,1.7741392,0.4683371,0.9424163,0.89033824,0.8168495,1.3405493,1.8667412,1.5390677,0.63962036,1.7872736,1.1838025,1.0670716,1.232392,1.174595,1.707113,0.0,1.0418868,0.6678444,1.7225116,1.4911803,1.8298167,0.0,0.0,1.2988135,1.3821659,1.5554976,1.3222011,1.7964762,1.9991491,0.0,0.90983486,1.7378653,0.50052774,1.154524,0.7214682,1.4989523,1.0986123,1.6906104,1.1613501,1.6564434,1.1701797,2.1418505,1.4733737,0.82055897,1.8450055,1.4268588,0.0,1.1064132,1.2408158,0.7542686,0.0,0.0,0.0,0.0,1.9666333,0.0,0.0,1.2486268,1.2799839,0.0,0.82889426,0.7319183,0.80993533,0.88156843,0.8163992,0.0,0.9872029,1.3378937,0.0,0.0,1.0845321,0.0,0.0,0.0,0.6941793,1.0085939,1.1839646,1.3373598,0.0,1.7384107,0.0,1.8536247,0.6272579,1.2878953,1.6330324,1.0377121,0.86439335,0.0,1.4162936,1.2049307,1.2658789,0.0,1.98056,1.5969907,0.0,1.5796978,1.355976,2.1063888,0.0,0.8582903,1.9639686,1.7194561,1.4957101,1.1984276,1.0803468,1.3031434
MTG1,0.5042892,0.0,0.0,0.8482963,0.29842502,0.0,1.4309839,0.45083392,0.62172836,0.0,0.0,0.5908479,1.5079203,0.0,0.0,0.75395733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53404534,0.7472771,0.0,1.1848409,0.0,0.0,0.0,0.44149932,0.0,0.0,0.0,0.8948992,0.8658814,0.0,1.018563,1.1111996,0.0,1.00953,1.4461656,0.0,0.0,0.0,0.9143351,0.0,0.34591672,0.0,0.0,0.0,0.46147063,1.2565743,0.0,0.0,0.9370836,0.94933957,1.3381503,1.0757593,1.1537477,0.0,1.0081494,0.0,0.0,0.0,0.0,0.7693369,0.8670175,0.0,0.0,0.0,0.0,0.0,1.1873806,0.0,0.0,0.7798116,0.0,1.4594729,0.0,0.0,0.67268854,0.0,0.0,0.73918426,0.3788848,0.0,0.0,1.1920024,1.2579348,0.0,0.0,0.80959994,1.5193682,1.1307324,0.0,0.0,0.5271668,0.62740874,0.56776977,0.0,0.64187926,0.0,0.0,0.5477725,0.7911064,0.0,0.0,1.1986209,0.4655184,0.65064836,1.2647498,0.0,0.0,0.6344644,1.3125361,1.8997056,0.9142428,0.0,0.6743779,0.936701,0.0,0.71098757,0.0,0.54621726,0.0,0.9282786,0.8250308,0.77429026,0.0,1.0585357,0.0,0.0,0.7860324,1.127599,0.0,0.0,0.6628842,0.0,0.0,0.63962036,0.0,0.0,1.0670716,1.232392,0.444178,0.0,1.303989,0.7988757,0.0,0.0,0.6208904,0.0,1.9171442,0.0,1.2988135,0.0,0.55817974,0.74225545,0.0,0.0,0.93415457,0.0,0.6611604,0.50052774,0.5447463,0.7214682,1.4989523,0.6931472,0.7446467,0.0,0.0,0.31512356,2.985073,0.9865503,0.82055897,1.0210273,0.0,0.0,0.0,0.9703832,0.0,0.80009806,0.0,0.0,0.0,0.9308419,0.0,0.0,0.0,0.62354374,1.2410798,0.0,0.4314788,1.4157091,0.0,0.0,0.0,0.0,0.0,1.0186757,0.91682285,1.8280079,0.0,0.0,0.0,0.0,0.6264044,0.0,0.5319471,0.0,0.46123844,0.54048026,0.0,1.2857575,0.0,0.0,0.6478233,1.0407786,1.3715752,0.0,0.0,1.9968098,0.0,0.0,0.0,0.0,0.8261456,0.0,0.0,0.0,0.0,1.1126858,0.0,0.52620727,0.0,0.0,0.0
IFITM3,0.0,1.215247,0.5318396,1.3005536,0.52795935,0.7310306,0.33493647,0.76045114,0.0,0.0,0.78422725,0.0,0.7758519,2.4539056,1.622391,0.75395733,1.0921956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4418753,0.36076748,0.0,0.9355487,1.1213511,0.0,0.44149932,0.0,0.7467109,1.25406,1.1539314,1.9736575,1.5676181,0.6337189,1.1111996,2.0145674,0.62709033,1.6731758,0.75422764,0.0,0.0,1.1763982,1.0683106,0.34591672,2.0480292,0.0,0.9867242,0.0,1.2565743,2.2072165,0.0,0.0,1.87855,0.0,0.0,0.734781,0.0,0.36125627,0.0,0.74388164,0.0,0.0,0.0,0.8670175,0.95621717,0.0,0.0,0.9241406,0.97591364,0.0,1.4052635,1.2190069,0.7798116,0.6654305,0.0,0.0,0.6265883,0.67268854,1.2368975,0.9320524,0.0,0.65300703,0.620464,0.0,1.9071952,2.146451,0.0,0.0,0.48458707,0.78380066,0.0,1.4913911,0.0,0.0,0.62740874,1.9621522,0.0,0.64187926,0.0,0.0,0.0,0.0,0.37379858,0.0,0.8710108,0.0,0.0,0.0,0.0,0.8707777,0.0,0.0,0.0,0.0,0.0,1.0735074,0.0,2.418697,0.71098757,0.0,0.0,0.0,0.0,0.4952909,0.0,0.0,0.0,0.0,0.9676432,0.4683371,1.127599,0.0,0.0,1.0580546,0.7388074,0.0,0.0,1.2489191,1.1838025,0.0,0.0,0.444178,0.0,0.0,0.0,0.6678444,0.0,1.4911803,0.0,0.0,0.0,0.635685,0.0,0.0,0.24307716,2.0102313,1.698902,0.0,1.6959343,0.6611604,0.50052774,0.0,0.7214682,0.0,0.0,0.7446467,1.1613501,0.0,0.31512356,0.0,0.0,1.5718,1.5155865,0.0,1.2611387,1.1064132,0.0,0.560018,0.0,0.89408857,1.3471112,0.0,0.0,0.0,0.0,0.0,0.62354374,2.5875187,0.0,1.1499801,0.0,0.0,0.0,1.2364149,0.0,0.0,0.4636343,0.40576074,0.0,1.2510432,0.0,1.5495049,0.6941793,0.0,0.7578347,0.5319471,1.850699,1.207212,0.54048026,0.0,0.0,0.0,0.0,1.0377121,1.0407786,0.9045328,0.0,1.2049307,0.0,0.0,0.0,0.5046214,1.493135,0.8261456,0.0,0.0,0.0,0.8582903,0.0,0.0,0.0,0.0,0.0,0.0
MAGED2,0.0,0.0,0.0,0.0,0.29842502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5139319,0.0,0.0,1.0921956,0.0,0.62984955,0.0,1.1569418,0.0,1.1634513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5443829,0.5238703,0.4901343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55821925,0.0,0.0,0.0,0.0,0.0,0.0,0.6085629,0.0,0.0,0.0,0.0,0.0,0.0,1.4481127,0.0,0.36125627,0.0,0.0,0.0,0.0,0.0,0.8670175,0.5882964,0.0,0.0,0.0,0.6025632,2.3139136,0.0,0.46747318,0.0,0.6654305,0.0,0.0,0.6265883,0.0,0.0,0.57089937,0.0,0.3788848,0.0,0.0,0.0,0.0,0.0,0.0,0.48458707,0.0,0.0,1.4913911,0.0,1.3287984,1.0099642,0.0,0.0,0.0,0.0,0.90706664,0.0,0.0,0.6452632,0.0,0.0,0.0,0.0,0.82026565,0.0,0.0,0.6344644,0.0,0.0,0.0,0.0,0.0,0.4168555,0.0,0.0,0.0,0.0,0.0,0.9282786,0.0,0.0,1.6293532,0.0,0.0,0.0,0.0,0.0,0.5411473,0.0,0.6628842,0.0,0.0,0.63962036,1.2489191,0.7577105,1.0670716,0.0,0.0,0.0,0.0,0.0,0.6678444,0.0,0.0,0.0,0.0,0.7180795,0.0,0.0,0.0,0.0,0.0,0.0,0.93415457,0.0,0.0,0.0,0.5447463,0.0,0.0,1.0986123,0.0,0.0,0.0,1.0480707,0.0,0.0,0.0,0.0,0.0,0.6114739,1.4753327,0.0,0.3187097,0.80009806,0.0,0.0,0.0,0.0,0.0,0.0,0.6035057,0.62354374,1.7781159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53224576,0.4636343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54048026,0.0,0.6272579,0.0,0.0,0.0,0.0,0.0,0.0,1.5051416,0.0,0.0,0.6378459,0.0,0.0,0.0,1.0717083,0.0,0.0,0.0,0.0,0.0,0.52620727,1.3593408,0.49990645,0.0
PRPF39,0.0,0.0,0.0,0.5115246,0.0,0.0,0.7855234,1.3475802,0.0,0.0,0.46709734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88010186,0.0,1.045391,0.74216634,0.0,0.0,0.0,0.36076748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8948992,0.5238703,0.0,0.0,0.0,0.0,0.62709033,0.0,0.0,0.0,0.0,0.0,0.0,0.34591672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4274375,0.0,0.0,0.0,0.0,0.0,0.44131157,0.0,0.0,0.0,0.7693369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9314948,0.46747318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57089937,0.73918426,0.3788848,0.0,0.68383914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65064836,0.0,0.0,0.0,0.0,0.0,2.5151007,0.9142428,0.0,0.0,0.0,0.0,0.0,0.0,0.89748216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4683371,0.4200635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444178,0.0,0.0,0.0,0.0,0.0,0.6208904,1.2854713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90983486,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.31512356,0.0,0.9865503,0.0,1.0210273,0.72037214,0.0,0.5155135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6035057,0.0,0.0,0.0,0.0,0.48481914,0.0,0.0,0.0,0.0,0.0,0.4636343,0.0,0.0,0.0,0.0,0.0,0.6941793,0.0,0.0,0.5319471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65008855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8261456,0.6730374,0.0,0.7627845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNASE1L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8905128,0.0,0.4418753,0.0,0.0,0.9355487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2806541,0.0,0.7334569,0.0,0.0,1.5737448,0.0,0.0,0.34591672,0.0,0.0,0.0,0.0,0.0,1.6184351,2.5832167,0.0,0.0,0.0,0.0,0.734781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.725424,0.0,0.0,0.0,0.0,0.0,0.0,1.0712401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5302212,0.7644242,0.0,0.0,0.0,0.56776977,0.0,0.0,0.0,0.0,0.5477725,1.5298549,0.0,0.0,0.65555775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4683371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7872736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2988135,0.0,0.0,0.24307716,0.5413577,0.0,0.0,0.0,0.0,0.0,0.5447463,0.7214682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5155135,0.0,0.0,0.0,0.0,0.0,1.0584344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5024013,0.0,0.0,0.0,0.6941793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63848835
BRCC3,0.5042892,1.215247,0.5318396,0.8482963,1.0074732,1.1488111,0.7855234,0.76045114,0.62172836,0.0,0.46709734,0.9597476,0.7758519,0.0,0.0,0.44641328,1.0921956,0.9692727,0.0,0.0,0.0,1.045391,1.1634513,2.7320132,0.53404534,0.0,0.0,1.1848409,0.0,1.6366631,2.357413,0.44149932,0.0,1.1694114,0.0,1.1539314,1.3228754,0.0,0.84454095,0.518397,0.0,0.62709033,0.7334569,1.8915814,0.8695482,1.0689571,1.1763982,2.356343,1.1205122,0.41833612,1.2226186,0.9867242,0.46147063,0.6085629,0.0,0.0,1.5854149,0.0,0.0,1.0757593,0.0,1.7255284,0.8352514,0.0,0.43957245,1.1885568,0.0,1.9156972,0.8670175,0.0,1.2078049,0.0,0.0,1.9150926,0.0,0.0,0.0,0.7798116,0.0,0.9752557,1.4155922,0.0,0.67268854,0.79861224,0.57089937,1.1595359,0.0,0.620464,0.68383914,0.0,0.0,0.0,0.0,0.27136382,0.0,0.5302212,0.0,0.0,0.8705615,1.0099642,1.8485012,0.0,0.64187926,1.1444021,0.90706664,0.0,0.0,0.0,0.0,0.0,1.3773036,0.65064836,0.0,0.0,0.52731925,1.0195775,0.51813656,2.5151007,1.1762916,0.0,1.0735074,0.4168555,0.945474,0.71098757,1.0052309,0.89748216,0.0,0.9282786,1.4362452,0.77429026,0.0,1.0585357,0.9000097,1.4500833,1.2206361,0.7149656,0.5411473,0.0,0.0,0.7388074,0.31190464,1.026587,1.2489191,1.1838025,0.0,0.7951221,0.444178,1.3884624,0.0,0.7988757,0.0,1.4025896,0.0,1.2854713,1.9171442,0.0,1.2988135,0.0,0.55817974,0.6018545,0.0,0.82266307,0.0,0.90983486,0.0,0.50052774,1.154524,0.7214682,0.0,0.0,0.0,0.0,0.6141731,1.2789876,0.0,1.4733737,0.82055897,0.0,1.9921374,1.2611387,1.1064132,0.0,0.560018,1.7754669,0.89408857,0.0,0.0,0.0,0.8310287,1.7311132,0.977211,1.0046879,0.0,0.0,0.4314788,0.48481914,0.0,0.48929724,0.0,0.0,1.651829,0.4636343,0.91682285,0.5024013,2.395706,2.4456656,0.0,0.0,0.6264044,0.0,0.5319471,0.0,0.46123844,0.54048026,1.8536247,0.6272579,0.0,1.1183128,0.0,1.3209906,1.3715752,0.48511574,0.0,0.0,0.0,0.6378459,0.5046214,1.8207585,0.8261456,0.6730374,1.2255883,1.1904246,1.8619841,1.4021133,0.0,1.327076,0.45661762,0.8316623,0.0
ADAL,1.0876944,1.215247,0.5318396,0.0,0.7145189,1.669381,0.33493647,1.1873806,0.62172836,1.4722522,0.46709734,0.9597476,0.0,0.0,1.1094182,0.44641328,1.6017329,1.4520946,0.0,0.0,0.0,1.045391,0.0,1.3539667,0.8803062,0.4418753,1.0071254,0.0,0.0,0.0,0.0,0.746723,0.0,0.0,0.0,0.5443829,1.9736575,0.4901343,0.36624122,0.518397,0.8326902,0.62709033,2.014049,1.1792511,0.0,1.3528697,0.9143351,1.5729642,1.1205122,1.4150245,0.0,0.9867242,1.0149466,1.2565743,3.229663,1.6252887,1.2026087,0.0,1.3381503,0.67605656,0.0,1.1962663,0.0,1.5858039,1.3244768,1.1885568,1.5496655,1.198961,1.324314,0.0,0.0,0.0,1.3960971,0.6025632,0.0,0.0,1.2190069,0.0,1.3444258,1.4594729,0.0,0.0,0.0,0.79861224,0.0,1.1595359,0.86792547,0.620464,0.0,1.1920024,0.98535603,0.0,1.9764488,0.48458707,0.46680447,1.8862308,0.7644242,1.1424512,1.1257011,1.0099642,1.191794,1.0583837,0.37158018,0.0,1.3747509,0.8996706,0.0,0.37379858,0.0,1.1986209,0.7819267,1.7198902,0.0,1.5653931,0.0,0.0,0.51813656,0.0,0.5581534,0.0,0.0,1.1212648,1.2122535,0.71098757,1.4962864,0.54621726,0.0,0.0,0.8250308,1.7362835,0.0,1.0585357,1.6824803,0.9676432,0.4683371,0.4200635,0.89033824,0.0,0.0,0.0,0.31190464,1.026587,0.0,0.0,1.0670716,0.0,0.9849298,0.91802555,0.0,0.0,0.6678444,0.0,0.0,0.0,0.0,0.0,0.635685,0.0,0.7519976,0.74225545,0.890635,1.5747766,0.0,0.90983486,0.0,1.7132827,0.89541095,0.0,1.0074096,1.0986123,0.0,1.1613501,0.6141731,0.74729717,0.0,0.9865503,1.2651259,1.0210273,1.1347499,1.2611387,1.3077902,1.2408158,1.0566647,0.0,0.0,0.0,1.0584344,0.9308419,1.2785305,1.0957897,0.6035057,1.4956216,0.0,0.82889426,0.4314788,1.0548847,0.0,1.0624697,0.0,0.9872029,0.87775946,1.2117523,0.0,0.5024013,0.0,0.0,0.0,1.3878422,1.2844318,0.7578347,0.5319471,0.0,0.0,1.1475592,1.523577,1.0097585,0.0,1.1183128,0.6478233,0.86439335,0.0,1.4162936,0.0,0.0,0.9221051,0.0,0.0,0.0,0.0,1.355976,0.0,0.7627845,0.8582903,0.0,0.0,0.86919993,0.0,1.0803468,0.0
