,dpt
cell_0,0.34396046
cell_1,0.45756498
cell_2,0.47228992
cell_3,0.6259261
cell_4,0.6728665
cell_5,0.57008326
cell_6,0.8906424
cell_7,0.91915613
cell_8,0.39201906
cell_9,0.38549468
cell_10,0.7644849
cell_11,0.40189397
cell_12,0.7306158
cell_13,0.5242486
cell_14,0.45043072
cell_15,0.6652156
cell_16,0.34356245
cell_17,0.45914927
cell_18,0.39489353
cell_19,0.3879512
cell_20,0.16297682
cell_21,0.27618715
cell_22,0.6528823
cell_23,0.50525707
cell_24,1.0
cell_25,0.49020714
cell_26,0.934159
cell_27,0.3314565
cell_28,0.25489864
cell_29,0.39944133
cell_30,0.52665496
cell_31,0.39997265
cell_32,0.2485518
cell_33,0.2478604
cell_34,0.3058134
cell_35,0.74200106
cell_36,0.67364377
cell_37,0.5608273
cell_38,0.4966527
cell_39,0.8645831
cell_40,0.4665194
cell_41,0.47422272
cell_42,0.7801069
cell_43,0.5045907
cell_44,0.21601714
cell_45,0.652779
cell_46,0.74242395
cell_47,0.4267958
cell_48,0.99146247
cell_49,0.55637175
cell_50,0.42623773
cell_51,0.39274627
cell_52,0.59198076
cell_53,0.67710483
cell_54,0.35057902
cell_55,0.36108896
cell_56,0.6648201
cell_57,0.5769331
cell_58,0.38352206
cell_59,0.4245323
cell_60,0.45448092
cell_61,0.28731057
cell_62,0.48006266
cell_63,0.7824734
cell_64,0.6059559
cell_65,0.32623738
cell_66,0.425261
cell_67,0.20812808
cell_68,0.6527686
cell_69,0.43428832
cell_70,0.4743268
cell_71,0.0
cell_72,0.3535509
cell_73,0.5542692
cell_74,0.22944792
cell_75,0.32277742
cell_76,0.474305
cell_77,0.43337217
cell_78,0.5495363
cell_79,0.20736377
cell_80,0.40040103
cell_81,0.4912462
cell_82,0.9531218
cell_83,0.89902
cell_84,0.9297546
cell_85,0.4785971
cell_86,0.88085026
cell_87,0.3395958
cell_88,0.40109053
cell_89,0.47884437
cell_90,0.8680709
cell_91,0.29304332
cell_92,0.7855209
cell_93,0.9020649
cell_94,0.708147
cell_95,0.4526748
cell_96,0.34586787
cell_97,0.26764783
cell_98,0.49615985
cell_99,0.36198288
cell_100,0.56108695
cell_101,0.5172256
cell_102,0.78677857
cell_103,0.39762643
cell_104,0.3200784
cell_105,0.62490946
cell_106,0.38138393
cell_107,0.91050535
cell_108,0.2320889
cell_109,0.78351533
cell_110,0.93072665
cell_111,0.84332496
cell_112,0.59382665
cell_113,0.39488208
cell_114,0.50631464
cell_115,0.35487106
cell_116,0.6618547
cell_117,0.32115027
cell_118,0.34509262
cell_119,0.3487848
cell_120,0.6169541
cell_121,0.5508951
cell_122,0.40809295
cell_123,0.41727743
cell_124,0.46733552
cell_125,0.46182343
cell_126,0.18248671
cell_127,0.40715474
cell_128,0.53377557
cell_129,0.39451995
cell_130,0.28514123
cell_131,0.45358878
cell_132,0.46990246
cell_133,0.36441362
cell_134,0.7932634
cell_135,0.84173477
cell_136,0.5451354
cell_137,0.4050549
cell_138,0.5422267
cell_139,0.61126757
cell_140,0.6195383
cell_141,0.65340364
cell_142,0.3667308
cell_143,0.3827591
cell_144,0.521617
cell_145,0.24915424
cell_146,0.8460185
cell_147,0.3719601
cell_148,0.3403131
cell_149,0.45739213
cell_150,0.54117966
cell_151,0.47572207
cell_152,0.59073156
cell_153,0.1979933
cell_154,0.39994004
cell_155,0.49106255
cell_156,0.39291945
cell_157,0.5294328
cell_158,0.6142557
cell_159,0.9389695
cell_160,0.64230585
cell_161,0.48509964
cell_162,0.38834488
cell_163,0.4324838
cell_164,0.4761395
cell_165,0.48827645
cell_166,0.49534208
cell_167,0.18758439
cell_168,0.12309081
cell_169,0.8231641
cell_170,0.54892564
cell_171,0.89852434
cell_172,0.3202226
cell_173,0.8917616
cell_174,0.3431337
cell_175,0.49063647
cell_176,0.38525513
cell_177,0.32848272
cell_178,0.42320266
cell_179,0.47105616
cell_180,0.9140704
cell_181,0.3356077
cell_182,0.63408357
cell_183,0.55703175
cell_184,0.47388318
cell_185,0.52602535
cell_186,0.5163552
cell_187,0.43183044
cell_188,0.5391744
cell_189,0.8229471
cell_190,0.47349182
cell_191,0.89925444
cell_192,0.47295034
cell_193,0.44066605
cell_194,0.90398204
cell_195,0.76293796
cell_196,0.7800966
cell_197,0.6645837
cell_198,0.40914005
cell_199,0.12773404
cell_200,0.38170335
cell_201,0.8668065
cell_202,0.9375394
cell_203,0.6628136
cell_204,0.3583486
cell_205,0.25738347
cell_206,0.50254357
cell_207,0.45222428
cell_208,0.77634835
cell_209,0.44574314
cell_210,0.6250199
cell_211,0.43586406
cell_212,0.8042781
cell_213,0.6229831
cell_214,0.43441325
cell_215,0.5709891
cell_216,0.48570406
cell_217,0.46483347
cell_218,0.44105405
cell_219,0.9403909
cell_220,0.52943206
cell_221,0.5050132
cell_222,0.3716739
cell_223,0.39764604
cell_224,0.11292431
cell_225,0.4515022
cell_226,0.5407642
cell_227,0.4388577
cell_228,0.41057235
cell_229,0.31787175
cell_230,0.42634252
cell_231,0.38896427
cell_232,0.39897203
cell_233,0.35704756
cell_234,0.3499054
cell_235,0.5073851
cell_236,0.680932
cell_237,0.8530614
cell_238,0.46026984
