,A10,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8
PRPF4,3.333507,2.074525,6.143902,3.327326,3.531472,5.784234,2.078106,3.376529,5.463442,5.500414,1.549935,6.07335,4.545443,8.783757,6.487916,7.607209,3.485408,5.254257,2.754881,7.219054,3.697296,5.310823,3.124902,4.743781,4.889748,3.663296,6.235974,7.840925,4.366184,2.926092,6.367049,7.214629,2.775554,3.844897,5.169864,3.696338,5.448339,4.15074,4.575279,4.737486,5.434428,4.245896,5.063847,3.339212,4.181996,4.737686,6.720585,5.149256,8.24744,6.359516,4.808537,3.357814,5.210994,3.591978,6.074173,6.149456,4.491687,3.833063,5.49036,5.814539,3.16637,3.410664,6.005399,6.33197,1.522349,2.93834,2.757057,1.416287,3.431251
DDX11-AS1,0.808479,0.0,0.0,0.0,1.879016,0.692816,0.0,0.0,0.0,0.0,0.0,0.0,1.983051,0.0,0.0,0.0,0.0,0.874299,0.0,0.0,0.0,0.358153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101127,0.0,0.0,0.0,0.0,0.796441,0.0,0.790795,0.0,0.0,0.0,0.120088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.409168,0.0,0.0,0.0,10.731619,0.0,0.629772,2.461303,0.0,0.0,0.0,0.0,0.0
TARDBP,50.42975,70.85147,65.18331,32.832726,42.026234,56.69517,51.149403,61.878403,40.731575,65.04335,38.136696,74.10932,43.25668,52.623802,64.784966,39.349003,42.571224,107.14891,27.458582,64.213104,18.939291,56.74958,78.94258,32.907948,56.840115,51.23757,47.33885,56.619957,57.674755,38.766163,38.482243,79.08547,66.29654,43.19393,44.29663,28.623781,68.314255,30.42853,42.592804,29.264816,85.33085,37.9687,57.45265,72.57925,47.89236,37.374268,61.535122,40.835217,172.95544,45.38909,46.790077,87.78058,68.36064,29.356974,27.608889,36.25049,61.413475,47.474564,63.93048,93.90506,70.56983,33.662945,43.954624,35.27663,31.207392,87.058205,61.095272,75.32431,84.89206
TAF1C,4.963496,0.695524,1.338926,2.240709,1.071652,2.314064,3.179228,0.61969,1.896264,3.60201,0.945418,1.172157,3.464868,3.638769,0.855965,3.760939,2.07989,6.355714,0.440871,0.490735,1.231568,0.698202,3.866289,7.394791,33.387386,3.865107,6.297173,4.467693,4.470403,0.226277,1.013067,8.334425,3.045411,0.0,0.221153,0.711208,6.381779,2.109867,6.91202,0.376634,1.418149,2.63591,2.01228,2.392713,2.411747,8.937999,2.915311,0.648689,3.931517,2.133142,0.887687,5.00112,2.841395,0.163997,0.548228,0.642783,1.20941,3.905317,0.982516,1.828434,11.172448,2.990399,3.924111,3.327916,3.128137,0.315763,1.792924,0.166204,2.23016
ZSCAN2,0.0,0.0,0.364029,0.670654,9.575603,0.0,0.0,0.0,0.234953,0.0,0.361536,1.314413,0.0,0.0,0.292481,1.698633,0.307491,0.673209,0.079778,2.86611,0.34074,0.0,0.304979,0.273441,0.444874,0.427751,0.0,1.275846,0.227793,1.437499,1.415792,0.0,2.620059,0.519004,0.860179,0.298323,0.0,1.01986,0.382105,0.0,0.0,16.985622,0.0,0.234768,18.925308,1.954625,2.018964,0.0,0.340102,0.734789,1.397238,0.338503,0.0,0.178884,0.8084,0.0,0.356683,0.457532,0.067036,0.290932,0.195907,1.089531,0.0,1.817786,0.59955,0.0,0.458005,1.539754,0.744766
EMC10,1.516835,0.689194,0.489104,0.527467,1.1649,1.426143,0.12297,0.100965,1.690786,0.84931,0.226343,0.214132,1.242953,0.936057,1.271481,1.381049,0.077392,0.814563,8.087094,0.100089,0.081677,1.321611,3.967258,0.832206,0.03744,0.123568,13.603025,1.407603,1.749995,1.728851,0.531185,0.64588,1.229802,0.0,3.639884,0.0,0.574862,1.541193,1.295123,1.135678,0.55239,0.491024,18.769464,0.966362,0.182435,0.70763,0.784403,5.626837,0.581445,0.188538,1.443764,0.470745,1.043682,0.69489,0.301242,0.859036,0.041946,0.412299,0.859318,1.618494,0.467411,4.341816,1.089499,0.100158,0.723967,0.225997,0.230986,0.128015,0.938999
IFITM3,37.138794,25.504927,77.65791,26.729841,16.41895,59.355602,6.982154,37.87869,45.077934,29.083359,7.321868,8.923789,11.877567,20.55226,19.922503,31.669867,14.952897,1.873122,74.71876,34.122715,3.809261,12.295893,51.921303,25.318064,13.177023,15.493695,11.883992,9.231027,31.891872,10.101418,64.12869,9.181438,15.619461,8.828352,18.969048,12.112101,20.43099,33.28056,47.657677,3.214132,10.643645,3.877891,21.56226,0.964121,7.298625,14.719037,43.173443,13.308057,48.271282,39.71378,30.73077,18.211832,11.666219,42.09712,13.733399,13.666098,25.891499,10.183684,32.731537,3.647488,18.12655,15.222741,27.205463,5.292891,8.038119,20.078205,21.157667,0.0,27.03387
IL7R,0.0,0.983838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64939,0.0,11.913535,0.0,0.0,0.0,1.135144,0.0,0.0,0.0,0.0,0.137557,0.0,0.0,1.239627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.042812,0.0,0.0,0.0,0.0,0.0,0.0,1.481363,0.0,1.281148,0.0,1.173101,0.0,0.495529,0.0,0.0,0.0,3.022351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032454
IMPA2,0.0,0.0,0.0,1.559719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222259,1.004329,4.499503,0.231087,0.564871,0.0,0.845976,0.853314,0.0,0.0,0.0,0.87649,0.0,5.031315,1.297212,2.592962,0.552732,0.840338,2.397714,0.0,2.46389,0.0,0.0,0.0,3.70949,0.0,0.0,0.485075,2.122707,0.0,0.878491,0.0,0.0,1.757677,19.326283,1.341419,1.739549,1.201357,1.021688,0.0,0.451925,0.0,1.633863,0.0,5.931017,0.0,0.192262,0.750968,0.430587,0.0,0.0,0.0,0.219031
MS4A3,0.684291,4.787355,11.706786,13.570752,0.769972,113.22626,1.118773,3.604321,0.0,0.0,0.0,0.0,6.672177,0.678929,6.085773,25.011656,11.516487,0.0,6.171267,19.207767,4.322155,12.045432,4.72581,33.582455,5.7038,1.325405,0.0,15.369576,7.777441,0.571261,1.234285,0.0,14.455791,0.0,37.354927,8.827304,0.0,4.105954,27.445616,38.09086,37.969612,3.226187,36.055733,35.61448,60.15518,18.973473,42.067394,1.671636,0.0,6.192651,187.50117,0.0,39.72261,1.758471,2.827606,37.142628,2.376731,0.0,62.336193,0.0,31.70439,2.554619,0.0,0.40397,15.380308,0.0,23.606133,14.300118,96.86098
FABP5,16.5272,0.0,0.937963,8.793166,6.522557,32.881935,27.160566,19.023722,17.717968,5.796421,7.250543,22.435122,8.403272,4.3185,7.146702,34.699528,7.556838,42.66688,15.659177,7.472614,11.35625,23.171482,20.955227,17.601065,13.982309,40.988262,31.195791,2.292439,17.273102,14.163641,20.03393,38.907944,14.422653,13.21964,11.152553,8.679197,17.396355,12.675106,26.171032,15.936545,22.836834,30.445963,9.610754,24.500048,0.0,40.87021,0.702052,42.714172,17.44589,11.112755,14.273949,43.125355,11.832549,23.293312,3.433573,6.028928,22.42905,9.733448,13.193511,2.602662,51.243633,0.0,11.564993,8.225916,0.0,0.0,5.808082,15.069981,12.816343
LMBRD2,2.530608,0.482063,1.695127,6.114256,6.272906,24.405863,12.104423,1.141345,1.37161,0.577858,1.675355,1.810914,9.109537,1.078957,1.742197,1.90256,11.938795,1.437152,2.299065,1.874343,0.658864,4.338712,2.608647,0.900691,0.501071,0.634995,1.555285,7.588684,0.863455,1.033178,0.895556,5.684064,2.110312,5.66143,1.86561,2.253598,2.943745,0.722508,1.543032,5.896979,1.860055,0.676262,37.277103,12.010107,1.624294,4.61037,4.869995,0.799804,1.307447,1.679095,0.068101,0.43168,3.355055,1.648133,10.276783,3.102116,1.007637,0.969981,1.880265,0.472985,1.971056,4.505875,0.867777,0.332639,0.876086,0.33426,8.645825,1.828041,1.372711
KIFC3,1.127769,1.194181,1.214958,4.41912,5.964562,2.447615,3.030211,2.470625,6.253343,4.001884,3.036183,4.003657,0.320842,3.790387,2.03888,1.994456,2.632731,6.786254,3.929371,1.790664,2.282665,1.53705,2.610811,6.211539,7.773726,22.556349,3.625182,3.587516,0.594869,2.126271,6.527391,4.255349,3.241611,6.185647,8.889896,4.051062,0.550144,3.932489,7.774416,4.308725,0.429794,0.77524,2.256054,1.423141,3.370056,3.535465,3.145607,7.069872,5.379278,2.943286,4.488808,40.952255,3.815617,0.443336,0.859414,0.544721,3.832331,1.207993,3.793191,1.940084,1.909359,2.216335,0.871977,2.544968,2.291021,2.240329,5.476648,5.438506,0.511903
ILRUN-AS1,0.0,0.0,0.0,0.0,1.998732,0.0,0.0,0.0,0.0,2.249369,0.0,0.0,0.0,0.0,0.0,0.0,2.612467,0.0,0.0,1.418834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.156167,12.450806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.194882
LRRC74B,0.0,0.193801,0.089781,0.0,0.0961,0.242691,0.047573,0.0,0.0,0.0,0.0,0.0,0.0,0.842798,0.0,0.052925,0.0,0.0,0.0,0.225904,0.0,0.253116,0.854419,0.0,0.0,0.0,0.0,0.0,0.0,0.047032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219231,12.819555,0.077876,2.089263,0.0,2.187566,0.0,0.0,0.121518,0.0,0.356436,0.0,2.748204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142556,0.0,0.0,0.0,0.099756,0.106686
ZNF800,10.090493,4.762412,6.86663,10.483162,6.0949,9.015943,8.106862,9.35428,7.932895,9.559136,7.333463,4.812492,6.641761,27.15426,10.181806,13.099959,20.452991,9.610415,6.74848,8.849407,8.486421,17.75961,9.102759,10.704459,11.67638,4.385971,12.826941,4.784646,10.735549,11.778969,6.715377,13.107037,13.036986,10.258703,7.280469,8.544369,3.68676,8.416461,12.667362,11.853419,11.660309,17.647846,15.012004,24.309055,13.165061,13.858441,7.708274,12.34554,8.124692,13.143928,12.06648,8.844019,13.230251,6.568049,5.73916,12.535307,5.814032,18.891361,5.237055,9.535845,30.261759,2.543075,10.91802,12.012888,4.150835,6.211287,7.795765,18.770948,12.633748
