,dpt
A10,0.5761064
A2,0.41192514
A3,0.5403773
A4,0.5844924
A5,0.5245328
A6,0.78183335
A7,0.4641951
A8,0.23318087
A9,0.746448
B1,0.6429033
B2,0.90455437
B4,0.60281384
B5,0.5902534
B6,0.7096557
B7,0.50121355
B8,0.3954926
B9,0.56515265
C1,0.6880442
C2,0.7740173
C3,0.62913954
C4,0.4436188
C5,0.49740124
C6,0.7405729
C7,0.5791221
C8,0.5702445
C9,0.50982636
D1,0.44670078
D2,0.65216196
D3,0.5399745
D4,0.22016455
D5,0.4937078
D6,0.576789
D7,0.56233054
D8,0.5440467
E1,0.69330657
E2,0.47124127
E3,0.5609935
E4,0.568241
E5,0.46677646
E6,0.7813839
E7,0.5535015
E8,0.3145562
E9,0.7387351
F1,0.0
F2,0.54595685
F3,0.6237976
F4,0.9765121
F5,0.3198661
F6,0.77434784
F7,0.6698002
F8,0.6563011
F9,0.5921719
G1,0.521811
G2,0.3708683
G3,0.23323657
G4,0.13773796
G5,0.7175205
G6,0.5933083
G7,0.5119342
G8,0.50641185
G9,0.5202378
H1,1.0
H2,0.92232203
H3,0.5417657
H4,0.341587
H5,0.70370424
H6,0.6763431
H7,0.3144511
H8,0.7134202
