,UMI_200_Bc67_Bc01,UMI_200_Bc67_Bc02,UMI_200_Bc67_Bc03,UMI_200_Bc67_Bc04,UMI_200_Bc67_Bc05,UMI_200_Bc67_Bc06,UMI_200_Bc67_Bc07,UMI_200_Bc67_Bc08,UMI_200_Bc67_Bc09,UMI_200_Bc67_Bc10,UMI_200_Bc67_Bc11,UMI_200_Bc67_Bc12,UMI_200_Bc67_Bc13,UMI_200_Bc67_Bc14,UMI_200_Bc67_Bc15,UMI_200_Bc67_Bc16,UMI_200_Bc68_Bc01,UMI_200_Bc68_Bc02,UMI_200_Bc68_Bc03,UMI_200_Bc68_Bc04,UMI_200_Bc68_Bc05,UMI_200_Bc68_Bc06,UMI_200_Bc68_Bc07,UMI_200_Bc68_Bc08,UMI_200_Bc68_Bc09,UMI_200_Bc68_Bc10,UMI_200_Bc68_Bc11,UMI_200_Bc68_Bc12,UMI_200_Bc68_Bc13,UMI_200_Bc68_Bc14,UMI_200_Bc68_Bc15,UMI_200_Bc68_Bc16,UMI_200_Bc69_Bc01,UMI_200_Bc69_Bc02,UMI_200_Bc69_Bc03,UMI_200_Bc69_Bc04,UMI_200_Bc69_Bc05,UMI_200_Bc69_Bc06,UMI_200_Bc69_Bc07,UMI_200_Bc69_Bc08,UMI_200_Bc69_Bc09,UMI_200_Bc69_Bc10,UMI_200_Bc69_Bc11,UMI_200_Bc69_Bc12,UMI_200_Bc69_Bc13,UMI_200_Bc69_Bc14,UMI_200_Bc69_Bc15,UMI_200_Bc69_Bc16,UMI_200_Bc70_Bc01,UMI_200_Bc70_Bc02,UMI_200_Bc70_Bc03,UMI_200_Bc70_Bc04,UMI_200_Bc70_Bc05,UMI_200_Bc70_Bc06,UMI_200_Bc70_Bc07,UMI_200_Bc70_Bc08,UMI_200_Bc70_Bc09,UMI_200_Bc70_Bc10,UMI_200_Bc70_Bc11,UMI_200_Bc70_Bc12,UMI_200_Bc70_Bc13,UMI_200_Bc70_Bc14,UMI_200_Bc70_Bc15,UMI_200_Bc70_Bc16,UMI_200_Bc71_Bc01,UMI_200_Bc71_Bc02,UMI_200_Bc71_Bc03,UMI_200_Bc71_Bc04,UMI_200_Bc71_Bc05,UMI_200_Bc71_Bc06,UMI_200_Bc71_Bc07,UMI_200_Bc71_Bc08,UMI_200_Bc71_Bc09,UMI_200_Bc71_Bc10,UMI_200_Bc71_Bc11,UMI_200_Bc71_Bc12,UMI_200_Bc71_Bc13,UMI_200_Bc71_Bc14,UMI_200_Bc71_Bc15,UMI_200_Bc71_Bc16,UMI_200_Bc72_Bc01,UMI_200_Bc72_Bc02,UMI_200_Bc72_Bc03,UMI_200_Bc72_Bc04,UMI_200_Bc72_Bc05,UMI_200_Bc72_Bc06,UMI_200_Bc72_Bc07,UMI_200_Bc72_Bc08,UMI_200_Bc72_Bc09,UMI_200_Bc72_Bc10,UMI_200_Bc72_Bc11,UMI_200_Bc72_Bc12,UMI_200_Bc72_Bc13,UMI_200_Bc72_Bc14,UMI_200_Bc72_Bc15,UMI_200_Bc72_Bc16
PRPF4,2.001,1.031,2.059,1.0,0.0,2.0,1.0,6.002,0.0,6.0,2.003,2.0,13.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.072,2.0,2.0,1.001,1.0,0.0,0.0,13.002,0.0,5.007,4.0,5.0,3.25,4.082,1.344,0.0,1.045,8.005,0.0,3.02,4.0,2.0,1.003,7.004,1.0,3.0,0.0,4.0,7.101,0.0,4.0,0.0,1.141,3.002,4.0,6.0,11.0,1.0,1.0,6.112,0.0,6.0,0.0,4.002,2.0,0.0,5.028,0.0,5.0,1.0,2.0,5.284,3.0,4.0,4.343,13.025,0.0,0.0,6.0,2.006,0.0,1.0,2.022,0.0
TARDBP,5.015,3.083,14.545,5.094,11.166,12.02,2.306,6.002,7.0,5.0,14.694,1.024,12.1,3.002,13.026,3.0,2.0,1.0,4.0,2.148,2.012,11.0,5.001,2.0,0.0,1.161,1.0,0.0,4.0,2.0,0.0,0.0,9.072,6.836,7.061,14.0,19.311,2.0,18.003,2.094,7.53,10.125,12.0,9.0,6.0,10.689,4.001,1.0,2.493,4.083,4.002,2.005,15.003,8.015,7.744,6.862,3.003,14.647,14.719,0.0,10.0,16.013,6.073,10.056,15.195,11.037,7.126,5.108,15.0,2.693,24.033,6.102,0.0,2.088,10.0,1.0,8.043,5.0,10.009,1.0,7.535,0.0,8.071,2.014,12.01,5.004,7.898,12.002,6.167,8.528,9.0,12.0,3.016,3.296,0.0,2.537
GABRG2,5.152,0.0,21.791,2.563,1.828,0.0,0.0,11.647,2.301,0.0,10.445,0.0,3.588,15.363,2.961,3.61,0.0,1.369,0.0,0.0,5.145,6.386,0.0,0.0,0.0,0.0,0.0,0.0,3.41,4.57,0.0,0.0,1.596,0.0,3.614,2.817,0.0,3.776,8.171,0.0,4.1,4.844,0.0,0.0,2.796,10.054,0.0,0.0,1.0,10.45,1.0,0.0,5.548,0.0,0.0,14.088,0.0,6.829,0.0,11.412,5.7,3.25,4.437,12.79,3.27,0.0,0.0,1.127,0.0,0.0,4.227,3.484,2.001,1.895,0.0,0.0,6.077,5.834,12.896,0.0,4.68,0.0,0.0,0.0,12.922,0.0,1.351,2.025,0.0,7.761,0.0,0.0,0.0,4.096,0.0,0.0
MFSD13A,0.0,0.0,1.0,0.0,6.0,1.0,1.0,4.0,0.0,9.0,4.0,1.0,3.818,2.0,0.0,7.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.834,1.0,5.0,2.0,5.623,5.0,5.451,2.0,1.867,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.212,2.0,4.0,8.0,6.815,4.985,2.0,1.0,1.095,4.0,0.0,6.007,4.252,0.0,0.0,0.0,4.0,0.0,5.0,0.0,3.858,2.0,1.0,5.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,10.123,2.227,17.0,2.012,7.88,1.002,4.0,3.0,0.0,0.0,0.0,2.0
DNAL1,0.0,4.659,0.0,1.122,0.0,0.0,0.0,0.0,1.0,0.0,1.287,0.0,0.0,0.0,1.234,0.0,1.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.925,1.056,1.081,1.436,0.0,2.0,1.028,0.0,1.097,0.0,0.0,0.0,2.197,2.214,0.0,0.0,1.105,0.0,1.018,1.09,0.0,1.198,0.0,0.0,1.069,0.0,0.0,0.0,2.292,1.101,0.0,0.0,1.088,0.0,1.051,0.0,0.0,1.078,1.0,0.0,0.0,0.0,2.199,0.0,1.038,0.0,1.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A3,0.0,0.0,7.764,0.0,3.109,30.295,2.529,0.0,1.0,1.0,1.235,2.016,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,39.598,5.966,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.001,0.0,55.31,0.0,4.097,21.624,5.906,0.0,3.0,0.0,31.003,4.0,3.006,4.331,0.0,1.387,0.0,0.0,6.066,0.0,1.596,27.888,6.0,0.0,1.0,5.014,1.045,0.0,0.0,6.498,0.0,0.0,0.0,0.0,0.0,0.0,5.022,26.566,7.498,1.006,0.0,0.0,3.0,1.738,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.046,34.038,8.079,0.0,0.0,2.0,1.001,0.0,0.0,2.678,0.0,0.0
ULBP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.252,0.0,0.0,0.0,1.001,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,3.218,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.001,1.07,2.0,1.037,0.0
RNASE1,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.035,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,1.097,1.0,1.045,1.678,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.013,2.0,0.0,0.0,20.033,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
POTEE,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.798,0.0,0.0,0.0,7.003,3.001,0.0,2.889,0.0,3.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.024,0.0,4.501,1.0,0.0,0.0,0.0,4.296,0.0,0.0,3.505,0.0,0.0,0.0,0.0,0.0,0.0,1.875,1.009,0.0,0.0,0.0,0.0,3.0,7.0,0.0,2.358,0.0,0.0,0.0,2.517,0.0,0.0,0.0,0.0,1.855,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.279,0.0,0.0,1.009,0.0,3.84,0.0,0.0,1.0,0.0
FCER1G,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.18,0.0,0.0,2.905,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
