,Method,Reg_Type,EPR
0,PIDC,TF,1.0842356770362245
1,PIDC,RBP,1.1180475897225761
2,GRNBOOST2,TF,1.1375202056113607
3,GRNBOOST2,RBP,1.1773987530220529
4,SINCERITIES,TF,1.1899604556588654
5,SINCERITIES,RBP,1.4446741521661737
6,TENET,TF,1.242260872075231
7,TENET,RBP,1.1196516752171564
8,TENET_A,TF,1.8396934651903931
9,TENET_A,RBP,1.2262307303176332
10,TENET_B,TF,1.3319439664326758
11,TENET_B,RBP,1.2704081079420384
12,DeePSEM_CT,TF,1.1145945128888706
13,DeePSEM_CT,RBP,1.7356205051360514
14,ARACNe_FDR,TF,1.4151264808007553
15,ARACNe_FDR,RBP,1.0256752521296801
