,Method,Reg_Type,EPR
0,PIDC,TF,0.9150318784900903
1,PIDC,RBP,1.1218685132073078
2,GRNBOOST2,TF,1.025018041250345
3,GRNBOOST2,RBP,1.0893954323341601
4,SINCERITIES,TF,1.040389188997976
5,SINCERITIES,RBP,1.0740397738350551
6,TENET,TF,1.113923281087648
7,TENET,RBP,1.236739491681276
8,TENET_A,TF,0.8744694829199088
9,TENET_A,RBP,1.1724327980559655
10,TENET_B,TF,1.1545299491940235
11,TENET_B,RBP,1.0592578970448852
12,DeePSEM_CT,TF,1.1162176123671357
13,DeePSEM_CT,RBP,1.3833423408948162
14,ARACNe_FDR,TF,0.8820889738551787
15,ARACNe_FDR,RBP,1.461623448365503
