,Method,Reg_Type,EPR
0,PIDC,TF,0.5536653874161506
1,PIDC,RBP,0.6478173190984579
2,GRNBOOST2,TF,1.0935557280770056
3,GRNBOOST2,RBP,1.1647071462142349
4,SINCERITIES,TF,1.0273061348371642
5,SINCERITIES,RBP,0.9149555107373676
6,TENET,TF,1.0671300675823012
7,TENET,RBP,1.4120573236576701
8,TENET_A,TF,1.1741985752448798
9,TENET_A,RBP,2.065744002227225
10,TENET_B,TF,1.1574584733574782
11,TENET_B,RBP,1.3159990023204138
12,DeePSEM_CT,TF,1.0501914950809947
13,DeePSEM_CT,RBP,1.2005056583559615
14,ARACNe_FDR,TF,1.3777263282873258
15,ARACNe_FDR,RBP,1.081318088447941
