,Method,Reg_Type,EPR
0,PIDC,TF,1.0034219728223
1,PIDC,RBP,1.0238765732009036
2,GRNBOOST2,TF,1.1365038922462358
3,GRNBOOST2,RBP,1.0629345351213737
4,SINCERITIES,TF,0.7473376459469812
5,SINCERITIES,RBP,1.330561373884471
6,TENET,TF,1.1629191412670368
7,TENET,RBP,1.0266664276237942
8,TENET_A,TF,1.1036858263056664
9,TENET_A,RBP,0.624737173380511
10,TENET_B,TF,0.9940445933775711
11,TENET_B,RBP,0.9416199180586194
12,DeePSEM_CT,TF,1.1182600886029253
13,DeePSEM_CT,RBP,1.0653254812540633
14,ARACNe_FDR,TF,1.4513363901894247
15,ARACNe_FDR,RBP,1.2862148446014243
