,Method,Reg_Type,EPR
0,PIDC,TF,1.0121312958363768
1,PIDC,RBP,1.1846197276720833
2,GRNBOOST2,TF,1.0544485942553092
3,GRNBOOST2,RBP,1.0779567561765089
4,SINCERITIES,TF,0.9795996376917459
5,SINCERITIES,RBP,1.2212863848214763
6,TENET,TF,1.1389254170927683
7,TENET,RBP,1.3583010263905404
8,TENET_A,TF,0.9785945945945945
9,TENET_A,RBP,1.7789181087631276
10,TENET_B,TF,1.058074358622582
11,TENET_B,RBP,1.3791725303191917
12,DeePSEM_CT,TF,1.0706267591351
13,DeePSEM_CT,RBP,2.1581388056868906
14,ARACNe_FDR,TF,1.146504676675013
15,ARACNe_FDR,RBP,1.6661260220405263
