,Method,Reg_Type,EPR
0,PIDC,TF,1.0062125290342248
1,PIDC,RBP,1.0592151501710825
2,GRNBOOST2,TF,1.046956089518613
3,GRNBOOST2,RBP,1.068524658326883
4,SINCERITIES,TF,0.9663748563704065
5,SINCERITIES,RBP,1.095339529700137
6,TENET,TF,1.0287360989014778
7,TENET,RBP,1.1925651347915558
8,TENET_A,TF,1.0406152979139822
9,TENET_A,RBP,1.453650770678052
10,TENET_B,TF,1.0583149391554871
11,TENET_B,RBP,1.2317184498344258
12,DeePSEM_CT,TF,1.0939058409115823
13,DeePSEM_CT,RBP,1.2974542196310122
14,ARACNe_FDR,TF,1.1989918271041424
15,ARACNe_FDR,RBP,1.2235763584021095
