,Method,Reg_Type,EPR
0,PIDC,TF,0.7220976367086424
1,PIDC,RBP,0.776069641823066
2,GRNBOOST2,TF,1.0206652042847901
3,GRNBOOST2,RBP,0.9377029294056469
4,SINCERITIES,TF,1.0181876415214515
5,SINCERITIES,RBP,1.1890540050886547
6,TENET,TF,1.1293551951208731
7,TENET,RBP,1.1633741738269234
8,TENET_A,TF,1.3201426024955436
9,TENET_A,RBP,1.75154606661456
10,TENET_B,TF,1.1962078635739182
11,TENET_B,RBP,1.284532827243722
12,DeePSEM_CT,TF,1.0997303865290926
13,DeePSEM_CT,RBP,1.3483697383892836
14,ARACNe_FDR,TF,1.2138071306897633
15,ARACNe_FDR,RBP,1.1710336559651626
