"","X","Method","Reg_Type","EPR","Dataset"
"1",0,"PIDC","TF",0.521845830006533,"HepG2_Smartseq2"
"2",1,"PIDC","RBP",0.615582766439909,"HepG2_Smartseq2"
"3",2,"GRNBOOST2","TF",1.07392440301784,"HepG2_Smartseq2"
"4",3,"GRNBOOST2","RBP",1.19295878999748,"HepG2_Smartseq2"
"5",4,"SINCERITIES","TF",1.03004101386927,"HepG2_Smartseq2"
"6",5,"SINCERITIES","RBP",0.85096836419753,"HepG2_Smartseq2"
"7",6,"TENET","TF",1.06827884203221,"HepG2_Smartseq2"
"8",7,"TENET","RBP",1.29849489795918,"HepG2_Smartseq2"
"9",8,"TENET_A","TF",0.756060100166945,"HepG2_Smartseq2"
"10",9,"TENET_A","RBP",0,"HepG2_Smartseq2"
"11",10,"TENET_B","TF",1.16859289291677,"HepG2_Smartseq2"
"12",11,"TENET_B","RBP",1.28559622487242,"HepG2_Smartseq2"
"13",12,"DeePSEM_CT","TF",1.10833768695979,"HepG2_Smartseq2"
"14",13,"DeePSEM_CT","RBP",1.25403103436384,"HepG2_Smartseq2"
"15",14,"ARACNe_FDR","TF",1.31064555933569,"HepG2_Smartseq2"
"16",15,"ARACNe_FDR","RBP",1.08286397249305,"HepG2_Smartseq2"
"17",0,"PIDC","TF",1.08423567703622,"HepG2_10x"
"18",1,"PIDC","RBP",1.11804758972258,"HepG2_10x"
"19",2,"GRNBOOST2","TF",1.13752020561136,"HepG2_10x"
"20",3,"GRNBOOST2","RBP",1.17739875302205,"HepG2_10x"
"21",4,"SINCERITIES","TF",1.18996045565887,"HepG2_10x"
"22",5,"SINCERITIES","RBP",1.44467415216617,"HepG2_10x"
"23",6,"TENET","TF",1.24226087207523,"HepG2_10x"
"24",7,"TENET","RBP",1.11965167521716,"HepG2_10x"
"25",8,"TENET_A","TF",1.83969346519039,"HepG2_10x"
"26",9,"TENET_A","RBP",1.22623073031763,"HepG2_10x"
"27",10,"TENET_B","TF",1.33194396643268,"HepG2_10x"
"28",11,"TENET_B","RBP",1.27040810794204,"HepG2_10x"
"29",12,"DeePSEM_CT","TF",1.11459451288887,"HepG2_10x"
"30",13,"DeePSEM_CT","RBP",1.73562050513605,"HepG2_10x"
"31",14,"ARACNe_FDR","TF",1.41512648080076,"HepG2_10x"
"32",15,"ARACNe_FDR","RBP",1.02567525212968,"HepG2_10x"
"33",0,"PIDC","TF",0.91503187849009,"HepG2_SCANseq2_9CL"
"34",1,"PIDC","RBP",1.12186851320731,"HepG2_SCANseq2_9CL"
"35",2,"GRNBOOST2","TF",1.02501804125034,"HepG2_SCANseq2_9CL"
"36",3,"GRNBOOST2","RBP",1.08939543233416,"HepG2_SCANseq2_9CL"
"37",4,"SINCERITIES","TF",1.04038918899798,"HepG2_SCANseq2_9CL"
"38",5,"SINCERITIES","RBP",1.07403977383506,"HepG2_SCANseq2_9CL"
"39",6,"TENET","TF",1.11392328108765,"HepG2_SCANseq2_9CL"
"40",7,"TENET","RBP",1.23673949168128,"HepG2_SCANseq2_9CL"
"41",8,"TENET_A","TF",0.874469482919909,"HepG2_SCANseq2_9CL"
"42",9,"TENET_A","RBP",1.17243279805597,"HepG2_SCANseq2_9CL"
"43",10,"TENET_B","TF",1.15452994919402,"HepG2_SCANseq2_9CL"
"44",11,"TENET_B","RBP",1.05925789704489,"HepG2_SCANseq2_9CL"
"45",12,"DeePSEM_CT","TF",1.11621761236714,"HepG2_SCANseq2_9CL"
"46",13,"DeePSEM_CT","RBP",1.38334234089482,"HepG2_SCANseq2_9CL"
"47",14,"ARACNe_FDR","TF",0.882088973855179,"HepG2_SCANseq2_9CL"
"48",15,"ARACNe_FDR","RBP",1.4616234483655,"HepG2_SCANseq2_9CL"
"49",0,"PIDC","TF",1.01213129583638,"K562_CELseq"
"50",1,"PIDC","RBP",1.18461972767208,"K562_CELseq"
"51",2,"GRNBOOST2","TF",1.05444859425531,"K562_CELseq"
"52",3,"GRNBOOST2","RBP",1.07795675617651,"K562_CELseq"
"53",4,"SINCERITIES","TF",0.979599637691746,"K562_CELseq"
"54",5,"SINCERITIES","RBP",1.22128638482148,"K562_CELseq"
"55",6,"TENET","TF",1.13892541709277,"K562_CELseq"
"56",7,"TENET","RBP",1.35830102639054,"K562_CELseq"
"57",8,"TENET_A","TF",0.978594594594595,"K562_CELseq"
"58",9,"TENET_A","RBP",1.77891810876313,"K562_CELseq"
"59",10,"TENET_B","TF",1.05807435862258,"K562_CELseq"
"60",11,"TENET_B","RBP",1.37917253031919,"K562_CELseq"
"61",12,"DeePSEM_CT","TF",1.0706267591351,"K562_CELseq"
"62",13,"DeePSEM_CT","RBP",2.15813880568689,"K562_CELseq"
"63",14,"ARACNe_FDR","TF",1.14650467667501,"K562_CELseq"
"64",15,"ARACNe_FDR","RBP",1.66612602204053,"K562_CELseq"
"65",0,"PIDC","TF",0.872353242123677,"K562_STORMseq"
"66",1,"PIDC","RBP",1.04353747622496,"K562_STORMseq"
"67",2,"GRNBOOST2","TF",1.07089535851671,"K562_STORMseq"
"68",3,"GRNBOOST2","RBP",1.2100101153972,"K562_STORMseq"
"69",4,"SINCERITIES","TF",1.07996075382033,"K562_STORMseq"
"70",5,"SINCERITIES","RBP",1.08624896304973,"K562_STORMseq"
"71",6,"TENET","TF",1.11795986220157,"K562_STORMseq"
"72",7,"TENET","RBP",1.53143296429962,"K562_STORMseq"
"73",8,"TENET_A","TF",0,"K562_STORMseq"
"74",9,"TENET_A","RBP",0,"K562_STORMseq"
"75",10,"TENET_B","TF",1.07658075093944,"K562_STORMseq"
"76",11,"TENET_B","RBP",1.41905806196351,"K562_STORMseq"
"77",12,"DeePSEM_CT","TF",1.16945524352859,"K562_STORMseq"
"78",13,"DeePSEM_CT","RBP",1.28098612591385,"K562_STORMseq"
"79",14,"ARACNe_FDR","TF",1.21031199037043,"K562_STORMseq"
"80",15,"ARACNe_FDR","RBP",1.4110078259701,"K562_STORMseq"
"81",0,"PIDC","TF",1.02248151582109,"K562_Smartseq3"
"82",1,"PIDC","RBP",1.07207075106617,"K562_Smartseq3"
"83",2,"GRNBOOST2","TF",1.04766917105522,"K562_Smartseq3"
"84",3,"GRNBOOST2","RBP",1.07738790296235,"K562_Smartseq3"
"85",4,"SINCERITIES","TF",0.997177955158138,"K562_Smartseq3"
"86",5,"SINCERITIES","RBP",1.12923013395005,"K562_Smartseq3"
"87",6,"TENET","TF",1.00833328835363,"K562_Smartseq3"
"88",7,"TENET","RBP",1.27877503102995,"K562_Smartseq3"
"89",8,"TENET_A","TF",0.947179339977216,"K562_Smartseq3"
"90",9,"TENET_A","RBP",1.8349806617963,"K562_Smartseq3"
"91",10,"TENET_B","TF",1.05008023650094,"K562_Smartseq3"
"92",11,"TENET_B","RBP",1.37477916248866,"K562_Smartseq3"
"93",12,"DeePSEM_CT","TF",1.11261812411557,"K562_Smartseq3"
"94",13,"DeePSEM_CT","RBP",1.35277915226303,"K562_Smartseq3"
"95",14,"ARACNe_FDR","TF",1.27935511772219,"K562_Smartseq3"
"96",15,"ARACNe_FDR","RBP",1.22427702259516,"K562_Smartseq3"
"97",0,"PIDC","TF",1.01929481689868,"K562_SCANseq2_9CL"
"98",1,"PIDC","RBP",1.03829061373206,"K562_SCANseq2_9CL"
"99",2,"GRNBOOST2","TF",1.10941712903918,"K562_SCANseq2_9CL"
"100",3,"GRNBOOST2","RBP",1.09116983287602,"K562_SCANseq2_9CL"
"101",4,"SINCERITIES","TF",0.745215945312984,"K562_SCANseq2_9CL"
