,dpt
9CL_Bc65_Bc01,0.664079
9CL_Bc65_Bc03,0.75347954
9CL_Bc65_Bc04,0.6634017
9CL_Bc65_Bc05,0.43821165
9CL_Bc65_Bc06,0.7595856
9CL_Bc65_Bc07,0.23378292
9CL_Bc65_Bc08,0.7780108
9CL_Bc65_Bc09,0.7808978
9CL_Bc65_Bc10,0.7000518
9CL_Bc65_Bc11,0.4671747
9CL_Bc65_Bc12,0.5281581
9CL_Bc65_Bc15,0.7815589
9CL_Bc65_Bc16,0.70557344
9CL_Bc65_Bc17,0.813959
9CL_Bc65_Bc18,0.25663483
9CL_Bc65_Bc19,0.3325568
9CL_Bc65_Bc20,0.76349276
9CL_Bc65_Bc22,0.54492646
9CL_Bc65_Bc23,0.6524385
9CL_Bc65_Bc24,0.36099073
9CL_Bc65_Bc25,0.7934052
9CL_Bc65_Bc26,0.785238
9CL_Bc65_Bc27,0.8372279
9CL_Bc65_Bc28,0.62033087
9CL_Bc65_Bc29,0.7892159
9CL_Bc65_Bc30,0.75034434
9CL_Bc65_Bc31,0.8446133
9CL_Bc65_Bc32,0.71272194
9CL_Bc66_Bc01,0.93776286
9CL_Bc66_Bc04,0.5275177
9CL_Bc66_Bc05,0.7586872
9CL_Bc66_Bc06,0.8772305
9CL_Bc66_Bc07,0.0
9CL_Bc66_Bc08,0.760966
9CL_Bc66_Bc09,0.58124405
9CL_Bc66_Bc10,0.9943504
9CL_Bc66_Bc11,0.43811807
9CL_Bc66_Bc12,0.8056943
9CL_Bc66_Bc13,0.41624615
9CL_Bc66_Bc14,0.68408537
9CL_Bc66_Bc15,0.06583289
9CL_Bc66_Bc16,0.29432446
9CL_Bc66_Bc17,0.6164097
9CL_Bc66_Bc18,0.6980664
9CL_Bc66_Bc20,0.23934464
9CL_Bc66_Bc22,0.9526642
9CL_Bc66_Bc23,0.975633
9CL_Bc66_Bc25,0.77272725
9CL_Bc66_Bc26,0.9204845
9CL_Bc66_Bc27,0.08859495
9CL_Bc66_Bc28,0.7074245
9CL_Bc66_Bc29,0.79252785
9CL_Bc66_Bc30,1.0
9CL_Bc66_Bc31,0.7447643
9CL_Bc66_Bc32,0.75233436
9CL_Bc67_Bc01,0.7827976
9CL_Bc67_Bc02,0.7274422
9CL_Bc67_Bc03,0.8215497
9CL_Bc67_Bc04,0.3477961
9CL_Bc67_Bc05,0.46413007
9CL_Bc67_Bc06,0.26208222
9CL_Bc67_Bc07,0.73704225
9CL_Bc67_Bc08,0.26474532
9CL_Bc67_Bc09,0.66170865
9CL_Bc67_Bc10,0.7760622
9CL_Bc67_Bc12,0.79481846
9CL_Bc67_Bc13,0.6833331
9CL_Bc67_Bc14,0.7467337
9CL_Bc67_Bc17,0.490236
9CL_Bc67_Bc18,0.78574836
9CL_Bc67_Bc19,0.79240173
9CL_Bc67_Bc24,0.025958747
9CL_Bc67_Bc25,0.64175725
9CL_Bc67_Bc26,0.7778983
9CL_Bc67_Bc27,0.719781
9CL_Bc67_Bc28,0.70554566
9CL_Bc67_Bc29,0.7739935
9CL_Bc67_Bc30,0.8231337
9CL_Bc67_Bc31,0.39338326
9CL_Bc67_Bc32,0.59465396
