,dpt
live_1,0.82802397
live_2,0.70639515
live_3,0.802016
live_4,0.79939884
live_5,0.26472533
live_6,1.0
live_7,0.94965446
live_8,0.9247731
live_9,0.0
live_10,0.87032753
live_11,0.06453222
live_12,0.73290825
live_13,0.8974102
live_14,0.6936173
live_15,0.06460472
live_16,0.89634466
live_17,0.6262915
live_18,0.7328312
live_19,0.75206304
live_20,0.7179389
live_21,0.24804987
live_22,0.97822344
live_23,0.7263408
live_24,0.6017388
live_25,0.9279596
live_26,0.8238098
live_27,0.38792187
live_28,0.6336626
live_29,0.891346
live_30,0.98242944
live_31,0.81799793
live_32,0.90871495
live_33,0.6071511
live_34,0.9384961
live_35,0.84431607
live_36,0.939763
live_37,0.87815267
live_38,0.8654709
live_39,0.7605973
live_40,0.9807816
live_41,0.7772802
live_42,0.94553506
live_43,0.65279067
live_44,0.68297166
live_45,0.8198717
live_46,0.64680505
live_47,0.778849
live_48,0.8622763
live_49,0.8120225
live_50,0.88852686
live_51,0.8796749
live_52,0.9116568
live_53,0.8079499
live_54,0.5758701
live_55,0.99296993
live_56,0.8577511
live_57,0.06658525
live_58,0.9455412
live_59,0.7383102
live_60,0.05007267
live_61,0.7834135
live_62,0.79614735
live_63,0.8010733
live_64,0.8978889
live_65,0.59584635
live_67,0.71402895
live_68,0.7761611
live_69,0.92089134
