,dpt
UMI_200_Bc67_Bc01,0.33291122
UMI_200_Bc67_Bc02,0.03585865
UMI_200_Bc67_Bc03,0.42622045
UMI_200_Bc67_Bc04,0.39824408
UMI_200_Bc67_Bc05,0.4522572
UMI_200_Bc67_Bc06,0.3395944
UMI_200_Bc67_Bc07,0.35584712
UMI_200_Bc67_Bc08,0.4209325
UMI_200_Bc67_Bc09,0.5241258
UMI_200_Bc67_Bc10,0.48301378
UMI_200_Bc67_Bc11,0.42613277
UMI_200_Bc67_Bc12,0.50202435
UMI_200_Bc67_Bc13,0.39658967
UMI_200_Bc67_Bc14,0.4867836
UMI_200_Bc67_Bc15,0.47721693
UMI_200_Bc67_Bc16,0.94582903
UMI_200_Bc68_Bc01,0.44215804
UMI_200_Bc68_Bc02,0.05881054
UMI_200_Bc68_Bc03,0.49263448
UMI_200_Bc68_Bc04,0.3657869
UMI_200_Bc68_Bc05,0.4592467
UMI_200_Bc68_Bc06,0.3885448
UMI_200_Bc68_Bc07,0.40921605
UMI_200_Bc68_Bc08,0.42607003
UMI_200_Bc68_Bc09,0.5084569
UMI_200_Bc68_Bc10,0.51035357
UMI_200_Bc68_Bc11,0.4885504
UMI_200_Bc68_Bc12,0.4921756
UMI_200_Bc68_Bc13,0.4289715
UMI_200_Bc68_Bc14,0.48502252
UMI_200_Bc68_Bc15,0.48915142
UMI_200_Bc68_Bc16,0.93551487
UMI_200_Bc69_Bc01,0.34886757
UMI_200_Bc69_Bc02,0.061015837
UMI_200_Bc69_Bc03,0.43949807
UMI_200_Bc69_Bc04,0.38145483
UMI_200_Bc69_Bc05,0.44987926
UMI_200_Bc69_Bc06,0.25587744
UMI_200_Bc69_Bc07,0.40699407
UMI_200_Bc69_Bc08,0.43402424
UMI_200_Bc69_Bc09,0.49402133
UMI_200_Bc69_Bc10,0.42427367
UMI_200_Bc69_Bc11,0.43110642
UMI_200_Bc69_Bc12,0.4696502
UMI_200_Bc69_Bc13,0.410305
UMI_200_Bc69_Bc14,0.48765028
UMI_200_Bc69_Bc15,0.46090475
UMI_200_Bc69_Bc16,0.9895339
UMI_200_Bc70_Bc01,0.3895538
UMI_200_Bc70_Bc02,0.04435655
UMI_200_Bc70_Bc03,0.3916558
UMI_200_Bc70_Bc04,0.3814386
UMI_200_Bc70_Bc05,0.44093183
UMI_200_Bc70_Bc06,0.3744527
UMI_200_Bc70_Bc07,0.3974674
UMI_200_Bc70_Bc08,0.4084606
UMI_200_Bc70_Bc09,0.46743655
UMI_200_Bc70_Bc10,0.45049363
UMI_200_Bc70_Bc11,0.39382443
UMI_200_Bc70_Bc12,0.453
UMI_200_Bc70_Bc13,0.4195922
UMI_200_Bc70_Bc14,0.4662528
UMI_200_Bc70_Bc15,0.4567567
UMI_200_Bc70_Bc16,0.94973
UMI_200_Bc71_Bc01,0.42904738
UMI_200_Bc71_Bc02,0.06445231
UMI_200_Bc71_Bc03,0.43120974
UMI_200_Bc71_Bc04,0.3818425
UMI_200_Bc71_Bc05,0.45241284
UMI_200_Bc71_Bc06,0.36680326
UMI_200_Bc71_Bc07,0.40575358
UMI_200_Bc71_Bc08,0.4023072
UMI_200_Bc71_Bc09,0.54339737
UMI_200_Bc71_Bc10,0.47346944
UMI_200_Bc71_Bc11,0.39530334
UMI_200_Bc71_Bc12,0.48581576
UMI_200_Bc71_Bc13,0.41302672
UMI_200_Bc71_Bc14,0.5027355
UMI_200_Bc71_Bc15,0.4764119
UMI_200_Bc71_Bc16,1.0
UMI_200_Bc72_Bc01,0.39271334
UMI_200_Bc72_Bc02,0.0
UMI_200_Bc72_Bc03,0.43863004
UMI_200_Bc72_Bc04,0.3700328
UMI_200_Bc72_Bc05,0.46820349
UMI_200_Bc72_Bc06,0.3873607
UMI_200_Bc72_Bc07,0.37429973
UMI_200_Bc72_Bc08,0.41750327
UMI_200_Bc72_Bc09,0.53062844
UMI_200_Bc72_Bc10,0.47611004
UMI_200_Bc72_Bc11,0.39717913
UMI_200_Bc72_Bc12,0.46882758
UMI_200_Bc72_Bc13,0.4268628
UMI_200_Bc72_Bc14,0.5148633
UMI_200_Bc72_Bc15,0.49554515
UMI_200_Bc72_Bc16,0.98112416
