Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
AT5G16970	AER	AER	831560	protein_coding
AT4G32100	AT4G32100	AT4G32100	829341	protein_coding
AT2G43120	AT2G43120	AT2G43120	818914	protein_coding
AT1G30814	AT1G30814	AT1G30814	3766853	protein_coding
AT3G18710	PUB29	PUB29	821402	protein_coding
AT4G25880	PUM6	PUM6	828694	protein_coding
AT1G78930	AT1G78930	AT1G78930	844232	protein_coding
AT3G07950	AT3G07950	AT3G07950	819986	protein_coding
AT4G03450	AT4G03450	AT4G03450	827913	protein_coding
AT1G71695	AT1G71695	AT1G71695	843498	protein_coding
AT1G58983	AT1G58983	AT1G58983	842229	protein_coding
AT1G12980	ESR1	ESR1	837856	protein_coding
AT5G41480	GLA1	GLA1	834149	protein_coding
AT5G15008	AT5G15008	AT5G15008	6240278	protein_coding
AT3G51870	AT3G51870	AT3G51870	824350	protein_coding
AT4G29950	AT4G29950	AT4G29950	829118	protein_coding
AT3G18310	AT3G18310	AT3G18310	821360	protein_coding
AT5G07360	AT5G07360	AT5G07360	830627	protein_coding
AT4G08535	AT4G08535	AT4G08535	28719998	protein_coding
AT4G26490	AT4G26490	AT4G26490	828755	protein_coding
AT5G46240	KAT1	KAT1	834666	protein_coding
AT5G62260	AT5G62260	AT5G62260	836347	protein_coding
AT4G16955	AT4G16955	AT4G16955	28720139	protein_coding
AT3G25717	RTFL16	RTFL16	822160	protein_coding
AT1G45223	AT1G45223	AT1G45223	5007780	protein_coding
AT5G35715	CYP71B8	CYP71B8	833546	protein_coding
AT5G41908	AT5G41908	AT5G41908	28721241	protein_coding
AT2G21390	AT2G21390	AT2G21390	816678	protein_coding
AT3G48330	PIMT1	PIMT1	823991	protein_coding
AT4G32710	PERK14	PERK14	3770575	protein_coding
AT3G46440	UXS5	UXS5	823794	protein_coding
AT2G21930	AT2G21930	AT2G21930	816729	protein_coding
AT3G53910	AT3G53910	AT3G53910	824558	protein_coding
AT4G25090	AT4G25090	AT4G25090	828612	protein_coding
AT2G18870	VEL3	VEL3	816402	protein_coding
AT1G56250	PP2-B14	PP2-B14	842078	protein_coding
AT3G16830	TPR2	TPR2	820936	protein_coding
AT5G20470	HDK	HDK	832169	protein_coding
AT5G04950	NAS1	NAS1	830377	protein_coding
AT4G13720	AT4G13720	AT4G13720	827006	protein_coding
AT5G50110	AT5G50110	AT5G50110	835075	protein_coding
AT3G03305	AT3G03305	AT3G03305	821291	protein_coding
AT5G66670	AT5G66670	AT5G66670	836799	protein_coding
AT4G08039	AT4G08039	AT4G08039	3770167	protein_coding
AT2G38310	PYL4	PYL4	818411	protein_coding
AT2G26900	BASS2	BASS2	817231	protein_coding
AT5G23000	MYB37	MYB37	832364	protein_coding
AT1G66852	AT1G66852	AT1G66852	6240329	protein_coding
AT1G69810	WRKY36	WRKY36	843317	protein_coding
AT1G72450	JAZ6	JAZ6	843577	protein_coding
AT5G03560	AT5G03560	AT5G03560	831789	protein_coding
AT4G27340	AT4G27340	AT4G27340	828842	protein_coding
AT1G76280	AT1G76280	AT1G76280	843961	protein_coding
AT3G03272	AT3G03272	AT3G03272	5007980	protein_coding
AT3G28960	AT3G28960	AT3G28960	822536	protein_coding
AT1G65630	DEG3	DEG3	842874	protein_coding
AT3G10210	AT3G10210	AT3G10210	820183	protein_coding
AT4G27830	BGLU10	BGLU10	828896	protein_coding
AT1G71390	RLP11	RLP11	843480	protein_coding
AT5G46260	AT5G46260	AT5G46260	834668	protein_coding
AT2G32710	AT2G32710	AT2G32710	817831	protein_coding
AT5G27680	RECQSIM	RECQSIM	832830	protein_coding
AT4G19380	AT4G19380	AT4G19380	827679	protein_coding
AT5G61960	ML1	ML1	836317	protein_coding
AT4G29180	RHS16	RHS16	829039	protein_coding
AT3G09680	AT3G09680	AT3G09680	820125	protein_coding
AT1G56233	AT1G56233	AT1G56233	3767465	protein_coding
AT1G15210	ABCG35	ABCG35	838087	protein_coding
AT3G63470	scpl40	scpl40	825522	protein_coding
AT2G16970	MEE15	MEE15	816200	protein_coding
AT1G15250	AT1G15250	AT1G15250	838092	protein_coding
AT1G79700	WRI4	WRI4	844309	protein_coding
AT2G46620	AT2G46620	AT2G46620	819274	protein_coding
AT3G46920	AT3G46920	AT3G46920	823845	protein_coding
AT2G43750	OASB	OASB	818978	protein_coding
AT1G62895	AT1G62895	AT1G62895	28717389	protein_coding
AT2G24490	RPA2	RPA2	816985	protein_coding
AT3G57080	NRPE5	NRPE5	824875	protein_coding
AT3G13820	AT3G13820	AT3G13820	820594	protein_coding
AT2G15080	RLP19	RLP19	815997	protein_coding
AT1G73360	HDG11	HDG11	843671	protein_coding
AT1G16360	AT1G16360	AT1G16360	838205	protein_coding
AT1G10225	AT1G10225	AT1G10225	837561	protein_coding
AT3G49770	AT3G49770	AT3G49770	824139	protein_coding
AT4G31660	AT4G31660	AT4G31660	829294	protein_coding
AT1G26670	VTI1B	VTI1B	839208	protein_coding
AT1G34855	AT1G34855	AT1G34855	28717304	protein_coding
AT1G52200	AT1G52200	AT1G52200	841650	protein_coding
AT1G57800	VIM5	VIM5	842155	protein_coding
AT4G23200	CRK12	CRK12	828419	protein_coding
AT1G69460	AT1G69460	AT1G69460	843278	protein_coding
AT1G04310	ERS2	ERS2	839549	protein_coding
AT1G08080	ACA7	ACA7	837326	protein_coding
AT2G37678	FHY1	FHY1	5007942	protein_coding
AT3G56070	ROC2	ROC2	824773	protein_coding
AT5G15420	AT5G15420	AT5G15420	831394	protein_coding
AT5G06020	AT5G06020	AT5G06020	830489	protein_coding
AT3G15251	AT3G15251	AT3G15251	6240708	protein_coding
AT1G75550	AT1G75550	AT1G75550	843891	protein_coding
AT1G71890	SUC5	SUC5	843520	protein_coding
AT1G05430	AT1G05430	AT1G05430	837044	protein_coding
AT4G29810	MKK2	MKK2	829103	protein_coding
AT3G02780	IPP2	IPP2	820960	protein_coding
AT4G26560	CBL7	CBL7	828763	protein_coding
AT1G80870	AT1G80870	AT1G80870	844427	protein_coding
AT4G23670	AT4G23670	AT4G23670	828467	protein_coding
AT2G46225	ABIL1	ABIL1	819230	protein_coding
AT5G18730	AT5G18730	AT5G18730	831991	protein_coding
AT5G67570	DG1	DG1	836893	protein_coding
AT1G75310	AUL1	AUL1	843868	protein_coding
AT5G29054	AT5G29054	AT5G29054	6241292	protein_coding
AT2G27700	AT2G27700	AT2G27700	817316	protein_coding
AT1G02010	SEC1A	SEC1A	839288	protein_coding
AT1G47900	AT1G47900	AT1G47900	841207	protein_coding
AT5G57625	AT5G57625	AT5G57625	835867	protein_coding
AT4G02725	AT4G02725	AT4G02725	2745608	protein_coding
AT1G14315	AT1G14315	AT1G14315	6241224	protein_coding
AT5G66440	AT5G66440	AT5G66440	836776	protein_coding
AT4G35440	CLC-E	CLC-E	829696	protein_coding
AT3G52460	AT3G52460	AT3G52460	824411	protein_coding
AT4G26240	AT4G26240	AT4G26240	828730	protein_coding
AT3G55380	UBC14	UBC14	824704	protein_coding
AT2G16953	AT2G16953	AT2G16953	28718281	protein_coding
AT2G22320	AT2G22320	AT2G22320	816764	protein_coding
AT1G26760	SDG35	SDG35	839217	protein_coding
AT1G05250	AT1G05250	AT1G05250	838206	protein_coding
AT3G44560	FAR8	FAR8	823581	protein_coding
AT1G67260	TCP1	TCP1	3767658	protein_coding
AT4G31950	CYP82C3	CYP82C3	829325	protein_coding
AT5G51680	AT5G51680	AT5G51680	835242	protein_coding
AT4G10925	AT4G10925	AT4G10925	826691	protein_coding
AT3G56520	AT3G56520	AT3G56520	824819	protein_coding
AT1G24575	AT1G24575	AT1G24575	839072	protein_coding
AT4G31690	AT4G31690	AT4G31690	829297	protein_coding
AT1G12790	AT1G12790	AT1G12790	837835	protein_coding
AT4G34640	SQS1	SQS1	829616	protein_coding
AT4G03340	AT4G03340	AT4G03340	827969	protein_coding
AT2G37260	TTG2	TTG2	818303	protein_coding
AT5G54610	ANK	ANK	835550	protein_coding
AT3G27970	AT3G27970	AT3G27970	822421	protein_coding
AT4G13550	AT4G13550	AT4G13550	826988	protein_coding
AT1G04850	AT1G04850	AT1G04850	839399	protein_coding
AT5G20560	AT5G20560	AT5G20560	832178	protein_coding
AT3G17420	GPK1	GPK1	821006	protein_coding
AT3G08780	AT3G08780	AT3G08780	820025	protein_coding
AT1G31760	AT1G31760	AT1G31760	840063	protein_coding
AT5G65470	AT5G65470	AT5G65470	836672	protein_coding
AT1G33250	AT1G33250	AT1G33250	840219	protein_coding
AT1G74000	SS3	SS3	843738	protein_coding
AT3G55660	ROPGEF6	ROPGEF6	824732	protein_coding
AT4G15562	AT4G15562	AT4G15562	28720132	protein_coding
AT3G48480	AT3G48480	AT3G48480	824007	protein_coding
AT5G66420	AT5G66420	AT5G66420	836774	protein_coding
AT3G02740	AT3G02740	AT3G02740	821256	protein_coding
AT1G55580	LAS	LAS	842007	protein_coding
AT1G53903	AT1G53903	AT1G53885	841826	protein_coding
AT3G63400	AT3G63400	AT3G63400	825515	protein_coding
AT1G19715	AT1G19715	AT1G19715	838560	protein_coding
