Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) ID	Type
WBGene00000001	aap-1	172141	protein_coding
WBGene00000002	aat-1	177793	protein_coding
WBGene00000003	aat-2	184126	protein_coding
WBGene00000004	aat-3	180557	protein_coding
WBGene00000005	aat-4	177388	protein_coding
WBGene00000006	aat-5	171814	protein_coding
WBGene00000007	aat-6	188421	protein_coding
WBGene00000008	aat-7	186240	protein_coding
WBGene00000009	aat-8	185079	protein_coding
WBGene00000010	aat-9	190250	protein_coding
WBGene00000012	abf-1	266827	protein_coding
WBGene00000013	abf-2	266826	protein_coding
WBGene00000014	abf-3	186202	protein_coding
WBGene00000015	abf-4	189702	protein_coding
WBGene00000016	abf-5	188770	protein_coding
WBGene00000017	abf-6	181418	protein_coding
WBGene00000018	abl-1	181261	protein_coding
WBGene00000019	abt-1	182849	protein_coding
WBGene00000020	abt-2	171782	protein_coding
WBGene00000021	WBGene00000021		pseudogene
WBGene00000022	abt-4	178559	protein_coding
WBGene00000023	abt-5	173081	protein_coding
WBGene00000024	abu-1	181800	protein_coding
WBGene00000025	abu-2	184695	protein_coding
WBGene00000026	WBGene00000026		pseudogene
WBGene00000027	abu-4	353458	protein_coding
WBGene00000028	abu-5	190870	protein_coding
WBGene00000029	abu-6	178903	protein_coding
WBGene00000030	abu-7	182139	protein_coding
WBGene00000031	abu-8	178904	protein_coding
WBGene00000032	abu-9	187749	protein_coding
WBGene00000033	abu-10	185248	protein_coding
WBGene00000034	abu-11	173404	protein_coding
WBGene00000035	ace-1	181706	protein_coding
WBGene00000036	ace-2	171905	protein_coding
WBGene00000037	ace-3	175076	protein_coding
WBGene00000038	ace-4	175074	protein_coding
WBGene00000039	acn-1	180780	protein_coding
WBGene00000040	aco-1	181324	protein_coding
WBGene00000041	aco-2	176121	protein_coding
WBGene00000042	acr-2	180936	protein_coding
WBGene00000043	acr-3	180937	protein_coding
WBGene00000044	acr-5	191596	protein_coding
WBGene00000045	acr-6	191479	protein_coding
WBGene00000046	acr-7	174262	protein_coding
WBGene00000047	acr-8	181246	protein_coding
WBGene00000048	acr-9	191597	protein_coding
WBGene00000049	acr-10	191598	protein_coding
WBGene00000050	acr-11	191599	protein_coding
WBGene00000051	acr-12	181475	protein_coding
WBGene00000053	acr-14	191601	protein_coding
WBGene00000054	acr-15	191602	protein_coding
WBGene00000055	acr-16	179235	protein_coding
WBGene00000056	acr-17	191603	protein_coding
WBGene00000057	acr-18	191604	protein_coding
WBGene00000058	acr-19	191605	protein_coding
WBGene00000059	acr-20	187632	protein_coding
WBGene00000060	acr-21	185004	protein_coding
WBGene00000061	lgc-11	181009	protein_coding
WBGene00000062	acr-23	191606	protein_coding
WBGene00000063	act-1	179535	protein_coding
WBGene00000064	act-2	179534	protein_coding
WBGene00000065	act-3	179533	protein_coding
WBGene00000066	act-4	180767	protein_coding
WBGene00000067	act-5	176793	protein_coding
WBGene00000068	acy-1	175622	protein_coding
WBGene00000069	acy-2	191607	protein_coding
WBGene00000070	acy-3	175489	protein_coding
WBGene00000071	acy-4	178949	protein_coding
WBGene00000072	add-1	180760	protein_coding
WBGene00000073	add-2	179647	protein_coding
WBGene00000074	adm-2	181489	protein_coding
WBGene00000075	adm-4	181041	protein_coding
WBGene00000079	adr-1	172542	protein_coding
WBGene00000080	adr-2	176022	protein_coding
WBGene00000081	ads-1	175192	protein_coding
WBGene00000082	adt-1	181412	protein_coding
WBGene00000083	adt-2	181022	protein_coding
WBGene00000084	aex-1	172519	protein_coding
WBGene00000085	aex-2	188491	protein_coding
WBGene00000086	aex-3	180420	protein_coding
WBGene00000088	aex-5	173358	protein_coding
WBGene00000089	aex-6	173223	protein_coding
WBGene00000090	age-1	174762	protein_coding
WBGene00000092	ags-3	180801	protein_coding
WBGene00000093	agt-1	190454	protein_coding
WBGene00000094	agt-2	184244	protein_coding
WBGene00000095	aha-1	172889	protein_coding
WBGene00000096	ahr-1	172788	protein_coding
WBGene00000097	aip-1	179898	protein_coding
WBGene00000098	air-1	179202	protein_coding
WBGene00000099	air-2	172268	protein_coding
WBGene00000100	ajm-1	181148	protein_coding
WBGene00000101	aka-1	174216	protein_coding
WBGene00000102	akt-1	179424	protein_coding
WBGene00000103	akt-2	181524	protein_coding
WBGene00000105	alg-1	181504	protein_coding
WBGene00000106	alg-2	173468	protein_coding
WBGene00000107	alh-1	175691	protein_coding
WBGene00000108	alh-2	187001	protein_coding
WBGene00000109	alh-3	177999	protein_coding
WBGene00000110	alh-4	179026	protein_coding
WBGene00000111	alh-5	178680	protein_coding
WBGene00000112	alh-6	173510	protein_coding
WBGene00000113	alh-7	174991	protein_coding
WBGene00000114	alh-8	174800	protein_coding
WBGene00000115	alh-9	175820	protein_coding
WBGene00000116	alh-10	180979	protein_coding
WBGene00000117	alh-11	185679	protein_coding
WBGene00000118	alh-12	176056	protein_coding
WBGene00000120	aly-1	177735	protein_coding
WBGene00000121	aly-2	177738	protein_coding
WBGene00000122	aly-3	178157	protein_coding
WBGene00000123	ama-1	177190	protein_coding
WBGene00000133	amt-1	180729	protein_coding
WBGene00000134	amt-2	186047	protein_coding
WBGene00000135	amt-3	174338	protein_coding
WBGene00000136	amt-4	180728	protein_coding
WBGene00000137	amx-1	175493	protein_coding
WBGene00000138	amx-2	173146	protein_coding
WBGene00000139	amx-3	184919	protein_coding
WBGene00000140	anc-1	172034	protein_coding
WBGene00000142	aos-1	179409	protein_coding
WBGene00000143	apc-2	176139	protein_coding
WBGene00000144	apc-10	179454	protein_coding
WBGene00000145	apc-11	175604	protein_coding
WBGene00000146	ape-1	179601	protein_coding
WBGene00000147	aph-1	172747	protein_coding
WBGene00000148	aph-2	172905	protein_coding
WBGene00000149	apl-1	180783	protein_coding
WBGene00000150	apm-1	172180	protein_coding
WBGene00000151	apn-1	174291	protein_coding
WBGene00000155	app-1	172118	protein_coding
WBGene00000156	apr-1	172591	protein_coding
WBGene00000157	aps-2	184091	protein_coding
WBGene00000158	apg-1	173304	protein_coding
WBGene00000159	aps-1	178989	protein_coding
WBGene00000160	apb-1	175376	protein_coding
WBGene00000161	apa-2	181163	protein_coding
WBGene00000162	apd-3	173701	protein_coding
WBGene00000163	apb-3	172553	protein_coding
WBGene00000164	apm-3	186194	protein_coding
WBGene00000165	aps-3	171691	protein_coding
WBGene00000166	apt-9	189194	protein_coding
WBGene00000168	apx-1	178759	protein_coding
WBGene00000169	aqp-1	174190	protein_coding
