Gene stable ID	Gene Name	ZFIN ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSDARG00000097503	si:ch73-288o11.5	ZDB-GENE-131121-416	si:ch73-288o11.5	793902	protein_coding
ENSDARG00000104512	BX936284.1				lncRNA
ENSDARG00000089622	fgd5b	ZDB-GENE-130925-3			protein_coding
ENSDARG00000093926	CR855277.3		LOC108179599	108179599	lncRNA
ENSDARG00000093957	si:dkey-251i10.2	ZDB-GENE-050506-102	si:dkey-251i10.2	562682	protein_coding
ENSDARG00000096908	si:ch73-185c24.2	ZDB-GENE-131121-189	si:ch73-185c24.2	794764	protein_coding
ENSDARG00000042370	ptafr	ZDB-GENE-131127-236	ptafr	100002627	protein_coding
ENSDARG00000097746	si:rp71-77l1.1	ZDB-GENE-131121-141	si:rp71-77l1.1	569583	protein_coding
ENSDARG00000078991	si:ch211-195e19.1	ZDB-GENE-141216-110	si:ch211-195e19.1	100002956	protein_coding
ENSDARG00000101567	guca1e	ZDB-GENE-040426-1577	guca1e	393629	protein_coding
ENSDARG00000093686	si:rp71-36a1.2	ZDB-GENE-050208-646	si:rp71-36a1.2	100034566	protein_coding
ENSDARG00000063341	czib	ZDB-GENE-061207-34	czib	555997	protein_coding
ENSDARG00000102845	dclk2b	ZDB-GENE-110411-1	dclk2b	100332814	protein_coding
ENSDARG00000090836	si:ch211-191d2.2	ZDB-GENE-110407-3	si:ch211-191d2.2	101882796	protein_coding
ENSDARG00000036510	ccnt2b	ZDB-GENE-030131-183	ccnt2b	321464	protein_coding
ENSDARG00000063150	nrxn2b	ZDB-GENE-070206-7			protein_coding
ENSDARG00000027088	ptgdsb.1	ZDB-GENE-030131-8436	ptgdsb.1	336492	protein_coding
ENSDARG00000039365	cuedc2	ZDB-GENE-030131-6283	cuedc2	334351	protein_coding
ENSDARG00000100083	sugt1	ZDB-GENE-041114-56	sugt1	492489	protein_coding
ENSDARG00000092020	CR855277.1				lncRNA
ENSDARG00000087979	CT573433.1		LOC101882239	101882239	lncRNA
ENSDARG00000058593	sri	ZDB-GENE-040426-1356	sri	393344	protein_coding
ENSDARG00000101917	pmfbp1	ZDB-GENE-131127-619			protein_coding
ENSDARG00000095756	si:ch211-190k17.19	ZDB-GENE-070912-167			protein_coding
ENSDARG00000012016	hpgd	ZDB-GENE-080728-2	hpgd	565975	protein_coding
ENSDARG00000020201	cdc73	ZDB-GENE-040426-1309	cdc73	393319	protein_coding
ENSDARG00000012892	ammecr1	ZDB-GENE-040426-1533	ammecr1	393553	protein_coding
ENSDARG00000068100	tafa5l	ZDB-GENE-050419-194	tafa5l	100004683	protein_coding
ENSDARG00000101700	si:ch1073-181h11.1	ZDB-GENE-081104-73			protein_coding
ENSDARG00000089794	si:dkeyp-101e12.1	ZDB-GENE-091113-32			protein_coding
ENSDARG00000057536	crygm2a	ZDB-GENE-050516-9	crygm2a	553177	protein_coding
ENSDARG00000088699	pdzd8	ZDB-GENE-110310-2	pdzd8	561279	protein_coding
ENSDARG00000086623	vav3a	ZDB-GENE-091204-266			protein_coding
ENSDARG00000054162	nfatc4	ZDB-GENE-070912-659	nfatc4	561682	protein_coding
ENSDARG00000093469	znf653	ZDB-GENE-071116-3	znf653	100329742	protein_coding
ENSDARG00000008788	camk1gb	ZDB-GENE-040426-1694	camk1gb	393802	protein_coding
ENSDARG00000007671	ghrb	ZDB-GENE-071119-4	ghrb	560202	protein_coding
ENSDARG00000105628	BX927082.2				pseudogene
ENSDARG00000079187	tbx19	ZDB-GENE-110411-5	tbx19	100538180	protein_coding
ENSDARG00000093671	BX001030.1				pseudogene
ENSDARG00000013174	nkd3	ZDB-GENE-060503-63	LOC100500933	100500933	protein_coding
ENSDARG00000014806	hacd2	ZDB-GENE-030131-6053	hacd2	334121	protein_coding
ENSDARG00000105510	CU466278.2				lncRNA
ENSDARG00000097931	BX323557.1		si:dkeyp-86b9.5	100536168	lncRNA
