Gene stable ID	Gene Name	GenBank ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
FBgn0015380	drl	CZ486769	44355	44355	protein_coding
FBgn0010356	Taf5	BZ748850	47900	47900	protein_coding
FBgn0266023	lncRNA:CR44788		19835763	19835763	lncRNA
FBgn0250732	gfzf	AW943014	40858	40858	protein_coding
FBgn0034710	Alp7	AI296842	37538	37538	protein_coding
FBgn0033672	rho-7	AX153652	36281	36281	protein_coding
FBgn0266027	asRNA:TS15		19835285	19835285	lncRNA
FBgn0263488	snmRNA:CR43603		12798362	12798362	sncRNA
FBgn0264879	lncRNA:CR44070		14462571	14462571	lncRNA
FBgn0263049	lncRNA:let7C		12798010	12798010	lncRNA
FBgn0264618	lncRNA:CR43958		14462356	14462356	lncRNA
FBgn0261786	mi	AW943765	37723	37723	protein_coding
FBgn0034138	RpS15	AY070991	36851	36851	protein_coding
FBgn0036451	Helz	AW943213	39613	39613	protein_coding
FBgn0286036	sisRNA:CR46358		39877400	39877400	lncRNA
FBgn0031250	Ent1	AF217396	33207	33207	protein_coding
FBgn0037409	Osi24	AY119131	40755	40755	protein_coding
FBgn0027948	msps	AI947030	41952	41952	protein_coding
FBgn0038675	CG6013	CZ480541	42286	42286	protein_coding
FBgn0034315	CG5721	AW944423	37084	37084	protein_coding
FBgn0264900	lncRNA:CR44091		14462531	14462531	lncRNA
FBgn0000500	Dsk	CZ486406	45845	45845	protein_coding
FBgn0032878	CG9316	AY089368	35333	35333	protein_coding
FBgn0259184	CG42288	CO191521	36559	36559	protein_coding
FBgn0030319	CG2533	BF491921	32110	32110	protein_coding
FBgn0029878	Pat1	AW940391	31593	31593	protein_coding
FBgn0026324	Taf10b	BH840437	33468	33468	protein_coding
FBgn0031255	BBS8		33217	33217	protein_coding
FBgn0266224	lncRNA:CR44919		19835223	19835223	lncRNA
FBgn0000566	Eip55E	AY089545	37143	37143	protein_coding
FBgn0053878	His2B:CG33878		3771957	3771957	protein_coding
FBgn0030665	CG15646		32501	32501	protein_coding
FBgn0036597	CG4962	BI243216	39793	39793	protein_coding
FBgn0033019	CG10395	AY061289	35490	35490	protein_coding
FBgn0035687	Prdm13		38713	38713	protein_coding
FBgn0267986	lncRNA:CR46253		26067563	26067563	lncRNA
FBgn0260986	mei-38	AA816545	31104	31104	protein_coding
FBgn0035921	CG13305	AY113451	38992	38992	protein_coding
FBgn0262960	CG43271		12798001	12798001	protein_coding
FBgn0003448	sna	BT010255	34908	34908	protein_coding
FBgn0040747	CG12853	AI946569	50220	50220	protein_coding
FBgn0036211	CG5946	AI134689	39336	39336	protein_coding
FBgn0036090	CG8009	AA439567	39204	39204	protein_coding
FBgn0020307	dve	BI164075	37546	37546	protein_coding
FBgn0031268	cold	CZ488208	33237	33237	protein_coding
FBgn0027495	Smyd4-4	BZ286358	36299	36299	protein_coding
FBgn0261504	7SLRNA:CR42652		10178925	10178925	sncRNA
FBgn0003378	Sgs8	M14650	39285	39285	protein_coding
FBgn0037610	CG8043	AI238122	41030	41030	protein_coding
FBgn0032294	Vha16-5		34482	34482	protein_coding
FBgn0036882	CG9279	AW941728	40124	40124	protein_coding
FBgn0037120	CG11247	AW944241	40414	40414	protein_coding
FBgn0263092	CR43360				pseudogene
FBgn0262111	f	D17528	32718	32718	protein_coding
FBgn0263855	BubR1	AA820408	35522	35522	protein_coding
FBgn0050088	CG30088		246447	246447	protein_coding
FBgn0033247	Nup44A	AQ072925	35762	35762	protein_coding
FBgn0262413	mir-9b		12798246	12798246	sncRNA
FBgn0267636	asRNA:CR45974		26067301	26067301	lncRNA
FBgn0053489	CG33489	BT001271	2768971	2768971	protein_coding
FBgn0031127	CG1835	AY119544	33057	33057	protein_coding
FBgn0262896	CG43251		12798428	12798428	protein_coding
FBgn0053914	CG33914		3772464	3772464	protein_coding
