Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSG00000198888	MT-ND1	ND1	4535	protein_coding
ENSG00000198763	MT-ND2	ND2	4536	protein_coding
ENSG00000198804	MT-CO1	COX1	4512	protein_coding
ENSG00000198712	MT-CO2	COX2	4513	protein_coding
ENSG00000228253	MT-ATP8	ATP8	4509	protein_coding
ENSG00000198899	MT-ATP6	ATP6	4508	protein_coding
ENSG00000198938	MT-CO3	COX3	4514	protein_coding
ENSG00000198840	MT-ND3	ND3	4537	protein_coding
ENSG00000212907	MT-ND4L	ND4L	4539	protein_coding
ENSG00000198886	MT-ND4	ND4	4538	protein_coding
ENSG00000198786	MT-ND5	ND5	4540	protein_coding
ENSG00000198695	MT-ND6	ND6	4541	protein_coding
ENSG00000198727	MT-CYB	CYTB	4519	protein_coding
ENSG00000271254	ENSG00000271254	LOC102724250	102724250	protein_coding
ENSG00000273947	KIR2DL3	KIR2DL3	3804	protein_coding
ENSG00000273918	ENSG00000273918			pseudogene
ENSG00000276820	KIR2DL1	KIR2DL1	3802	protein_coding
ENSG00000275151	ENSG00000275151			pseudogene
ENSG00000275593	KIR3DP1			pseudogene
ENSG00000277921	LILRP1			pseudogene
ENSG00000280538	ENSG00000280538			lncRNA
ENSG00000277554	KIR2DL3	KIR2DL3	3804	protein_coding
ENSG00000273735	KIR3DL2	KIR3DL2	3812	protein_coding
ENSG00000274826	LILRP2	LILRP2	79166	pseudogene
ENSG00000274324	KIR2DS4	KIR2DS4	3809	protein_coding
ENSG00000262826	INTS3	INTS3	65123	protein_coding
ENSG00000280663	PCMTD2	PCMTD2	55251	protein_coding
ENSG00000273755	LILRP2	LILRP2	79166	pseudogene
ENSG00000274714	KIR2DS4	KIR2DS4	3809	protein_coding
ENSG00000274807	KIR2DS4	KIR2DS4	3809	protein_coding
ENSG00000275047	KIR2DS5	KIR2DS5	3810	protein_coding
ENSG00000276885	KIR2DS4	KIR2DS4	3809	protein_coding
ENSG00000281806	ENSG00000281806			lncRNA
ENSG00000274957	KIR2DS4	KIR2DS4	3809	protein_coding
ENSG00000279969	ENSG00000279969			lncRNA
ENSG00000281362	LINC01115	LINC01115	339822	lncRNA
ENSG00000274882	LINC02109			lncRNA
ENSG00000276970	ENSG00000276970			pseudogene
ENSG00000274130	ENSG00000274130			pseudogene
ENSG00000278306	KIR2DS3	KIR2DS3	3808	protein_coding
ENSG00000276779	KIR2DL4	KIR2DL4	3805	protein_coding
ENSG00000278614	KIR2DP1			pseudogene
ENSG00000277334	NCR1	NCR1	9437	protein_coding
ENSG00000275407	KIR2DL2	KIR2DL2	3803	protein_coding
ENSG00000278731	KIR2DL2	KIR2DL2	3803	protein_coding
ENSG00000278074	KIR2DL4	KIR2DL4	3805	protein_coding
ENSG00000275699	KIR2DL4	KIR2DL4	3805	protein_coding
ENSG00000275511	KIR3DL2	KIR3DL2	3812	protein_coding
ENSG00000276433	KIR3DL3	KIR3DL3	115653	protein_coding
ENSG00000277272	KIR3DL1	KIR3DL1	3811	protein_coding
ENSG00000275732	KIR2DL4	KIR2DL4	3805	protein_coding
ENSG00000278430	KIR2DL4	KIR2DL4	3805	protein_coding
ENSG00000275786	KIR3DL1	KIR3DL1	3811	protein_coding
ENSG00000278805	KIR2DL1	KIR2DL1	3802	protein_coding
ENSG00000273575	KIR2DL4	KIR2DL4	3805	protein_coding
ENSG00000277620	KIR3DL3	KIR3DL3	115653	protein_coding
ENSG00000277995	ENSG00000277995			sncRNA
ENSG00000277345	KIR2DS4	KIR2DS4	3809	protein_coding
ENSG00000275751	KIR3DP1			pseudogene
ENSG00000276424	KIR3DL2	KIR3DL2	3812	protein_coding
ENSG00000275237	KIR2DL4	KIR2DL4	3805	protein_coding
ENSG00000276858	FCAR	FCAR	2204	protein_coding
ENSG00000277044	OPRL1	OPRL1	4987	protein_coding
ENSG00000276423	KIR3DL1	KIR3DL1	3811	protein_coding
ENSG00000277339	NPBWR2	NPBWR2	2832	protein_coding
ENSG00000275717	KIR3DL1	KIR3DL1	3811	protein_coding
ENSG00000280695	ENSG00000280695			lncRNA
ENSG00000277070	LILRP1			pseudogene
ENSG00000277742	KIR3DP1			pseudogene
ENSG00000276676	KIR2DS5	KIR2DS5	3810	protein_coding
ENSG00000275938	KIR2DS4	KIR2DS4	3809	pseudogene
ENSG00000277616	KIR2DL1	KIR2DL1	3802	protein_coding
ENSG00000277376	KIR2DP1			pseudogene
ENSG00000276518	KIR3DP1			protein_coding
ENSG00000277317	KIR2DL3	KIR2DL3	3804	protein_coding
ENSG00000274861	LILRP2	LILRP2	79166	pseudogene
ENSG00000276258	KIR2DS2	KIR2DS2	100132285	protein_coding
ENSG00000276974	ENSG00000276974			pseudogene
ENSG00000278152	KIR2DS2	KIR2DS2	100132285	protein_coding
ENSG00000276876	MYT1	MYT1	4661	protein_coding
ENSG00000278325	LILRP1			pseudogene
ENSG00000276930	KIR3DL3	KIR3DL3	115653	protein_coding
ENSG00000278786	KIR3DP1			pseudogene
ENSG00000275946	KIR2DL5B	KIR2DL5B	553128	protein_coding
ENSG00000274189	KIR2DL4	KIR2DL4	3805	protein_coding
ENSG00000274948	KIR3DL1	KIR3DL1	3811	protein_coding
ENSG00000274339	LILRP1			pseudogene
ENSG00000273775	KIR3DL1	KIR3DL1	3811	protein_coding
ENSG00000277267	LILRP2	LILRP2	79166	pseudogene
ENSG00000273510	KIR2DL1	KIR2DL1	3802	protein_coding
ENSG00000276501	KIR3DL1	KIR3DL1	3811	protein_coding
ENSG00000276534	KIR3DS1	KIR3DS1	3813	protein_coding
ENSG00000275422	ENSG00000275422			pseudogene
ENSG00000275914	KIR2DL2	KIR2DL2	3803	protein_coding
ENSG00000277176	KIR3DP1			pseudogene
ENSG00000277185	ENSG00000277185			pseudogene
ENSG00000276044	KIR2DL4	KIR2DL4	3805	protein_coding
ENSG00000278207	KIR2DL1	KIR2DL1	3802	protein_coding
ENSG00000276329	KIR3DL1	KIR3DL1	3811	protein_coding
ENSG00000277251	KIR2DL2	KIR2DL2	3803	protein_coding
ENSG00000276379	KIR3DL1	KIR3DL1	3811	protein_coding
ENSG00000275442	LILRP2	LILRP2	79166	pseudogene
ENSG00000275288	KIR3DL1	KIR3DL1	3811	protein_coding
ENSG00000278704	ENSG00000278704			protein_coding
ENSG00000277725	KIR2DL2	KIR2DL2	3803	protein_coding
ENSG00000274722	KIR3DL2	KIR3DL2	3812	protein_coding
ENSG00000277484	KIR2DL3	KIR2DL3	3804	protein_coding
ENSG00000276328	KIR3DL3	KIR3DL3	115653	protein_coding
ENSG00000275848	KIR2DL4	KIR2DL4	3805	protein_coding
ENSG00000277650	KIR2DS5	KIR2DS5	3810	protein_coding
ENSG00000273526	KIR2DS4	KIR2DS4	3809	protein_coding
ENSG00000273661	KIR2DL2	KIR2DL2	3803	protein_coding
ENSG00000275433	KIR3DL3	KIR3DL3	115653	protein_coding
ENSG00000274271	LILRP1			pseudogene
ENSG00000274676	KIR2DL5A	KIR2DL5A	57292	protein_coding
ENSG00000276086	KIR3DL3	KIR3DL3	115653	protein_coding
ENSG00000273738	FCAR	FCAR	2204	protein_coding
ENSG00000277835	KIR3DP1			pseudogene
ENSG00000276985	FCAR	FCAR	2204	protein_coding
ENSG00000275306	KIR2DS1	KIR2DS1	3806	protein_coding
ENSG00000278403	KIR3DL2	KIR3DL2	3812	protein_coding
ENSG00000277078	KIR2DS4	KIR2DS4	3809	protein_coding
ENSG00000274830	KIR2DL3	KIR2DL3	3804	protein_coding
ENSG00000275112	LILRP1			pseudogene
ENSG00000274518	KIR2DS2	KIR2DS2	100132285	protein_coding
ENSG00000275659	KIR3DL1	KIR3DL1	3811	protein_coding
ENSG00000276013	ENSG00000276013			pseudogene
