Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSMUSG00000064341	mt-Nd1	ND1	17716	protein_coding
ENSMUSG00000064345	mt-Nd2	ND2	17717	protein_coding
ENSMUSG00000064351	mt-Co1	COX1	17708	protein_coding
ENSMUSG00000064354	mt-Co2	COX2	17709	protein_coding
ENSMUSG00000064356	mt-Atp8	ATP8	17706	protein_coding
ENSMUSG00000064357	mt-Atp6	ATP6	17705	protein_coding
ENSMUSG00000064358	mt-Co3	COX3	17710	protein_coding
ENSMUSG00000064360	mt-Nd3	ND3	17718	protein_coding
ENSMUSG00000065947	mt-Nd4l	ND4L	17720	protein_coding
ENSMUSG00000064363	mt-Nd4	ND4	17719	protein_coding
ENSMUSG00000064367	mt-Nd5	ND5	17721	protein_coding
ENSMUSG00000064368	mt-Nd6	ND6	17722	protein_coding
ENSMUSG00000064370	mt-Cytb	CYTB	17711	protein_coding
ENSMUSG00000095019	ENSMUSG00000095019			protein_coding
ENSMUSG00002075400	ENSMUSG00002075400			sncRNA
ENSMUSG00002074899	ENSMUSG00002074899			sncRNA
ENSMUSG00002076890	ENSMUSG00002076890			sncRNA
ENSMUSG00002074970	ENSMUSG00002074970			sncRNA
ENSMUSG00000094915	ENSMUSG00000094915	LOC671917	671917	protein_coding
ENSMUSG00002075729	ENSMUSG00002075729			sncRNA
ENSMUSG00000079800	ENSMUSG00000079800			protein_coding
ENSMUSG00000094741	ENSMUSG00000094741	LOC100503733	100503733	protein_coding
ENSMUSG00000094836	ENSMUSG00000094836	LOC100861655	100861655	protein_coding
ENSMUSG00000095742	ENSMUSG00000095742			protein_coding
ENSMUSG00000094722	ENSMUSG00000094722	LOC100862245	100862245	protein_coding
ENSMUSG00000095092	ENSMUSG00000095092			protein_coding
ENSMUSG00000095666	ENSMUSG00000095666	LOC100862115	100862115	protein_coding
ENSMUSG00000079222	ENSMUSG00000079222			protein_coding
ENSMUSG00000079192	ENSMUSG00000079192			protein_coding
ENSMUSG00000095728	ENSMUSG00000095728			protein_coding
ENSMUSG00000094383	ENSMUSG00000094383	Gm46935	108169101	protein_coding
ENSMUSG00000079794	ENSMUSG00000079794			protein_coding
ENSMUSG00000095076	ENSMUSG00000095076			protein_coding
ENSMUSG00000079808	ENSMUSG00000079808	LOC102638047	102638047	protein_coding
ENSMUSG00000094799	ENSMUSG00000094799	LOC105242404	105242404	protein_coding
ENSMUSG00000074720	ENSMUSG00000074720			protein_coding
ENSMUSG00000094474	ENSMUSG00000094474	LOC100041712	100041712	protein_coding
ENSMUSG00000096680	ENSMUSG00000096680	LOC102634529	102634529	protein_coding
ENSMUSG00000094791	ENSMUSG00000094791			protein_coding
ENSMUSG00000094874	ENSMUSG00000094874	LOC102633783	102633783	protein_coding
ENSMUSG00000096550	Gm16367	Gm16367	545762	protein_coding
ENSMUSG00000095500	ENSMUSG00000095500			protein_coding
ENSMUSG00000095505	ENSMUSG00000095505			protein_coding
ENSMUSG00000094172	ENSMUSG00000094172	LOC620551	620551	protein_coding
ENSMUSG00000095450	ENSMUSG00000095450			protein_coding
ENSMUSG00000094887	ENSMUSG00000094887	LOC100041806	100041806	protein_coding
ENSMUSG00000094337	ENSMUSG00000094337	LOC665290	665290	protein_coding
ENSMUSG00000094728	ENSMUSG00000094728			protein_coding
ENSMUSG00000091585	ENSMUSG00000091585	LOC108168685	108168685	protein_coding
ENSMUSG00000095763	ENSMUSG00000095763	LOC100039010	100039010	protein_coding
ENSMUSG00000095523	ENSMUSG00000095523	LOC100038995	100038995	protein_coding
ENSMUSG00000095475	ENSMUSG00000095475	LOC545763	545763	protein_coding
ENSMUSG00000095570	ENSMUSG00000095570	LOC624931	624931	protein_coding
ENSMUSG00000062783	Csprs	Csprs	114564	protein_coding
ENSMUSG00000094855	ENSMUSG00000094855	LOC620639	620639	protein_coding
ENSMUSG00000096808	ENSMUSG00000096808			protein_coding
ENSMUSG00000096728	ENSMUSG00000096728	LOC665755	665755	protein_coding
ENSMUSG00000094303	ENSMUSG00000094303	LOC108168681	108168681	protein_coding
ENSMUSG00000096236	ENSMUSG00000096236	LOC100862192	100862192	protein_coding
ENSMUSG00000096776	Vmn1r186	Vmn1r186	100039479	protein_coding
ENSMUSG00000096756	ENSMUSG00000096756	LOC100862202	100862202	protein_coding
ENSMUSG00000096244	ENSMUSG00000096244	Vmn1r187	100039499	protein_coding
ENSMUSG00000095250	ENSMUSG00000095250	LOC118568473	118568473	protein_coding
ENSMUSG00000095787	ENSMUSG00000095787			protein_coding
ENSMUSG00000095041	ENSMUSG00000095041			protein_coding
ENSMUSG00000096100	ENSMUSG00000096100			protein_coding
ENSMUSG00000094054	ENSMUSG00000094054	LOC100503923	100503923	pseudogene
ENSMUSG00000095672	ENSMUSG00000095672			protein_coding
ENSMUSG00000079190	ENSMUSG00000079190	LOC100041057	100041057	protein_coding
ENSMUSG00000094514	ENSMUSG00000094514	LOC102636558	102636558	protein_coding
ENSMUSG00000100384	Gm28489			pseudogene
ENSMUSG00000100216	Gm21867			pseudogene
ENSMUSG00000099641	Gm29448			pseudogene
ENSMUSG00000100271	Gm21127	Gm21127	108168549	pseudogene
ENSMUSG00000099695	Gm28488			lncRNA
ENSMUSG00000095634	Gm20816	Gm20803	108168596	protein_coding
ENSMUSG00000100399	Gm28491			lncRNA
ENSMUSG00000101393	Gm29447			lncRNA
ENSMUSG00000100885	Gm29446			lncRNA
ENSMUSG00000101120	Gm29452			pseudogene
ENSMUSG00000101216	Gm29451			pseudogene
ENSMUSG00000100032	Gm20817			protein_coding
ENSMUSG00000094789	Gm28490			protein_coding
ENSMUSG00000101080	Gm28633			lncRNA
ENSMUSG00000094444	Gm21562			lncRNA
ENSMUSG00000100308	Gm29410			pseudogene
ENSMUSG00000101423	Gm28298			lncRNA
ENSMUSG00000095626	Gm21572			lncRNA
ENSMUSG00000101761	Gm28297			lncRNA
ENSMUSG00000101106	Gm28819			pseudogene
ENSMUSG00000099493	Gm21753			pseudogene
ENSMUSG00000096777	Gm21723			lncRNA
ENSMUSG00000102119	Gm28462			lncRNA
ENSMUSG00000101147	Gm20818	Gm20818	108168663	pseudogene
ENSMUSG00000101143	Gm21151	Gm21151	108168603	pseudogene
ENSMUSG00000100739	Gm28296			lncRNA
ENSMUSG00000095345	Gm21821			lncRNA
ENSMUSG00000102005	Gm29409			lncRNA
ENSMUSG00000101491	Gm28632			lncRNA
ENSMUSG00000100709	Gm28295			lncRNA
ENSMUSG00000095968	Gm21842			lncRNA
ENSMUSG00000100624	Gm28101			pseudogene
ENSMUSG00000101779	Gm28170	Gm28091	108168560	lncRNA
ENSMUSG00000094529	Gm21744			pseudogene
ENSMUSG00000102388	Gm33815			protein_coding
ENSMUSG00000102131	Gm21160	Gm21160	108168608	pseudogene
ENSMUSG00000101745	Gm28764			lncRNA
ENSMUSG00000094699	Gm28637			pseudogene
ENSMUSG00000100659	Gm28636			pseudogene
ENSMUSG00000101254	Gm20932	Gm20932	108168604	pseudogene
ENSMUSG00000100957	Gm28762			lncRNA
ENSMUSG00000100976	Gm29134			pseudogene
ENSMUSG00000099756	Gm28763			lncRNA
ENSMUSG00000100489	Gm28303			pseudogene
ENSMUSG00000101239	Gm28304			pseudogene
ENSMUSG00000100971	Gm28824			lncRNA
ENSMUSG00000099555	Gm28081			lncRNA
ENSMUSG00000101369	Gm28080			pseudogene
ENSMUSG00000101096	Gm21524	Gm21524	108168600	pseudogene
ENSMUSG00000095263	Gm21094			protein_coding
ENSMUSG00000096272	Gm21588			lncRNA
ENSMUSG00000099426	Gm28761			lncRNA
ENSMUSG00000096711	Gm21599			lncRNA
ENSMUSG00000101728	Gm28765			lncRNA
ENSMUSG00000100509	Gm21810			pseudogene
ENSMUSG00000095553	Gm21916			lncRNA
ENSMUSG00000099550	Gm28079	Orly	75204	protein_coding
ENSMUSG00000102065	Gm28302			pseudogene
ENSMUSG00000101099	Gm29191			lncRNA
ENSMUSG00000100278	Gm28082			lncRNA
ENSMUSG00000095049	Gm21756			pseudogene
ENSMUSG00000100692	Gm21672	Gm21672	100862360	pseudogene
ENSMUSG00000101601	Gm28210			lncRNA
ENSMUSG00000099530	Gm29644			protein_coding
ENSMUSG00000101516	Gm29074			lncRNA
ENSMUSG00000101359	Gm28211			pseudogene
ENSMUSG00000094052	Gm21118	Gm21118	100861667	protein_coding
ENSMUSG00000100790	Gm28518			lncRNA
ENSMUSG00000101302	Gm28519			lncRNA
ENSMUSG00000102125	Gm28520			lncRNA
ENSMUSG00000101725	Gm29423			protein_coding
ENSMUSG00000099948	Gm29424			pseudogene
ENSMUSG00000104442	4932431L22Rik	4932431L22Rik	619557	lncRNA
ENSMUSG00000101440	Gm29425			lncRNA
ENSMUSG00000095011	Gm20838			protein_coding
ENSMUSG00000094616	Gm20888	Gm21171	108168595	protein_coding
ENSMUSG00000094064	Gm21626			lncRNA
ENSMUSG00000100653	Gm28238			lncRNA
ENSMUSG00000101421	Gm28433			pseudogene
ENSMUSG00000099461	Gm28521			lncRNA
ENSMUSG00000101706	Gm28431			lncRNA
ENSMUSG00000096532	Gm21633			lncRNA
ENSMUSG00000101627	Gm28432			lncRNA
ENSMUSG00000101852	Gm20886			pseudogene
ENSMUSG00000101681	Gm28522			lncRNA
ENSMUSG00000099438	Gm21808			pseudogene
ENSMUSG00000101870	Gm21745			pseudogene
ENSMUSG00000101472	Gm28517			lncRNA
ENSMUSG00000101407	Gm29532			lncRNA
ENSMUSG00000099500	Gm29531			lncRNA
ENSMUSG00000101786	Gm28840	Gm28840	102632557	pseudogene
ENSMUSG00000100097	Gm28464			lncRNA
ENSMUSG00000099806	Gm28841			pseudogene
ENSMUSG00000101474	Gm29656			lncRNA
ENSMUSG00000099704	Gm28842			lncRNA
ENSMUSG00000101383	Gm28843			pseudogene
ENSMUSG00000099737	Gm29655	Gm28091	108168560	lncRNA
ENSMUSG00000099914	Gm28837			pseudogene
ENSMUSG00000101417	Gm21647			pseudogene
ENSMUSG00000101654	Gm29653			lncRNA
ENSMUSG00000099369	Gm28838			pseudogene
ENSMUSG00000101808	Gm29654			lncRNA
ENSMUSG00000101893	Gm28839			lncRNA
ENSMUSG00000099910	Gm29651			pseudogene
ENSMUSG00000100442	Gm20866	Gm20866	108168528	pseudogene
ENSMUSG00000101518	Gm20868			pseudogene
ENSMUSG00000099818	Gm29652			pseudogene
ENSMUSG00000100500	Gm29080			lncRNA
ENSMUSG00000100677	Gm21184	Gm21184	108168664	pseudogene
ENSMUSG00000100171	Gm21201	Gm21201	108168607	pseudogene
ENSMUSG00000101374	Gm28844			pseudogene
ENSMUSG00000101255	Gm21841			pseudogene
ENSMUSG00000099463	Gm29081			lncRNA
ENSMUSG00000101713	Gm28668			lncRNA
ENSMUSG00000100745	Gm29077			lncRNA
ENSMUSG00000101341	Gm29076			pseudogene
ENSMUSG00000099531	Gm20869			protein_coding
ENSMUSG00000100193	Gm29079			pseudogene
ENSMUSG00000100008	Gm28481			pseudogene
ENSMUSG00000099651	Gm29078			lncRNA
ENSMUSG00000101134	Gm28482			lncRNA
ENSMUSG00000101787	Gm20853	Gm20853	108168615	pseudogene
ENSMUSG00000100537	Gm28485			lncRNA
ENSMUSG00000101043	Gm29075			pseudogene
ENSMUSG00000100535	Gm20870	1700040F15Rik	73329	protein_coding
ENSMUSG00000099390	Gm29225			lncRNA
ENSMUSG00000099738	Gm28483			pseudogene
ENSMUSG00000100422	Gm29226			lncRNA
ENSMUSG00000101988	Gm28484			pseudogene
ENSMUSG00000100385	Gm29227			pseudogene
ENSMUSG00000101336	Gm28480			pseudogene
ENSMUSG00000100064	Gm28339			pseudogene
ENSMUSG00000101593	Gm20842	Gm20842	100040429	pseudogene
ENSMUSG00000095793	Gm20855	Gm20855	108168545	protein_coding
ENSMUSG00000101444	Gm29179			pseudogene
ENSMUSG00000099733	Gm21880			pseudogene
ENSMUSG00000101339	Gm29180			pseudogene
ENSMUSG00000101626	Gm29386			lncRNA
ENSMUSG00000099731	Gm29181			pseudogene
ENSMUSG00000101091	Gm29384			lncRNA
ENSMUSG00000100229	Gm21896			pseudogene
ENSMUSG00000101691	Gm29280			pseudogene
ENSMUSG00000100540	Gm20799			pseudogene
ENSMUSG00000100244	Gm29279			pseudogene
ENSMUSG00000096902	Gm20843	Gm21171	108168595	protein_coding
ENSMUSG00000100694	Gm29182			lncRNA
ENSMUSG00000099799	Gm28260			lncRNA
ENSMUSG00000099999	Gm21795			pseudogene
ENSMUSG00000101844	Gm20844	Gm20844	108168612	pseudogene
ENSMUSG00000101806	Gm28261			pseudogene
ENSMUSG00000101632	Gm28264			lncRNA
ENSMUSG00000099525	Gm21872			pseudogene
ENSMUSG00000100749	Gm20798	Gm20798	108168649	pseudogene
ENSMUSG00000099963	Gm28463			lncRNA
ENSMUSG00000100898	Gm29178			pseudogene
ENSMUSG00000100299	Gm28584			pseudogene
ENSMUSG00000101857	Gm21757			pseudogene
ENSMUSG00000101127	Gm28585			lncRNA
ENSMUSG00000101836	Gm28968			pseudogene
ENSMUSG00000102008	Gm28495			pseudogene
ENSMUSG00000100869	Gm20846	Gm20846	108168580	pseudogene
ENSMUSG00000101277	Gm20847	Gm20847	108168624	pseudogene
ENSMUSG00000099371	Gm20848	Gm20848	108168623	pseudogene
ENSMUSG00000102129	Gm28969			pseudogene
ENSMUSG00000100359	Gm21766			pseudogene
ENSMUSG00000099495	Gm20800	Gm20800	108168651	pseudogene
ENSMUSG00000101747	Gm21683	Gm21683	100862371	pseudogene
ENSMUSG00000096650	Gm20896	Gm20896	108168555	protein_coding
ENSMUSG00000102058	Gm28470			lncRNA
ENSMUSG00000100034	Gm28469			lncRNA
ENSMUSG00000099589	Gm21898			pseudogene
ENSMUSG00000100263	Gm28468			pseudogene
ENSMUSG00000100379	Gm28677			pseudogene
ENSMUSG00000101575	Gm20898	Gm20898	100042013	pseudogene
ENSMUSG00000101715	Gm21855			pseudogene
ENSMUSG00000100785	Gm29333			pseudogene
ENSMUSG00000101425	Gm29255			lncRNA
ENSMUSG00000100698	Gm20902	Gm20902	108168561	pseudogene
ENSMUSG00000099822	Gm28332			lncRNA
ENSMUSG00000099547	Gm28678			pseudogene
ENSMUSG00000101781	Gm28333			lncRNA
ENSMUSG00000101271	Gm28334			pseudogene
ENSMUSG00000099504	Gm28335			pseudogene
ENSMUSG00000099782	Gm20903	Gm20903	100042110	protein_coding
ENSMUSG00000101377	Gm28336			lncRNA
ENSMUSG00000101038	Gm28272			pseudogene
ENSMUSG00000101709	Gm28337			pseudogene
ENSMUSG00000100604	Gm29256			pseudogene
ENSMUSG00000099554	Gm28259			lncRNA
ENSMUSG00000099814	Gm28338			lncRNA
ENSMUSG00000101757	Gm28273			pseudogene
ENSMUSG00000100316	Gm28812			pseudogene
ENSMUSG00000101284	Gm28811			lncRNA
ENSMUSG00000100179	Gm21715			pseudogene
ENSMUSG00000100651	Gm28810			lncRNA
ENSMUSG00000101933	Gm20835	Gm20835	108168509	protein_coding
ENSMUSG00000100647	Gm29027			lncRNA
ENSMUSG00000101815	Gm29028			lncRNA
ENSMUSG00000099685	Gm29617			pseudogene
ENSMUSG00000101538	Gm29029			pseudogene
ENSMUSG00000100251	Gm29615			pseudogene
ENSMUSG00000100983	Gm29030			pseudogene
ENSMUSG00000101774	Gm29616			lncRNA
ENSMUSG00000101820	Gm29023			lncRNA
ENSMUSG00000100283	Gm29024			pseudogene
ENSMUSG00000099883	Gm21784			pseudogene
ENSMUSG00000099832	Gm29025			lncRNA
ENSMUSG00000100363	Gm20805	Gm20805	108168562	pseudogene
ENSMUSG00000101246	Gm29026			pseudogene
ENSMUSG00000100276	Gm29618			pseudogene
ENSMUSG00000101382	Gm28213			pseudogene
ENSMUSG00000101318	Gm29109			pseudogene
ENSMUSG00000099967	Gm28212			lncRNA
ENSMUSG00000100805	Gm29108			lncRNA
ENSMUSG00000101161	Gm21799			pseudogene
ENSMUSG00000100705	Gm28227			pseudogene
ENSMUSG00000101528	Gm29110			protein_coding
ENSMUSG00000099661	Gm28781			pseudogene
ENSMUSG00000101157	Gm20905	Gm20905	108168510	protein_coding
ENSMUSG00000099712	Gm29411			pseudogene
ENSMUSG00000094507	Gm21913			protein_coding
ENSMUSG00000100115	Gm28174			lncRNA
ENSMUSG00000099586	Gm28222			pseudogene
ENSMUSG00000100066	Gm21835			pseudogene
ENSMUSG00000101881	Gm21076	Gm21076	108168670	pseudogene
ENSMUSG00000101879	Gm28820			lncRNA
ENSMUSG00000101218	Gm29416			lncRNA
ENSMUSG00000099412	Gm28223			pseudogene
ENSMUSG00000101831	Gm29412			pseudogene
ENSMUSG00000101128	Gm21869			pseudogene
ENSMUSG00000101788	Gm20813	Gm20813	108168671	pseudogene
ENSMUSG00000100428	Gm29413			pseudogene
ENSMUSG00000102087	Gm28790			pseudogene
ENSMUSG00000099601	Gm29671			lncRNA
ENSMUSG00000101704	Gm21878			pseudogene
ENSMUSG00000101428	Gm29272			pseudogene
ENSMUSG00000101349	Gm28162			pseudogene
ENSMUSG00000100140	Gm28789			lncRNA
ENSMUSG00000101710	Gm20922			pseudogene
ENSMUSG00000094575	Gm20738	Gm21249	108168660	protein_coding
ENSMUSG00000101146	Gm20814	Gm20814	108167378	protein_coding
ENSMUSG00000099499	Gm28787			pseudogene
ENSMUSG00000101213	Gm28788			pseudogene
ENSMUSG00000100952	Gm28545			lncRNA
ENSMUSG00000099730	Gm28547			lncRNA
ENSMUSG00000099896	Gm29278			lncRNA
ENSMUSG00000101873	Gm28546			pseudogene
ENSMUSG00000101980	Gm21922			pseudogene
ENSMUSG00000100203	Gm21924			pseudogene
ENSMUSG00000100669	Gm21111	Gm21111	108168576	pseudogene
ENSMUSG00000099460	Gm21735			pseudogene
ENSMUSG00000100260	Gm28608			pseudogene
ENSMUSG00000100675	Gm28607			pseudogene
ENSMUSG00000099807	Gm28771			lncRNA
ENSMUSG00000101435	Gm28772			lncRNA
ENSMUSG00000100544	Gm28606			lncRNA
ENSMUSG00000100883	Gm28773			pseudogene
ENSMUSG00000100902	Gm20850	Gm20850	100040712	protein_coding
ENSMUSG00000100892	Gm20897	Gm20897	108168548	protein_coding
