Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSRNOG00000064641	ENSRNOG00000064641			protein_coding
ENSRNOG00000064851	ENSRNOG00000064851			lncRNA
ENSRNOG00000064338	ENSRNOG00000064338			lncRNA
ENSRNOG00000063562	ENSRNOG00000063562			lncRNA
ENSRNOG00000032625	AC118165.1	LOC102548503	102548503	protein_coding
ENSRNOG00000064173	ENSRNOG00000064173			lncRNA
ENSRNOG00000067593	ENSRNOG00000067593			lncRNA
ENSRNOG00000063979	U4			sncRNA
ENSRNOG00000056886	Mir291b	Mir291b	100526632	sncRNA
ENSRNOG00000055342	U7	LOC120100214	120100214	sncRNA
ENSRNOG00000070168	Olr56	Olr56	293205	protein_coding
ENSRNOG00000067904	SNORD115	LOC120100281	120100281	sncRNA
ENSRNOG00000033395	Olr473	Olr473	295744	protein_coding
ENSRNOG00000029315	AC099294.1	LOC690251	690251	protein_coding
ENSRNOG00000029996	AABR07054368.1			protein_coding
ENSRNOG00000068698	ENSRNOG00000068698			pseudogene
ENSRNOG00000062643	Olr760	Olr760	405957	protein_coding
ENSRNOG00000028288	Clrn3	Clrn3	309082	protein_coding
ENSRNOG00000050129	AABR07000137.1			protein_coding
ENSRNOG00000018029	Doc2g	Doc2g	293654	protein_coding
ENSRNOG00000066660	ENSRNOG00000066660			protein_coding
ENSRNOG00000016356	Got1	Got1	24401	protein_coding
ENSRNOG00000070901	Irgq	Irgq	292708	protein_coding
ENSRNOG00000069093	ENSRNOG00000069093			protein_coding
ENSRNOG00000031391	Ceacam16	Ceacam16	292700	protein_coding
ENSRNOG00000070886	ENSRNOG00000070886			lncRNA
ENSRNOG00000009377	Nelfb	Nelfb	311796	protein_coding
ENSRNOG00000058651	AABR07004871.1			sncRNA
ENSRNOG00000015810	Trip13	Trip13	292206	protein_coding
ENSRNOG00000066169	ENSRNOG00000066169			protein_coding
ENSRNOG00000027204	Map6	Map6	29457	protein_coding
ENSRNOG00000022863	Lingo4	Lingo4	499668	protein_coding
ENSRNOG00000056005	U7	LOC120100212	120100212	sncRNA
ENSRNOG00000069847	ENSRNOG00000069847			lncRNA
ENSRNOG00000035453	Mir3596c	Mir3596c	100526599	sncRNA
ENSRNOG00000063396	SNORD115	LOC120100238	120100238	sncRNA
ENSRNOG00000062736	ENSRNOG00000062736			lncRNA
ENSRNOG00000017538	Lrrc27	Lrrc27	499281	protein_coding
ENSRNOG00000010349	Ghrl	Ghrl	59301	protein_coding
ENSRNOG00000068709	ENSRNOG00000068709			lncRNA
ENSRNOG00000069410	Olr218	Olr218	365340	protein_coding
ENSRNOG00000055477	U1	LOC120100189	120100189	sncRNA
ENSRNOG00000065199	Hoxa10	LOC100911668	100911668	protein_coding
ENSRNOG00000066157	ENSRNOG00000066157			lncRNA
ENSRNOG00000069518	ENSRNOG00000069518			lncRNA
ENSRNOG00000070280	ENSRNOG00000070280			lncRNA
ENSRNOG00000059537	U4			sncRNA
ENSRNOG00000013596	Dimt1	Dimt1	294718	protein_coding
ENSRNOG00000064304	Olr361	Olr361	365413	protein_coding
ENSRNOG00000035530	Mir192	Mir192	100314193	sncRNA
ENSRNOG00000055569	SNORD15	LOC120100225	120100225	sncRNA
ENSRNOG00000063599	ENSRNOG00000063599			lncRNA
ENSRNOG00000069804	SNORD116	LOC120100325	120100325	sncRNA
ENSRNOG00000014903	Zfyve27	Zfyve27	309376	protein_coding
ENSRNOG00000067237	ENSRNOG00000067237			lncRNA
ENSRNOG00000062707	ENSRNOG00000062707			lncRNA
ENSRNOG00000017748	Nkx6-2	Nkx6-2	309095	protein_coding
ENSRNOG00000015499	Serinc4	Serinc4	311358	protein_coding
ENSRNOG00000011160	Sv2b	Sv2b	117556	protein_coding
ENSRNOG00000070826	U6	LOC120100133	120100133	sncRNA
ENSRNOG00000016227	Glrx3	Glrx3	58815	protein_coding
ENSRNOG00000013395	Pglyrp1	Pglyrp1	84387	protein_coding
ENSRNOG00000066860	ENSRNOG00000066860	LOC120100366	120100366	sncRNA
ENSRNOG00000016906	Lipt2	Lipt2	365314	protein_coding
ENSRNOG00000069365	ENSRNOG00000069365			lncRNA
ENSRNOG00000062499	SNORD116	LOC120100326	120100326	sncRNA
ENSRNOG00000004753	Napb	Napb	499903	protein_coding
ENSRNOG00000067382	ENSRNOG00000067382			lncRNA
ENSRNOG00000015691	Inka2	Inka2	310764	protein_coding
ENSRNOG00000070448	ENSRNOG00000070448	LOC687092	687092	protein_coding
ENSRNOG00000067821	ENSRNOG00000067821			pseudogene
ENSRNOG00000020317	Rab5if	Rab5if	296315	protein_coding
ENSRNOG00000063062	ENSRNOG00000063062			lncRNA
ENSRNOG00000036303	Mir343	Mir343	100314183	sncRNA
ENSRNOG00000065307	ENSRNOG00000065307			pseudogene
ENSRNOG00000065290	Olr220	Olr220	365341	protein_coding
ENSRNOG00000065800	ENSRNOG00000065800			lncRNA
ENSRNOG00000067171	ENSRNOG00000067171			protein_coding
ENSRNOG00000021051	Cyth2	Cyth2	116692	protein_coding
ENSRNOG00000065902	ENSRNOG00000065902			lncRNA
ENSRNOG00000055366	Gm24154	LOC120100416	120100416	sncRNA
ENSRNOG00000063706	ENSRNOG00000063706			lncRNA
ENSRNOG00000052293	SNORD15	LOC120100226	120100226	sncRNA
ENSRNOG00000070096	Olr20	Olr20	293083	protein_coding
ENSRNOG00000062311	Olr530	Olr530	295786	protein_coding
ENSRNOG00000064522	SNORD115	LOC120100251	120100251	sncRNA
ENSRNOG00000035532	Mir101-2	Mir101-2	100313988	sncRNA
ENSRNOG00000010595	Rbm45	Rbm45	266631	protein_coding
ENSRNOG00000009830	Fam204a	Fam204a	308004	protein_coding
ENSRNOG00000069707	ENSRNOG00000069707			protein_coding
ENSRNOG00000069617	ENSRNOG00000069617			lncRNA
ENSRNOG00000066257	ENSRNOG00000066257			lncRNA
ENSRNOG00000063184	Olr221	Olr221	293367	protein_coding
ENSRNOG00000069135	ENSRNOG00000069135	LOC120100488	120100488	sncRNA
ENSRNOG00000071210	U2			sncRNA
ENSRNOG00000064137	ENSRNOG00000064137			lncRNA
ENSRNOG00000067491	ENSRNOG00000067491			protein_coding
ENSRNOG00000012742	Irx2	Irx2	306657	protein_coding
ENSRNOG00000020337	Sla2	Sla2	499931	protein_coding
ENSRNOG00000027582	Dpysl4	Dpysl4	25417	protein_coding
ENSRNOG00000064435	SNORD116	LOC120100317	120100317	sncRNA
ENSRNOG00000065990	Mir344a-2	Mir344a-2	100526627	sncRNA
ENSRNOG00000016408	Kirrel1	Kirrel1	310695	protein_coding
ENSRNOG00000070569	RGD1563562	RGD1563562	295012	protein_coding
ENSRNOG00000069092	ENSRNOG00000069092			lncRNA
ENSRNOG00000065122	Hypk	Hypk	311359	protein_coding
ENSRNOG00000065939	U6	LOC120100128	120100128	sncRNA
ENSRNOG00000070655	Olr532	Olr532	366102	protein_coding
ENSRNOG00000069837	ENSRNOG00000069837			protein_coding
ENSRNOG00000052521	AABR07001573.1	LOC120093055	120093055	sncRNA
ENSRNOG00000067619	ENSRNOG00000067619			lncRNA
ENSRNOG00000063387	Olr310	Olr310	405039	protein_coding
ENSRNOG00000062759	ENSRNOG00000062759			lncRNA
ENSRNOG00000008121	Slc13a1	Slc13a1	58980	protein_coding
ENSRNOG00000062791	SNORD115	LOC120100287	120100287	sncRNA
ENSRNOG00000064203	Olr825	Olr825	405214	protein_coding
ENSRNOG00000063324	Snora20	LOC120100365	120100365	sncRNA
ENSRNOG00000035616	Mir3574	Mir210	100314053	sncRNA
ENSRNOG00000069698	ENSRNOG00000069698	LOC108349467	108349467	lncRNA
ENSRNOG00000062446	ENSRNOG00000062446			lncRNA
ENSRNOG00000058041	U7	LOC120100215	120100215	sncRNA
ENSRNOG00000013790	Mfsd1	Mfsd1	361957	protein_coding
ENSRNOG00000008463	Rundc3b	Rundc3b	688590	protein_coding
ENSRNOG00000063227	ENSRNOG00000063227			lncRNA
ENSRNOG00000070996	Spred1	Spred1	296072	protein_coding
ENSRNOG00000062864	ENSRNOG00000062864	LOC120100659	120100659	lncRNA
ENSRNOG00000015184	Clic3	Clic3	296566	protein_coding
ENSRNOG00000020893	Snx27	Snx27	260323	protein_coding
ENSRNOG00000013767	Ccdc61	Ccdc61	292680	protein_coding
ENSRNOG00000064960	SNORD115	LOC120100254	120100254	sncRNA
ENSRNOG00000068207	ENSRNOG00000068207			lncRNA
ENSRNOG00000058299	U6	LOC120100170	120100170	sncRNA
ENSRNOG00000030782	Olr283	Olr283	405384	protein_coding
ENSRNOG00000070685	U6	LOC120100173	120100173	sncRNA
ENSRNOG00000060004	Mir3572	Mir3572	100526587	sncRNA
ENSRNOG00000069399	ENSRNOG00000069399			protein_coding
ENSRNOG00000067907	ENSRNOG00000067907			lncRNA
ENSRNOG00000016421	Tyr	Tyr	308800	protein_coding
ENSRNOG00000019455	Ap4b1	Ap4b1	310746	protein_coding
ENSRNOG00000065756	Mfap1a	Mfap1a	499878	protein_coding
ENSRNOG00000063196	ENSRNOG00000063196			lncRNA
ENSRNOG00000060273	AABR07006093.2			sncRNA
ENSRNOG00000068917	ENSRNOG00000068917			lncRNA
ENSRNOG00000051969	AABR07071864.1	LOC120100389	120100389	sncRNA
ENSRNOG00000070216	SNORD115	LOC120100252	120100252	sncRNA
ENSRNOG00000014726	Acsm4	Acsm4	353317	protein_coding
ENSRNOG00000004967	Snrpb2	Snrpb2	362223	protein_coding
ENSRNOG00000035654	Mir99b			sncRNA
ENSRNOG00000018334	Ctu1	Ctu1	292847	protein_coding
ENSRNOG00000023407	Mrpl36	Mrpl36	364656	protein_coding
ENSRNOG00000053392	AC095678.2			lncRNA
ENSRNOG00000069040	ENSRNOG00000069040	LOC120100403	120100403	sncRNA
ENSRNOG00000061890	Ust5r	Ust5r	171398	protein_coding
ENSRNOG00000010918	ENSRNOG00000010918			lncRNA
ENSRNOG00000030825	Olr533	Olr533	404876	protein_coding
ENSRNOG00000063357	ENSRNOG00000063357			protein_coding
ENSRNOG00000051780	AC129234.1	LOC120100462	120100462	sncRNA
ENSRNOG00000066483	SNORD116	LOC120100319	120100319	sncRNA
ENSRNOG00000067027	ENSRNOG00000067027	LOC108349691	108349691	protein_coding
ENSRNOG00000014258	Rab32	Rab32	365042	lncRNA
ENSRNOG00000035560	Mir150	Mir150	100314158	sncRNA
ENSRNOG00000014617	Tgoln2	Tgoln2	192152	protein_coding
ENSRNOG00000017366	Olr192	Olr192	365336	protein_coding
ENSRNOG00000010529	Thbs2	Thbs2	292406	protein_coding
ENSRNOG00000065221	Amy2a3	Amy2a3	497039	protein_coding
ENSRNOG00000012684	Bloc1s2	Bloc1s2	293938	protein_coding
ENSRNOG00000066968	ENSRNOG00000066968			lncRNA
ENSRNOG00000053012	AABR07006451.2	LOC120100427	120100427	sncRNA
ENSRNOG00000032699	Ttyh1	Ttyh1	292597	protein_coding
ENSRNOG00000018408	RGD1307554	RGD1307554	292739	protein_coding
ENSRNOG00000019416	ENSRNOG00000019416	Zfp61	499094	protein_coding
ENSRNOG00000007608	Fezf1	Fezf1	500048	protein_coding
ENSRNOG00000059864	Gm24794	LOC120100432	120100432	sncRNA
ENSRNOG00000053838	SNORD115	LOC120100288	120100288	sncRNA
ENSRNOG00000068567	ENSRNOG00000068567			lncRNA
ENSRNOG00000008980	Rbm48	Rbm48	296840	protein_coding
ENSRNOG00000066506	ENSRNOG00000066506			lncRNA
ENSRNOG00000063945	Mir6317-1	Mir6317-1	102465155	sncRNA
ENSRNOG00000056110	Olr500	Olr500	404884	protein_coding
ENSRNOG00000057261	Metazoa_SRP			sncRNA
ENSRNOG00000070161	ENSRNOG00000070161			protein_coding
ENSRNOG00000065242	ENSRNOG00000065242			lncRNA
ENSRNOG00000028721	Otor	Otor	366206	protein_coding
ENSRNOG00000015294	Paxx	Paxx	296565	protein_coding
ENSRNOG00000066101	Gm9999	LOC100911574	100911574	protein_coding
ENSRNOG00000013074	Wt1	Wt1	24883	protein_coding
ENSRNOG00000064622	ENSRNOG00000064622	LOC108350428	108350428	lncRNA
ENSRNOG00000036631	Ptgdr2	Ptgdr2	309212	protein_coding
ENSRNOG00000027016	Cobll1	Cobll1	311088	protein_coding
ENSRNOG00000062875	ENSRNOG00000062875			lncRNA
ENSRNOG00000066494	SNORD116	LOC120100331	120100331	sncRNA
ENSRNOG00000059820	AC110837.2	LOC120100360	120100360	sncRNA
ENSRNOG00000049846	Mir344g	Mir344g	102465154	sncRNA
ENSRNOG00000070965	ENSRNOG00000070965			lncRNA
ENSRNOG00000067771	ENSRNOG00000067771			protein_coding
ENSRNOG00000065570	ENSRNOG00000065570	LOC120100463	120100463	sncRNA
ENSRNOG00000063217	Rrlt	Rrlt	679825	protein_coding
ENSRNOG00000069752	ENSRNOG00000069752			lncRNA
ENSRNOG00000069390	ENSRNOG00000069390			protein_coding
ENSRNOG00000063736	ENSRNOG00000063736			protein_coding
ENSRNOG00000009468	Il12a	Il12a	84405	protein_coding
ENSRNOG00000016659	Habp2	Habp2	292126	protein_coding
ENSRNOG00000047406	RGD1308544	RGD1308544	361192	protein_coding
ENSRNOG00000070104	ENSRNOG00000070104			lncRNA
ENSRNOG00000014946	Thumpd1	Thumpd1	309041	protein_coding
ENSRNOG00000009135	1700109H08Rik	LOC500007	500007	protein_coding
ENSRNOG00000067778	Olr514	Olr514	295767	protein_coding
ENSRNOG00000069614	SNORD116	LOC120100327	120100327	sncRNA
ENSRNOG00000069896	U6	LOC120100132	120100132	sncRNA
ENSRNOG00000067200	ENSRNOG00000067200			lncRNA
ENSRNOG00000031110	Olr53	Olr53	405378	protein_coding
ENSRNOG00000035565	Mir330	Mir330	100313974	sncRNA
ENSRNOG00000058224	RNaseP_nuc			sncRNA
ENSRNOG00000067930	ENSRNOG00000067930			lncRNA
ENSRNOG00000067832	ENSRNOG00000067832	LOC102554288	102554288	protein_coding
ENSRNOG00000016597	AABR07006081.1			protein_coding
ENSRNOG00000020318	Pnkp	Pnkp	308576	protein_coding
ENSRNOG00000010628	Sec13	Sec13	297522	protein_coding
ENSRNOG00000022491	Wdr76	Wdr76	311361	protein_coding
ENSRNOG00000064367	SNORD115	LOC120100237	120100237	sncRNA
ENSRNOG00000064092	U6	LOC120100155	120100155	sncRNA
ENSRNOG00000064252	ENSRNOG00000064252			lncRNA
ENSRNOG00000068454	U6	LOC120100121	120100121	sncRNA
ENSRNOG00000067132	Mir344i	Mir344i	102466148	sncRNA
ENSRNOG00000069628	ENSRNOG00000069628			lncRNA
ENSRNOG00000067999	ENSRNOG00000067999			pseudogene
ENSRNOG00000062564	ENSRNOG00000062564	LOC120098765	120098765	protein_coding
