Gene stable ID	Gene Name	Xenbase ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSXETG00000034361	nd1	XB-GENE-6466716	ND1	3283492	protein_coding
ENSXETG00000034365	nd2	XB-GENE-6454984	ND2	3283493	protein_coding
ENSXETG00000034371	COX1		COX1	3283494	protein_coding
ENSXETG00000034374	cox2	XB-GENE-22250304	COX2	3283495	protein_coding
ENSXETG00000034376	ATP8		ATP8	3283496	protein_coding
ENSXETG00000034377	ATP6		ATP6	3283497	protein_coding
ENSXETG00000034378	cox3	XB-GENE-6485458	COX3	3283498	protein_coding
ENSXETG00000034380	nd3	XB-GENE-6485496	ND3	3283499	protein_coding
ENSXETG00000034382	nd4l	XB-GENE-6454958	ND4L	3283500	protein_coding
ENSXETG00000034383	nd4	XB-GENE-6454957	ND4	3283501	protein_coding
ENSXETG00000034387	nd5	XB-GENE-6454956	ND5	3283502	protein_coding
ENSXETG00000034388	nd6	XB-GENE-6454955	ND6	3283503	protein_coding
ENSXETG00000034390	cytb	XB-GENE-6454954	CYTB	3283504	protein_coding
ENSXETG00000047232	ENSXETG00000047232				protein_coding
ENSXETG00000047867	ENSXETG00000047867		LOC100493914	100493914	protein_coding
ENSXETG00000046667	ENSXETG00000046667				protein_coding
ENSXETG00000036341	fat4	XB-GENE-981052	fat4	100145590	protein_coding
ENSXETG00000044936	npffr2	XB-GENE-994428	npffr2	100498122	protein_coding
ENSXETG00000047955	ENSXETG00000047955				protein_coding
ENSXETG00000042071	ENSXETG00000042071				protein_coding
ENSXETG00000048632	ENSXETG00000048632				protein_coding
ENSXETG00000043217	ENSXETG00000043217				protein_coding
ENSXETG00000044905	ENSXETG00000044905				protein_coding
ENSXETG00000041504	ENSXETG00000041504				protein_coding
ENSXETG00000048207	ENSXETG00000048207				protein_coding
ENSXETG00000048837	ENSXETG00000048837				protein_coding
ENSXETG00000046504	ENSXETG00000046504				protein_coding
ENSXETG00000042580	ENSXETG00000042580				protein_coding
ENSXETG00000044746	ENSXETG00000044746				protein_coding
ENSXETG00000013654	lingo3	XB-GENE-6051175	lingo3	100497438	protein_coding
ENSXETG00000026093	fga	XB-GENE-478771	fga	100038060	protein_coding
ENSXETG00000022431	fgb	XB-GENE-483216	fgb	594921	protein_coding
ENSXETG00000022434	plrg1	XB-GENE-964754	plrg1	394977	protein_coding
ENSXETG00000039430	ENSXETG00000039430		LOC105945457	105945457	protein_coding
ENSXETG00000027610	naaa	XB-GENE-1006650	naaa	448239	protein_coding
