	Gene1	Gene2	EdgeWeight
0	Mki67	Aspm	109.729763834163
1	Mki67	Cenpf	109.729763834163
2	Top2a	Efcab11	108.16254414281524
3	Top2a	Lockd	106.59973838925514
4	Adarb1	Cdh11	105.04138356506986
5	Cmss1	Lars2	105.04138356506986
6	Hells	Wdhd1	103.48752906875735
7	Top2a	Nusap1	100.3935004024871
8	Adarb1	Bmpr1b	97.31803554100532
9	Adarb1	Btbd11	95.78738630335496
10	Top2a	Ccn1	94.2615524225692
11	Mki67	Ccne2	92.7405494762835
12	Top2a	Immp2l	89.71331903064507
13	Mki67	Top2a	88.20720922319171
14	Top2a	Mki67	85.21027125812947
17	Top2a	Cenpf	82.23411546910752
15	Lima1	Ebf1	82.23411546910752
16	Top2a	Wwox	82.23411546910752
18	Hells	Top2a	80.75399409592397
19	Top2a	Hells	80.75399409592397
20	Top2a	Ankrd1	79.27926202298157
21	Lyar	Palld	77.80997662023312
22	Taco1	Lars2	77.80997662023312
23	Mthfd1l	Btbd11	73.43561803594245
24	Top2a	Nav3	70.54798343403745
25	Top2a	Rgs20	70.54798343403745
26	Nav3	Top2a	70.54798343403745
27	Hells	Nasp	69.11297942050012
28	Cmss1	Taco1	69.11297942050012
29	Nasp	Hells	69.11297942050012
30	Rps4x	Eif5a	69.11297942050012
32	Eif5a	Rps4x	67.68396671787434
31	Taco1	Cmss1	67.68396671787434
33	Cmss1	Mir6236	66.26100551700345
34	Nav3	Ankrd1	64.84420864764239
35	Adarb1	Ppp2r2b	63.43365680178172
36	Adarb1	Ebf1	63.43365680178172
37	Adarb1	Cacnb2	63.43365680178172
38	Hells	Ccne2	63.43365680178172
39	Adarb1	Nmnat2	62.029429989076576
40	Adarb1	Rnf150	62.029429989076576
41	Heatr3	Bmpr1b	59.24036236815131
42	Hells	Mcm10	59.24036236815131
43	Calr	Cacnb2	59.24036236815131
44	Msh2	Wdhd1	59.24036236815131
45	Adarb1	Col4a5	59.24036236815131
46	Taco1	Mir6236	59.24036236815131
47	Mrpl1	Trmt1l	59.24036236815131
50	Tra2b	Cdh18	57.85570607280147
48	Fn1	Tnc	57.85570607280147
49	Calr	Bmpr1b	57.85570607280147
51	Lima1	Pdlim5	56.47777753500375
52	Top2a	Thbs1	56.47777753500375
53	Adarb1	Cdh6	56.47777753500375
54	Trmt1l	Mrpl1	56.47777753500375
55	Nav3	Nkain2	56.47777753500375
56	Top2a	Tra2b	55.106682188383886
57	Top2a	Inhba	55.106682188383886
58	Tra2b	Top2a	55.106682188383886
59	Spout1	Nhp2	55.106682188383886
60	Nhp2	Spout1	55.106682188383886
63	Rrp9	Gorab	53.74251342092612
64	Rpl18	Utp14b	53.74251342092612
62	Lima1	Has2	53.74251342092612
61	Utp14b	Rpl18	53.74251342092612
66	Adarb1	Unc5c	52.38540858432125
65	Adarb1	Col8a1	52.38540858432125
67	Adarb1	Wwox	51.035471671341135
68	Wdr36	Palld	49.69282498795965
69	Adarb1	E2f2	48.35758494663895
70	Top2a	Lingo2	48.35758494663895
71	Sumo2	Rpl27	48.35758494663895
72	Rps5	Ptma	47.02988102541543
73	Calr	Ebf1	47.02988102541543
74	Msh2	Zfp367	47.02988102541543
78	Hspb1	Ccdc73	45.70985404535219
79	Eif5a	Gapdh	45.70985404535219
80	Gapdh	Eif5a	45.70985404535219
76	Ptma	Rps5	45.70985404535219
75	Mettl1	Ifi211	45.70985404535219
77	Zc3h12a	Spice1	45.70985404535219
81	Cfl1	Slc25a4	44.39763610888723
82	Slc25a4	Cfl1	44.39763610888723
83	Hnrnph3	Gm40841	44.39763610888723
84	Mki67	Ptgs2	44.39763610888723
85	Lima1	Slc8a1	43.09337947379004
86	Igf2bp2	Brinp3	43.09337947379004
87	Rpl27	Sumo2	43.09337947379004
88	Calr	Prkg1	43.09337947379004
91	Lyar	Gfra1	41.79721208496616
92	Mthfd1l	Nmnat2	41.79721208496616
90	Top2a	Adam12	41.79721208496616
89	Spout1	Vps18	41.79721208496616
99	Rbm20	Col12a1	40.50931128328681
97	Slc25a4	Rpl23	40.50931128328681
98	Uhmk1	Hgf	40.50931128328681
94	Top2a	Wdpcp	40.50931128328681
96	Magohb	Atp5d	40.50931128328681
93	Uba52	Gm49356	40.50931128328681
95	Rpl23	Slc25a4	40.50931128328681
105	Lima1	Pde7b	39.22982572185251
109	Utp3	Ercc8	39.22982572185251
107	Slirp	Tvp23b	39.22982572185251
106	Dhx35	Naa60	39.22982572185251
108	Trir	Gm20125	39.22982572185251
104	Cdk11b	Mecom	39.22982572185251
103	Rbm41	Coq2	39.22982572185251
102	Nav3	Adam12	39.22982572185251
101	Top2a	Egr1	39.22982572185251
100	Nsa2	Ptma	39.22982572185251
110	Trir	Prkg1	37.95892328028452
111	Utp14b	Gorab	37.95892328028452
112	Abcf1	Pepd	37.95892328028452
113	Rpl8	Calr	37.95892328028452
114	Wrap53	Rrp36	37.95892328028452
115	Rrp36	Wrap53	37.95892328028452
116	Rps29	Kif26b	37.95892328028452
128	Adarb1	Hgf	36.69676073134801
126	Rps3	Gapdh	36.69676073134801
127	Gapdh	Rps3	36.69676073134801
124	Top2a	Efna5	36.69676073134801
129	Eif1	Rack1	36.69676073134801
130	Rack1	Eif1	36.69676073134801
125	Atp1b1	Sulf1	36.69676073134801
120	Rbm14	Donson	36.69676073134801
123	Prpf38a	Sub1	36.69676073134801
121	Mki67	Efna5	36.69676073134801
117	Fn1	Akap12	36.69676073134801
119	Isy1	Smn1	36.69676073134801
118	Nasp	Immp2l	36.69676073134801
122	Calr	Rpl8	36.69676073134801
137	Ddx31	Pparg	35.443540698979255
141	Eif5a	Cfl1	35.443540698979255
140	Cfl1	Eif5a	35.443540698979255
139	Utp14b	Pepd	35.443540698979255
138	Rpl7a	Rps5	35.443540698979255
142	Eif5a	Rpl8	35.443540698979255
136	Rps5	Rpl7a	35.443540698979255
135	Enox1	Fhl1	35.443540698979255
134	Drg1	Nudt21	35.443540698979255
133	Isy1	Zfp217	35.443540698979255
132	Top2a	Nrg1	35.443540698979255
131	Adarb1	Setbp1	35.443540698979255
152	Rpl8	Eif5a	34.199447874994995
151	Isy1	Mrps15	34.199447874994995
150	Ptma	Nsa2	34.199447874994995
149	Stau1	Tmem167	34.199447874994995
148	Mrpl28	Rpl34	34.199447874994995
147	Adarb1	Eya1	34.199447874994995
146	Rrp9	Gpatch11	34.199447874994995
145	Mrps28	Rrp15	34.199447874994995
144	Srp68	Rps13	34.199447874994995
143	Nudt21	Drg1	34.199447874994995
159	Yju2	Zfp438	32.96465032347701
164	Adarb1	Gfra1	32.96465032347701
163	Exosc2	Mrps35	32.96465032347701
162	Tra2b	Kirrel3	32.96465032347701
161	Wdr36	Errfi1	32.96465032347701
160	Pwp1	Snrpf	32.96465032347701
158	Nasp	Adamts6	32.96465032347701
156	Hells	Sh3bgrl	32.96465032347701
155	Adarb1	Wdr36	32.96465032347701
154	Nsun6	Isy1	32.96465032347701
153	Mki67	Nusap1	32.96465032347701
157	Fam120c	Cacnb2	32.96465032347701
175	Rpl34	Mrpl28	31.73940395769809
173	Eif4e2	Nusap1	31.73940395769809
180	Hdac1	Clpp	31.73940395769809
179	Lyar	Cdh18	31.73940395769809
178	Cfl1	Rack1	31.73940395769809
177	Rack1	Cfl1	31.73940395769809
176	Calr	Junb	31.73940395769809
174	Rpl7a	Rps26	31.73940395769809
172	Mthfd1l	Cdh18	31.73940395769809
171	Nhp2	Tvp23b	31.73940395769809
170	Prkra	Mrpl19	31.73940395769809
169	Mrps6	Areg	31.73940395769809
168	Wdr36	Adarb1	31.73940395769809
167	Rps26	Rpl7a	31.73940395769809
166	Mettl1	Crebrf	31.73940395769809
165	Rps13	Srp68	31.73940395769809
196	Sec63	Kirrel3	30.523864263449003
193	Mrps35	Exosc2	30.523864263449003
194	Nasp	Wwox	30.523864263449003
195	Hspa5	Rnmt	30.523864263449003
191	Snrpf	Pwp1	30.523864263449003
197	Rpl18	Coq2	30.523864263449003
198	Tial1	Drg1	30.523864263449003
199	Phb	Srxn1	30.523864263449003
200	Drg1	Tial1	30.523864263449003
192	Calr	Neat1	30.523864263449003
183	Nudt21	Cdh11	30.523864263449003
190	Msh2	Tceal9	30.523864263449003
188	Trir	Plcb1	30.523864263449003
187	Sub1	Prpf38a	30.523864263449003
186	Igf2bp2	Bmpr1b	30.523864263449003
185	Mrpl19	Prkra	30.523864263449003
184	Wdr36	Unc5c	30.523864263449003
182	Igf2bp2	Adarb1	30.523864263449003
181	Lima1	Col12a1	30.523864263449003
189	Rpl12	Col12a1	30.523864263449003
221	Calr	Eif5a	29.318288531598192
217	Fam50a	Gm49356	29.318288531598192
218	Adarb1	Tafa2	29.318288531598192
219	Hk2	Gulp1	29.318288531598192
220	Sumo2	Mki67	29.318288531598192
225	Pura	Heatr3	29.318288531598192
222	Eif5a	Calr	29.318288531598192
223	Rae1	Peli2	29.318288531598192
224	Heatr3	Pura	29.318288531598192
214	Nasp	Ndst4	29.318288531598192
226	Exosc2	Spryd3	29.318288531598192
215	Smn1	Isy1	29.318288531598192
216	Hk2	Hgf	29.318288531598192
213	Hic2	Donson	29.318288531598192
206	Anp32b	Eya1	29.318288531598192
212	Cfl1	Rps3	29.318288531598192
201	Lima1	Prkg1	29.318288531598192
202	Mki67	Chchd4	29.318288531598192
203	Adarb1	Igf2bp2	29.318288531598192
205	Adarb1	Ptn	29.318288531598192
204	Adarb1	Galnt18	29.318288531598192
207	Rrp15	Mrps28	29.318288531598192
208	Nudt21	Unc5c	29.318288531598192
209	Srp68	Brinp3	29.318288531598192
210	Top2a	Egr3	29.318288531598192
211	Rps3	Cfl1	29.318288531598192
248	Adarb1	Piezo2	28.12289368917789
243	Mki67	Sumo2	28.12289368917789
244	Adarb1	Slit2	28.12289368917789
245	Trir	Sulf1	28.12289368917789
246	Eif3j1	Wwox	28.12289368917789
247	Mrpl28	Dhx35	28.12289368917789
241	Gapdh	Rps8	28.12289368917789
249	Hspa5	Thbs1	28.12289368917789
250	Igf2bp2	Lrp2	28.12289368917789
251	Rpl36a	Atp5d	28.12289368917789
252	Mrpl28	Pdhx	28.12289368917789
253	Calr	Pdgfc	28.12289368917789
254	Rps3	Neat1	28.12289368917789
242	Ddx31	Cmss1	28.12289368917789
230	Pwp1	Purg	28.12289368917789
240	Rpl36a	Mrps28	28.12289368917789
233	Ptma	Eif5a	28.12289368917789
228	Igf2bp2	Piezo2	28.12289368917789
229	Igf2bp2	Nudt21	28.12289368917789
227	Lima1	Cdh18	28.12289368917789
231	Gtpbp1	Rps17	28.12289368917789
232	Heatr3	Ccser1	28.12289368917789
239	Eif5a	Ptma	28.12289368917789
234	Purg	Pwp1	28.12289368917789
236	Hspa5	Slx4ip	28.12289368917789
237	Hspa5	Immp2l	28.12289368917789
238	Nvl	Peli2	28.12289368917789
235	Snrpf	Sema6a	28.12289368917789
264	Wdr36	Angpt1	26.937944752624645
273	Scaf1	Rps11	26.937944752624645
272	Rpl34	Btbd1	26.937944752624645
271	Mrpl12	Gm49356	26.937944752624645
270	Snrpb	Rps26	26.937944752624645
269	Rps26	Snrpb	26.937944752624645
267	Rps29	Sinhcaf	26.937944752624645
266	Mthfd1l	Ccbe1	26.937944752624645
265	Nasp	Rfc2	26.937944752624645
268	Rbm41	Slx4ip	26.937944752624645
263	Spout1	Exosc2	26.937944752624645
261	Trir	Bmpr1b	26.937944752624645
260	Hspa5	Tmeff2	26.937944752624645
259	Yars	Plekhh2	26.937944752624645
258	Rps8	Gapdh	26.937944752624645
257	Nudt21	Igf2bp2	26.937944752624645
256	Rps27a	Igf2bp2	26.937944752624645
255	Trir	Junb	26.937944752624645
262	Rps29	Mtfr1	26.937944752624645
292	Hspb1	Pdcd4	25.763664314046093
288	Enox1	Tmtc2	25.763664314046093
289	Rps24	Abcf1	25.763664314046093
290	Rnmt	Hspa5	25.763664314046093
291	Hic2	Zfp367	25.763664314046093
298	Sdad1	Wdr36	25.763664314046093
293	Abcf1	Rps24	25.763664314046093
294	Pdcd4	Hspb1	25.763664314046093
296	Thoc1	Hk2	25.763664314046093
297	Hk2	Thoc1	25.763664314046093
286	Sumo2	Tmed8	25.763664314046093
287	Slc25a5	Cfl1	25.763664314046093
299	Ppie	Mrpl28	25.763664314046093
285	Cfl1	Slc25a5	25.763664314046093
278	Cmss1	Ddx31	25.763664314046093
284	Lsg1	Gfra1	25.763664314046093
274	Lima1	Nox4	25.763664314046093
275	Rps17	Gtpbp1	25.763664314046093
276	Top2a	Aspm	25.763664314046093
277	Utp14b	Rbm41	25.763664314046093
295	Adarb1	Brinp3	25.763664314046093
280	Rbm41	Utp14b	25.763664314046093
281	Uhmk1	Akap12	25.763664314046093
282	Mettl1	Glt28d2	25.763664314046093
283	Dhx35	Mrpl28	25.763664314046093
279	Mrpl9	Rpl22l1	25.763664314046093
322	Adarb1	Calr	24.600343581432643
325	Yju2	Srp19	24.600343581432643
319	Rfc2	Tead2	24.600343581432643
320	Lima1	Ryr3	24.600343581432643
321	Rpl5	Eif1	24.600343581432643
323	Eif1	Rpl5	24.600343581432643
324	Calr	Adarb1	24.600343581432643
327	Prkra	Scaf1	24.600343581432643
326	Isy1	Nsun6	24.600343581432643
316	Wdr36	Gulp1	24.600343581432643
328	Mrps15	Isy1	24.600343581432643
329	Tpi1	Tars2	24.600343581432643
330	Wdr36	Sdad1	24.600343581432643
331	Calr	Mars1	24.600343581432643
332	Mars1	Calr	24.600343581432643
317	Utp6	Zfp367	24.600343581432643
318	Acat1	Gigyf1	24.600343581432643
315	Thoc2l	Rnf169	24.600343581432643
306	Gcn1	Akap12	24.600343581432643
314	Heatr3	Pcdh7	24.600343581432643
300	Mettl1	Il13ra1	24.600343581432643
301	Wdr36	Col4a5	24.600343581432643
302	Lyar	Rps5	24.600343581432643
303	Rrp36	Gm40841	24.600343581432643
305	Rps5	Lyar	24.600343581432643
304	Mrps6	Btbd11	24.600343581432643
307	Apobec3	Rpl34	24.600343581432643
308	Nudt21	Col12a1	24.600343581432643
309	Calr	Mcm5	24.600343581432643
310	Tet2	Robo2	24.600343581432643
311	Ldha	Tpt1	24.600343581432643
312	Gapdh	Ppp1ca	24.600343581432643
313	Mcm5	Calr	24.600343581432643
358	Exosc2	Spout1	23.44826950911245
352	Rpl7a	Atp5pb	23.44826950911245
353	Park7	Bcl6	23.44826950911245
354	Hells	Btbd11	23.44826950911245
355	Calr	Piezo2	23.44826950911245
356	Nkap	Errfi1	23.44826950911245
357	Gigyf1	Acat1	23.44826950911245
366	Top2a	Col8a1	23.44826950911245
359	Utp6	Pdgfc	23.44826950911245
360	Rbm20	Pdgfc	23.44826950911245
361	Rps4x	Cdk11b	23.44826950911245
362	Cdk11b	Rps4x	23.44826950911245
363	Scaf1	Prkra	23.44826950911245
364	Purg	Vps18	23.44826950911245
365	Rps11	Scaf1	23.44826950911245
350	Mrpl37	Rpl36a	23.44826950911245
351	Rfc2	Nasp	23.44826950911245
349	Rps8	Arpc1b	23.44826950911245
340	Purg	Zfp438	23.44826950911245
348	Ppp1ca	Gapdh	23.44826950911245
333	Lima1	Slit2	23.44826950911245
334	Igf2bp2	Rps27a	23.44826950911245
335	Uba52	Zfp438	23.44826950911245
337	Rpl22l1	Mrpl9	23.44826950911245
338	Rpl14	Eif5a	23.44826950911245
339	Mrps28	Rpl36a	23.44826950911245
336	Wdr36	Kif26b	23.44826950911245
341	Purg	Akap12	23.44826950911245
342	Hk2	Akap12	23.44826950911245
343	Srp19	Yju2	23.44826950911245
344	Mki67	Rpl22l1	23.44826950911245
345	Igf2bp2	Setbp1	23.44826950911245
346	Arpc1b	Rps8	23.44826950911245
347	Atp5pb	Rpl7a	23.44826950911245
396	Rbm14	Vps18	22.30771723698546
388	Atp1b1	Tmeff2	22.30771723698546
389	Rbm41	Rpl27	22.30771723698546
390	Drg2	Ryr3	22.30771723698546
391	Tpt1	Ldha	22.30771723698546
392	Adarb1	Kcnc2	22.30771723698546
393	Zfp36l1	Spout1	22.30771723698546
394	Nsrp1	Npas3	22.30771723698546
395	Scaf1	Reck	22.30771723698546
404	Pus7l	Adamtsl3	22.30771723698546
397	Ddx31	Zfp217	22.30771723698546
398	Uhmk1	Gigyf1	22.30771723698546
399	Top2a	Mthfd1l	22.30771723698546
400	Utp14b	Mkrn2	22.30771723698546
401	Mthfd1l	Top2a	22.30771723698546
402	Lsg1	Hdac1	22.30771723698546
403	Ptcd1	Gm20342	22.30771723698546
386	Slirp	Pdhx	22.30771723698546
387	Mcm3	Hspa5	22.30771723698546
385	Mrpl28	Ppie	22.30771723698546
368	Top2a	Pacrg	22.30771723698546
375	Rpl34	Donson	22.30771723698546
367	Calr	Sulf1	22.30771723698546
384	Mrpl21	Nhp2	22.30771723698546
369	Nasp	Zfp367	22.30771723698546
370	Hk2	Angpt1	22.30771723698546
371	Eif5a	Rpl14	22.30771723698546
372	Tra2b	Pde10a	22.30771723698546
374	Sod1	Clpp	22.30771723698546
373	Rbm41	Tmed8	22.30771723698546
376	Rps15a	Hgf	22.30771723698546
377	Heatr3	Tafa2	22.30771723698546
378	Heatr3	Ppm1d	22.30771723698546
379	Srp68	Enox1	22.30771723698546
380	Eif3j1	Prdx4	22.30771723698546
381	Wdr36	Ccbe1	22.30771723698546
382	Top2a	Adamts6	22.30771723698546
383	Hspb1	Tceal9	22.30771723698546
430	Phb	Papolg	21.17902394049849
424	Nav3	Col8a1	21.17902394049849
425	Sub1	Tceal9	21.17902394049849
426	Rps26	Adam12	21.17902394049849
427	Glyr1	Donson	21.17902394049849
428	Slirp	Mrpl28	21.17902394049849
429	Eif3j1	Wdhd1	21.17902394049849
422	Hspa5	Mcm3	21.17902394049849
431	Enox1	Lsg1	21.17902394049849
432	Hdac1	Lsg1	21.17902394049849
433	Mtrf1l	Lurap1l	21.17902394049849
434	Rps29	Zfp397	21.17902394049849
435	Purg	Hic2	21.17902394049849
436	Eif1	Ldha	21.17902394049849
437	Ldha	Eif1	21.17902394049849
423	Ybx1	Sulf1	21.17902394049849
405	Igf2bp2	Rbm20	21.17902394049849
421	Mrpl28	Reck	21.17902394049849
412	Rpl34	Poldip3	21.17902394049849
420	Phb	Ccdc163	21.17902394049849
406	Fn1	Atp1b1	21.17902394049849
407	Glyr1	Egfr	21.17902394049849
409	Nasp	Tra2b	21.17902394049849
410	Eif4e2	Gulp1	21.17902394049849
411	Atp1b1	Fn1	21.17902394049849
408	Acat1	Cep162	21.17902394049849
413	Rpl34	Apobec3	21.17902394049849
415	Trir	Unc5c	21.17902394049849
416	Glyr1	Ebf1	21.17902394049849
417	Prorp	Rps29	21.17902394049849
418	Tubb2a	Adam12	21.17902394049849
414	Prdx4	Eif3j1	21.17902394049849
419	Nhp2	Mrpl21	21.17902394049849
467	Lyar	Arhgap28	20.062502168237256
471	Rps8	Rpl14	20.062502168237256
470	Prorp	Pgk1	20.062502168237256
469	Rpl14	Rps8	20.062502168237256
468	Lyar	Atp1b1	20.062502168237256
465	Heatr3	Angpt1	20.062502168237256
466	Spout1	Zfp36l1	20.062502168237256
464	Mki67	Pdzrn3	20.062502168237256
463	Enox1	Srp68	20.062502168237256
473	Pgk1	Prorp	20.062502168237256
472	Mrpl37	P4ha3	20.062502168237256
481	Mki67	Gfra1	20.062502168237256
474	Lsg1	Ccdc73	20.062502168237256
475	Nkap	Creb5	20.062502168237256
476	Cwc15	Tvp23b	20.062502168237256
477	Hdac1	Slc35b3	20.062502168237256
478	Nav3	Mcm5	20.062502168237256
479	Fam120c	Slit2	20.062502168237256
480	Lima1	B3galt1	20.062502168237256
482	Rps27l	Fhl1	20.062502168237256
483	Samhd1	Tars2	20.062502168237256
461	Rbm20	Fn1	20.062502168237256
462	Rpl7a	Rpl5	20.062502168237256
455	Hells	Cep112	20.062502168237256
460	Rpl36a	Mrpl37	20.062502168237256
448	Rps4x	Junb	20.062502168237256
459	Slirp	Gm10115	20.062502168237256
439	Adarb1	Nod2	20.062502168237256
440	Trir	Neat1	20.062502168237256
441	Anp32b	Fn1	20.062502168237256
443	Papolg	Phb	20.062502168237256
444	Phb	Srp19	20.062502168237256
445	Rfc2	Hic2	20.062502168237256
446	Rbm20	Igf2bp2	20.062502168237256
447	Adar	Eif1	20.062502168237256
442	Rpl18	Ubc	20.062502168237256
449	Tra2b	Nasp	20.062502168237256
451	Lima1	Inhba	20.062502168237256
452	Rpl5	Rpl7a	20.062502168237256
453	Rpl8	Rpl14	20.062502168237256
454	Mettl1	Cc2d2a	20.062502168237256
438	Igf2bp2	Lama2	20.062502168237256
456	Rpl22l1	Mki67	20.062502168237256
457	Papolg	Rbm14	20.062502168237256
458	Nasp	Tmem167	20.062502168237256
450	Lima1	Col8a1	20.062502168237256
523	Samhd1	Msrb3	18.958528359386253
528	Rpl36a	Srp19	18.958528359386253
527	Zfp36l1	Snrpf	18.958528359386253
526	Top2a	Tmtc2	18.958528359386253
525	Tars2	Rpl34	18.958528359386253
524	Atp1b1	Unc5c	18.958528359386253
517	Atp5pb	Hdgf	18.958528359386253
522	Eif5a	Neat1	18.958528359386253
521	Ybx1	Palld	18.958528359386253
520	Rbm4b	Rpl22l1	18.958528359386253
519	Prorp	Ercc8	18.958528359386253
516	Rps29	Prorp	18.958528359386253
530	Trir	Rps26	18.958528359386253
529	Atp1b1	Lyar	18.958528359386253
541	Nudt21	Sulf1	18.958528359386253
531	Rpl27	Rbm41	18.958528359386253
532	Lsg1	Enox1	18.958528359386253
533	Top2a	Ccne2	18.958528359386253
534	Top2a	Lurap1l	18.958528359386253
535	Rpl12	Rps29	18.958528359386253
536	Gigyf1	Uhmk1	18.958528359386253
537	Trmt1l	Sh3bgrl	18.958528359386253
538	Tars2	Tpi1	18.958528359386253
539	Snrpf	Gm10115	18.958528359386253
540	Mrps15	Glt28d2	18.958528359386253
514	Enox1	Ankrd1	18.958528359386253
542	Samhd1	Dusp3	18.958528359386253
543	Strbp	Zfp397	18.958528359386253
544	Tars2	Samhd1	18.958528359386253
515	Fn1	Rbm20	18.958528359386253
518	Hdgf	Atp5pb	18.958528359386253
513	Tra2b	Ttc17	18.958528359386253
498	Rpl22l1	Rrp36	18.958528359386253
484	Mki67	Wdhd1	18.958528359386253
512	Tra2b	Gorab	18.958528359386253
486	Igf2bp2	Unc5c	18.958528359386253
487	Dcp1b	Zfp217	18.958528359386253
488	Sub1	Rps17	18.958528359386253
489	Fn1	Anp32b	18.958528359386253
490	Adarb1	Trir	18.958528359386253
491	Trir	Adarb1	18.958528359386253
492	Trir	Lrrc4c	18.958528359386253
493	Anp32b	Wdpcp	18.958528359386253
494	Nudt21	Setbp1	18.958528359386253
495	Calr	Setbp1	18.958528359386253
496	Spout1	Smyd4	18.958528359386253
497	Spout1	Mcoln1	18.958528359386253
485	Rps17	Atp5pb	18.958528359386253
499	Top2a	Plk2	18.958528359386253
506	Mrpl19	Rbm14	18.958528359386253
500	Atp5pb	Rps17	18.958528359386253
510	Mars1	Mrpl19	18.958528359386253
509	Rbm14	Mrpl19	18.958528359386253
508	Adar	Wdpcp	18.958528359386253
507	Rpl36a	Rps27l	18.958528359386253
511	Sumo2	Rrp36	18.958528359386253
505	Srp19	Phb	18.958528359386253
503	Prorp	Mrpl1	18.958528359386253
502	Zc3h12a	Cc2d2a	18.958528359386253
501	Rps3	Cox4i1	18.958528359386253
504	Cfl1	Ybx1	18.958528359386253
582	Rpl22l1	Lypla2	17.867420152340262
587	Rbm41	Patj	17.867420152340262
586	Rps26	Trir	17.867420152340262
585	Nasp	Pdgfc	17.867420152340262
584	Purg	Gtf2f1	17.867420152340262
583	Gtf2f1	Purg	17.867420152340262
580	Eif1	Adar	17.867420152340262
581	Spout1	Crebrf	17.867420152340262
579	Lima1	Slc1a3	17.867420152340262
578	Poldip3	Rpl34	17.867420152340262
577	Rbm14	Papolg	17.867420152340262
590	Atp5pb	Rack1	17.867420152340262
576	Mthfd1l	Ndst3	17.867420152340262
588	Rpl27	Srxn1	17.867420152340262
596	Atp1b1	Clpp	17.867420152340262
591	Snrpf	Ccdc73	17.867420152340262
592	Rpl36a	Gm38211	17.867420152340262
593	Rfc2	F3	17.867420152340262
594	Dlat	Tnc	17.867420152340262
595	Cfl1	Rpl14	17.867420152340262
597	Adarb1	Lingo2	17.867420152340262
598	Adarb1	Atp1b1	17.867420152340262
599	Rbm14	Mtfr1	17.867420152340262
600	Hic2	Purg	17.867420152340262
601	Rnmt	Nasp	17.867420152340262
602	Nasp	Rnmt	17.867420152340262
603	Purg	Papolg	17.867420152340262
574	Rps5	Zfp397	17.867420152340262
