	accession_number	protein_name
1	A0A087WPF7	Auts2
2	A0A088MLT8	Iqcj-Schip1
3	A0A0A7EPL0	PIAL1
4	A0A0B4J1F4	Arrdc4
5	A0A0B4J1G0	Fcgr4
6	A0A0B4J1N3	Gpr15lg
9	A0A0C5B5G6	MT-RNR1
10	A0A0G2JDV3	Gbp6
11	A0A0H2UNG0	spuA
12	A0A0H2URK1	psrP
13	A0A0H2ZL64	spuA
14	A0A0H3GDH9	pgdA
17	A0A0U1RPR8	Gucy2d
18	A0A140H546	MAF1b1
19	A0A140LI88	Ankrd31
20	A0A140LIF8	Irgm2
21	A0A178VEK7	DUO1
22	A0A178WF56	CYSTM3
23	A0A1D9BZF0	Gcna
24	A0A1I9LMX5	CEP9
25	A0A1I9LN01	LAF3
27	A0A1P8AQ95	STMP4
28	A0A1P8ASY1	JHS1
29	A0A1P8AUY4	MDN1
30	A0A1P8AW69	KTN80.1
31	A0A1W2P872	Nova2
32	A0A2R8VHR8	Ddit3
33	A0A3Q0NBH7	pgdA
36	A0A509AKL0	PKG
37	A0A5F8MPU3	C2cd6
38	A0A5K7RLP0	Meiosin
39	A0JNT9	Bicdl1
40	A0JNU3	Aspg
41	A0JQ18	PROSCOOP14
42	A0MES8	ABI4
43	A0PJ25	GPC
44	A0Q5Y3	cas9
45	A0QNE0	gyrB
48	A0SVK0	DOG1
49	A1A4Y4	IRGM
50	A1A546	Isx
51	A1A547	Pglyrp3
52	A1A6H3	RBSK
53	A1A6M1	PTAC5
54	A1E960	Odam
55	A1L314	Mpeg1
56	A1L3P4	Slc9a6
57	A1Y9I9	Tomt
58	A1YKT1	TCP18
59	A1Z198	Nlrp1b
60	A1Z6E0	gus
61	A2A259	Pkd2l1
62	A2A432	Cul4b
63	A2A5K6	Znf335
64	A2A5N8	L3mbtl1
65	A2A5R2	Arfgef2
66	A2A5Z6	Smurf2
67	A2A6C4	Sppl2c
68	A2A6M5	Calcoco2
69	A2A7Q9	Rnf19b
70	A2A825	Cplane2
71	A2A863	Itgb4
72	A2A884	Hivep3
73	A2A891	Camta1
74	A2A8L1	Chd5
75	A2A8L5	Ptprf
76	A2A8U2	Tmem201
77	A2A935	Prdm16
78	A2A974	Cyp4a12b
79	A2A9A2	Dmrta2
80	A2A9C3	Szt2
81	A2A9F4	Kdf1
82	A2AA28	Mettl23
83	A2AAE1	Bltp1
84	A2AAJ9	Obscn
85	A2AAY5	Sh3pxd2b
86	A2ABV5	Med14
87	A2AC93	Dnai2
88	A2AD83	Frmd7
89	A2AF47	Dock11
90	A2AFS3	Elapor1
91	A2AG06	Meioc
92	A2AGH6	Med12
93	A2AGL3	Ryr3
94	A2AGT5	Ckap5
95	A2AH22	Ambra1
96	A2AHL1	Ano3
97	A2AI05	Ndor1
98	A2AIR5	Grin3a
99	A2AIV2	Virma
100	A2AIV8	Card9
101	A2AIW0	Entr1
102	A2AJ15	Man1b1
103	A2AJ76	Hmcn2
104	A2AJ77	Prdm12
105	A2AJ88	Pnpla7
106	A2AJB7	Lcn5
107	A2AJK6	Chd7
108	A2AJN7	Slc4a11
109	A2AJX4	Malrd1
110	A2AKK5	Acnat1
111	A2AKQ0	Slc35d1
112	A2AKX3	Setx
113	A2AL36	Cntrl
114	A2ALS5	Rap1gap
115	A2ALU4	Shroom2
116	A2ALV5	Shoc1
117	A2AM29	Mllt3
118	A2AMM0	Cavin4
119	A2AMT1	Bfsp1
120	A2AN08	Ubr4
121	A2ANU3	Syndig1
122	A2AP18	Plch2
123	A2APB8	Tpx2
124	A2APC3	Ttll9
125	A2APF3	Ctcfl
126	A2APX8	Scn1a
127	A2AQ07	Tubb1
128	A2AQ19	Rtf1
129	A2AQ25	Skt
130	A2AR95	Ldlrad3
131	A2ARA8	Itga8
132	A2ARI4	Lgr4
133	A2ARP1	Ppip5k1
134	A2ARP9	Catsper2
135	A2ARV4	Lrp2
136	A2AS55	Ankrd16
137	A2ASI5	Scn3a
138	A2ASQ1	Agrn
139	A2ASS6	Ttn
140	A2ASZ8	Slc25a25
141	A2AT37	Upf2
142	A2AU37	Rad21l1
143	A2AUC9	Klhl41
144	A2AUM9	Cep152
145	A2AUU0	Mettl8
146	A2AVA0	Svep1
147	A2AVJ5	Prr5l
148	A2AVZ9	Slc43a3
149	A2AWL7	Mga
150	A2AWP0	Birc7
151	A2AWT3	Atxn7l3
152	A2AX52	Col6a4
153	A2BDX3	Mocs3
154	A2BH40	Arid1a
155	A2CG49	Kalrn
156	A2CG63	Arid4b
157	A2RST1	Mgst2
158	A2RSY6	Trmt1l
159	A2RT67	Dennd3
160	A2RTF1	Catsperb
161	A2RUV9	Aebp1
162	A2RVJ8	HIT4
163	A2RVK7	RRP41L
164	A2RVM0	TIC32
165	A2RVQ5	AGL16
166	A2RVU1	MWL1
167	A3EWL3	REV1
168	A3FIN4	Atp8b5
169	A3KFM7	Chd6
170	A3KFX0	Nt5c1a
171	A3KG59	Pm20d2
172	A3KGF7	Plcb2
173	A3KGS3	Ralgapa2
174	A3KGV1	Odf2
175	A3KPF2	PRMT14
176	A4FUQ5	Fpr-rs4
177	A4FVP2	TPS03
178	A4FVP6	NAC016
179	A4GNA8	PSD3
180	A4GSN8	NUA
181	A4PES0	WEE2
182	A4Q9E5	Ttll3
183	A4Q9E8	Ttll6
184	A4Q9F0	Ttll7
185	A4Q9F1	Ttll8
186	A4Q9F3	Ttll10
187	A4Q9F4	Ttll11
188	A4QPC6	Btn2a2
189	A4UUI3	Gbp4
190	A5D8W1	CFAP69
191	A5HEI1	SCC2
192	A5YKK6	CNOT1
193	A6H5Y3	Mtr
194	A6H630	Armt1
195	A6H639	Tcte1
196	A6H687	Sac3d1
197	A6H6A9	Rabgap1l
198	A6H6E2	Mmrn2
199	A6H737	LOXL2
200	A6H8H2	Dennd4c
201	A6H8H5	Kcnb2
202	A6NNY8	USP27X
203	A6X8Z5	Arhgap31
204	A6X935	Itih4
205	A7L9Z8	Atp2c2
206	A7M7C7	Skor2
207	A7MAQ2	dioA3
208	A7MCT6	Etnk2
209	A7RDN6	Rnls
210	A7TZE6	Skint1
211	A7UL74	CTF7
212	A7WM73	HEXO1
213	A7XDQ9	GALT2
214	A7XGN8	LOV1
215	A7XYQ1	SOBP
216	A8K4G0	CD300LB
217	A8MPR5	FTSHI2
218	A8MQA5	ESF1.3
219	A8MQL1	TRAF1B
220	A8MQN2	LNK1
221	A8MQY1	NAC68
222	A8MR65	FHL
223	A8MR93	ALG12
224	A8MRD9	PDS5D
225	A8MRX0	FMOGS-OX5
226	A8MS41	CCR4-4
227	A8MS68	LPD1
228	A8MS85	SPT6
229	A8MXD5	GRXCR1
230	A8R7E6	CERK1
231	A8R7K9	VPS35C
232	A8VU90	Ankle1
233	A9LLI7	RRP6L2
234	A9LNK9	CPSF30
235	A9Q751	Cfap221
236	A9QM73	SMG7
237	B0F2B4	Nlgn4l
238	B0F481	BIO3-BIO1
239	B0F9L4	GC6
240	B0V2N1	Ptprs
241	B1AQJ2	Usp36
242	B1ARD8	Slfn8
243	B1AS29	Grik3
244	B1ASB6	Spocd1
245	B1ATG9	Trabd2b
246	B1AUH1	Ptpru
247	B1AVY7	Kif16b
248	B1AWL2	Znf462
249	B1AWN4	Atp10b
250	B1AWN6	Scn2a
251	B1AXD8	Akirin2
252	B1AY10	Nfx1
253	B1AY15	Usp51
254	B1AZ99	Otud3
255	B1AZI6	Thoc2
256	B1AZP2	Dlgap4
257	B1B0V2	Ezhip
258	B1V8A0	unc-57
259	B2KF05	Brpf3
260	B2RPY5	Gpr161
261	B2RQC2	Usp42
262	B2RQC6	Cad
263	B2RQL2	Stox1
264	B2RQR8	Ece2
265	B2RR83	Ythdc2
266	B2RRD7	Brpf1
267	B2RRE7	Otud4
268	B2RS91	Rrn3
269	B2RSH2	Gnai1
270	B2RU80	Ptprb
271	B2RUJ5	Apba1
272	B2RUP2	Unc13d
273	B2RUR8	Otud7b
274	B2RVY9	Tmem182
275	B2RW38	Cfap58
276	B2RWS6	Ep300
277	B2RX12	Abcc3
278	B2RX14	Tut4
279	B2RX88	Cspp1
280	B2RXE2	Slc9a5
281	B2RXS4	Plxnb2
282	B2RXV4	Flvcr1
283	B2RXZ1	Pnldc1
284	B2RY04	Dock5
285	B2RY50	Odad2
286	B2RY71	Dnai3
287	B3DNN5	APC6
291	B3GS44	LRE
292	B3H4Y2	STMP3
293	B3H5A9	CEP6
294	B3H5J1	GLV10
295	B3H5K9	NEDD1
296	B3H754	APD3
297	B3H7A9	PXG7
298	B3H7I1	PROSCOOP12
299	B3LF48	EHD2
300	B5BT18	BTAF1
301	B5DF27	Loxl2
302	B5KM66	Syce3
303	B5TVM2	Ildr2
304	B5X0E4	Abcb5
305	B5X0I6	VIP6
306	B5X4Z9	STU
308	B6A8R8	Tarm1
309	B6EUA9	PRP40A
310	B6EUB3	PDS5A
311	B6SFA4	MAA3
312	B7U179	ABAP1
313	B7ZNG0	Kif7
314	B7ZWR6	OEP61
315	B8JK39	Itga9
316	B8XCH5	QKY
317	B8ZXI1	Qtrt2
318	B9DFA8	INVC
319	B9DFG3	ISE2
320	B9DFG5	PTI13
321	B9DFK5	RE
322	B9DFS6	SNX2B
323	B9DFU2	CYP711A1
324	B9DFX7	PAA2
325	B9DFZ0	NTH2
326	B9DGD6	ACS
327	B9DGI8	BZIP63
328	B9DGT7	TUBA2
329	B9DGU7	TPK1
330	B9DGY1	ABC1K7
331	B9DHQ0	TUBA5
332	B9DHT4	ARIA
333	B9EHT4	Clip3
334	B9EJ57	Mterf1b
335	B9EJ80	Pdzd8
336	B9EJ86	Osbpl8
337	B9EJA2	Cttnbp2
338	B9EJV3	Greb1l
339	B9EKI3	Tmf1
340	B9EKR1	Ptprz1
341	B9TSP7	FAR6
342	C0HKE1	H2ac4
343	C0HKE2	H2ac6
344	C0HKE3	H2ac7
345	C0HKE4	H2ac8
346	C0HKE5	H2ac11
347	C0HKE6	H2ac13
348	C0HKE7	Hist1h2an
349	C0HKE8	Hist1h2ao
350	C0HKE9	Hist1h2ap
354	C0LGF4	FEI1
355	C0LGF5	RGI5
363	C0LGL9	FEI2
364	C0LGN2	LRR-RLK
365	C0LGP2	MEE39
366	C0LGP9	IMK3
367	C0LGQ4	MDIS2
368	C0LGQ5	GSO1
369	C0LGQ9	GHR1
370	C0LGR3	RGI3
376	C0LGT6	EFR
377	C0LGU0	PRK1
379	C0LGU7	MDIS1
380	C0LGV1	RGI2
381	C0LGW2	PAM74
382	C0LGW6	ERL1
383	C0LGX3	HSL2
384	C0LLJ0	Kpna7
385	C0LU16	MED21
386	C0SUT9	JMJ16
387	C0SV12	JMJ29
388	C0Z2L5	BZIP44
389	C3VD30	Zar1l
390	C3VPR6	Nlrc5
391	C5H8J1	EME1B
392	C6KI89	Catsperg2
393	C6KIE6	XLG2
394	C8KI33	SUV2
395	D0G895	Ace3
396	D0QMC3	Mndal
397	D0VYS2	Hsf3
398	D1KF50	SRS2
399	D2EAC2	Zbed6
400	D2J0Y4	D7Ertd443e
401	D2WL32	SBE3
402	D3KU66	Asmt
403	D3XDS2	M97
404	D3YVF0	Akap5
405	D3YVL2	Cfap70
406	D3YWP0	Eef1akmt3
407	D3YWQ0	Dgki
408	D3YXG0	Hmcn1
409	D3YXJ0	Dgkh
410	D3YXK1	Samd1
411	D3YXK2	Safb
412	D3YYI7	Rnf217
413	D3YZU1	Shank1
414	D3Z1Q2	Mrap2
415	D3Z291	Calhm1
416	D3Z2R5	Selenon
417	D3Z2X2	Dnhd1
418	D3Z3K2	Ccnb1ip1
419	D3Z4I3	Rbm24
420	D3Z5L6	Slc18b1
421	D3Z5S8	Tent5a
422	D3Z6P0	Pdia2
423	D3Z752	Spx
424	D3Z7P3	Gls
425	D3ZCM3	Abcg4
426	D4A693	Azin2
428	D6MZJ6	Smpd5
429	D7PDD4	Mpig6b
430	D7SFH9	LRK10L-2.6
431	E0CZ16	Klhl3
432	E1B328	RRS1
433	E1BE10	PLD6
434	E1U8D0	Soga1
435	E2JF22	Piezo1
436	E2RD63	PLD6
437	E3VNM4	TGA10
438	E5KGE0	BRIZ1
439	E5KIB6	cypA
440	E6MVD9	nalP
441	E7F594	gpr137ba
442	E9PUL5	Prrt2
443	E9PUQ8	Dgkd
444	E9PV24	Fga
445	E9PV87	Talpid3
446	E9PVA8	Gcn1
447	E9PVD1	Ccdc62
448	E9PVD3	Dchs1
449	E9PVX6	Mki67
450	E9PX95	Abca17
451	E9PXF8	Sbf2
452	E9PXX9	Slc28a1
453	E9PY46	Ift140
454	E9PYH6	Setd1a
455	E9PYI1	Znf568
456	E9PYK3	Parp4
457	E9PYY5	Dnai4
458	E9PZ19	Igsf9b
459	E9PZ36	Pkhd1
460	E9PZJ8	Ascc3
461	E9PZM4	Chd2
462	E9PZQ0	Ryr1
463	E9PZZ1	Prdm13
464	E9Q0N2	Ptprh
465	E9Q0S6	Tns1
466	E9Q236	Abcc4
467	E9Q2M9	Wdfy4
468	E9Q2Z1	Cecr2
469	E9Q394	Akap13
470	E9Q3E1	Aldh3b2
