Uniprot_ID,Entry_Name,Protein_Frag,Ensembl_Gene_ID,Ensembl_Gene_ID_version,Ensembl_Transcript_ID,Ensembl_Transcript_ID_version,gene_name,RNA_Frag,score,protein_name
P35637,FUS_HUMAN,301-352,ENSG00000251562,ENSG00000251562.10,ENST00000534336,ENST00000534336.2,MALAT1,8762_526-877,46.64,FUS
P49588,SYAC_HUMAN,426-477,ENSG00000251562,ENSG00000251562.10,ENST00000534336,ENST00000534336.2,MALAT1,8762_526-877,60.07,AARS1
O43251,RFOX2_HUMAN,126-177,ENSG00000245532,ENSG00000245532.11,ENST00000501122,ENST00000501122.2,NEAT1,22743_909-1818,77.53,RBFOX2
